# 20260527_071538_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
﻿0-23	239.77.0.23:5146	无效			792
0-24	239.77.0.24:5146	无效			799
0-26	239.77.0.26:5146	无效			252
0-29	239.77.0.29:5146	无效			122
0-50	239.77.0.50:5146	无效			813
0-51	239.77.0.51:5146	无效			733
0-52	239.77.0.52:5146	无效			219
0-53	239.77.0.53:5146	无效			209
0-54	239.77.0.54:5146	无效			776
0-55	239.77.0.55:5146	无效			719
0-62	239.77.0.62:5146	无效			212
0-63	239.77.0.63:5146	无效			123
0-64	239.77.0.64:5146	无效			792
0-71	239.77.0.71:5146	无效			749
0-72	239.77.0.72:5146	无效			294
0-76	239.77.0.76:5146	无效			128
0-80	239.77.0.80:5146	无效			784
0-82	239.77.0.82:5146	无效			788
0-116	239.77.0.116:5146	无效			290
0-118	239.77.0.118:5146	无效			150
0-120	239.77.0.120:5146	无效			950
0-121	239.77.0.121:5146	无效			554
0-142	239.77.0.142:5146	无效			224
0-143	239.77.0.143:5146	无效			281
0-144	239.77.0.144:5146	无效			893
0-147	239.77.0.147:5146	无效			661
0-151	239.77.0.151:5146	无效			293
0-152	239.77.0.152:5146	无效			174
0-154	239.77.0.154:5146	无效			940
0-156	239.77.0.156:5146	无效			629
0-157	239.77.0.157:5146	无效			288
0-158	239.77.0.158:5146	无效			149
0-184	239.77.0.184:5146	无效			948
0-192	239.77.0.192:5146	无效			459
0-195	239.77.0.195:5146	无效			150
0-196	239.77.0.196:5146	无效			86
0-197	239.77.0.197:5146	无效			1146
0-203	239.77.0.203:5146	无效			445
0-204	239.77.0.204:5146	无效			277
0-205	239.77.0.205:5146	无效			116
0-208	239.77.0.208:5146	无效			5920
0-210	239.77.0.210:5146	无效			5079
0-211	239.77.0.211:5146	无效			5078
0-214	239.77.0.214:5146	无效			5073
0-216	239.77.0.216:5146	无效			5856
0-219	239.77.0.219:5146	无效			5072
0-223	239.77.0.223:5146	无效			5081
0-224	239.77.0.224:5146	无效			5066
0-227	239.77.0.227:5146	无效			5894
0-231	239.77.0.231:5146	无效			5068
0-234	239.77.0.234:5146	无效			5071
0-235	239.77.0.235:5146	无效			5078
0-237	239.77.0.237:5146	无效			5995
0-238	239.77.0.238:5146	无效			5082
0-239	239.77.0.239:5146	无效			5070
0-242	239.77.0.242:5146	无效			5071
0-243	239.77.0.243:5146	无效			5901
0-246	239.77.0.246:5146	无效			5069
0-247	239.77.0.247:5146	无效			5072
0-248	239.77.0.248:5146	无效			5075
0-249	239.77.0.249:5146	无效			6158
1-1	239.77.1.1:5146	无效			5403
1-11	239.77.1.11:5146	无效			5078
1-39	239.77.1.39:5146	无效			5064
1-40	239.77.1.40:5146	无效			6051
1-41	239.77.1.41:5146	无效			5118
1-42	239.77.1.42:5146	无效			5065
1-43	239.77.1.43:5146	无效			5065
1-44	239.77.1.44:5146	无效			6033
1-45	239.77.1.45:5146	无效			5085
1-46	239.77.1.46:5146	无效			5072
1-47	239.77.1.47:5146	无效			5061
1-48	239.77.1.48:5146	无效			6202
1-49	239.77.1.49:5146	无效			5542
1-51	239.77.1.51:5146	无效			5076
1-53	239.77.1.53:5146	无效			5064
1-56	239.77.1.56:5146	无效			6049
1-58	239.77.1.58:5146	无效			5089
1-59	239.77.1.59:5146	无效			5074
1-60	239.77.1.60:5146	无效			5069
1-61	239.77.1.61:5146	无效			5990
1-62	239.77.1.62:5146	无效			5073
1-63	239.77.1.63:5146	无效			5071
1-64	239.77.1.64:5146	无效			5067
1-65	239.77.1.65:5146	无效			6065
1-66	239.77.1.66:5146	无效			5124
1-68	239.77.1.68:5146	无效			5066
1-71	239.77.1.71:5146	无效			5062
1-72	239.77.1.72:5146	无效			6164
1-73	239.77.1.73:5146	无效			5209
1-75	239.77.1.75:5146	无效			5073
1-76	239.77.1.76:5146	无效			5072
1-80	239.77.1.80:5146	无效			5989
1-81	239.77.1.81:5146	无效			5078
1-95	239.77.1.95:5146	无效			5078
1-98	239.77.1.98:5146	无效			5069
1-100	239.77.1.100:5146	无效			6146
1-101	239.77.1.101:5146	无效			5322
1-102	239.77.1.102:5146	无效			5065
1-106	239.77.1.106:5146	无效			5064
1-110	239.77.1.110:5146	无效			6076
1-118	239.77.1.118:5146	无效			5161
1-119	239.77.1.119:5146	无效			5081
1-123	239.77.1.123:5146	无效			5066
1-126	239.77.1.126:5146	无效			6056
1-127	239.77.1.127:5146	无效			5150
1-133	239.77.1.133:5146	无效			5070
1-134	239.77.1.134:5146	无效			5064
1-135	239.77.1.135:5146	无效			6039
1-136	239.77.1.136:5146	无效			5199
1-137	239.77.1.137:5146	无效			5077
1-139	239.77.1.139:5146	无效			5066
1-143	239.77.1.143:5146	无效			6037
1-145	239.77.1.145:5146	无效			5135
1-146	239.77.1.146:5146	无效			5070
1-147	239.77.1.147:5146	无效			5061
1-154	239.77.1.154:5146	无效			6132
1-155	239.77.1.155:5146	无效			5171
1-158	239.49.1.158:5146	无效			5083
1-159	239.49.1.159:5146	无效			5070
1-160	239.49.1.160:5146	无效			6061
1-161	239.49.1.161:5146	无效			5255
1-162	239.49.1.162:5146	无效			5073
1-163	239.49.1.163:5146	无效			5073
1-164	239.77.1.164:5146	无效			6289
1-164	239.49.1.164:5146	无效			5686
1-165	239.77.1.165:5146	无效			5475
