# 20260523_111846_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
广东卫视	239.10.0.111:1025	无效			5864
广东卫视	239.10.0.45:1025	无效			5813
广东卫视	239.20.0.101:2000	无效			5619
广东卫视	239.20.0.131:2060	无效			5637
广东卫视	239.20.0.99:3004	无效			5615
广东大湾区卫视	239.21.0.84:3676	无效			5636
广东4K超高清	239.20.0.60:3160	有效	3840x2160	hevc	9572
广东IPTV影视推荐	239.20.0.50:3200	无效			5532
广东体育	239.10.0.113:1025	无效			5682
广东体育	239.20.0.114:2026	无效			5618
广东体育频道	239.20.0.103:2004	有效	1920x1080	h264	11566
广东体育频道	239.20.0.97:3012	无效			5559
广东嘉佳卡通	239.10.0.129:1025	无效			5660
广东嘉佳卡通	239.10.0.200:1025	无效			5348
广东嘉佳卡通	239.20.0.119:2036	无效			5624
广东嘉佳卡通	239.21.0.94:3716	有效		h264	2744
广东少儿	239.10.0.128:1025	有效	720x576	h264	855
广东少儿	239.11.0.81:1025	无效			532
广东少儿	239.20.0.118:2034	无效			7933
广东少儿频道	239.21.0.87:3688	有效	1920x1080	h264	1268
广东影视	239.20.0.117:2032	无效			5857
广东影视频道	239.21.0.85:3680	无效			5822
广东新闻	239.20.0.112:2022	无效			5627
广东新闻频道	239.21.0.93:3712	无效			5634
广东民生	239.20.0.113:2024	无效			5612
广东民生频道	239.21.0.86:3684	无效			5637
广东珠江	239.20.0.111:2020	无效			5641
广东珠江频道	239.20.0.63:3148	有效	1920x1080	h264	6682
广东珠江频道	239.20.0.64:3144	无效			5597
广东经济科教	239.20.0.102:2002	无效			5630
广东经济科教	239.20.0.191:2180	无效			5713
广东经济科教	239.20.0.98:3008	无效			5590
CCTV1	239.10.0.114:1025	无效			8148
CCTV1	239.10.0.48:1025	有效	1920x1080	h264	6511
CCTV1	239.20.0.104:2006	无效			9367
CCTV1	239.20.0.192:2182	无效			99999
CCTV1	239.20.0.96:3016	有效			1277
CCTV2	239.10.0.207:1025	无效			99999
CCTV2	239.20.0.176:2150	有效			829
CCTV2	239.20.0.197:2192	无效			5239
CCTV3	239.10.0.101:1025	有效	1920x1080	h264	7367
CCTV3	239.20.0.27:3296	无效			5577
CCTV3	239.20.0.28:3292	无效			5641
CCTV4	239.10.0.245:1025	有效	1920x1080	h264	6379
CCTV4	239.20.0.16:3340	无效			5634
CCTV4	239.20.0.177:2152	有效	720x576	h264	9218
CCTV4欧洲	239.11.0.101:1025	无效			5645
CCTV4欧洲	239.21.0.107:3768	有效	1920x1080	h264	11196
CCTV4美洲	239.11.0.102:1025	有效	1920x1080	h264	6629
CCTV4美洲	239.21.0.108:3772	有效	1920x1080	h264	6752
CCTV5	239.10.0.102:1025	有效	1920x1080	h264	2273
CCTV5	239.20.0.26:3300	无效			5651
CCTV5	239.20.0.30:3284	有效	1920x1080	h264	6390
CCTV5+	239.10.0.213:1025	无效			8713
CCTV5+	239.20.0.203:2204	无效			99999
CCTV6	239.10.0.103:1025	无效			4302
CCTV6	239.20.0.25:3304	有效			749
CCTV6	239.20.0.29:3288	有效	1920x1080	h264	1500
CCTV7	239.20.0.178:2154	有效			963
CCTV7	239.20.0.198:2194	有效			998
CCTV8	239.10.0.104:1025	有效	1920x1080	h264	7398
CCTV8	239.20.0.24:3308	有效	720x576	h264	5653
CCTV8	239.20.0.31:3280	无效			5536
CCTV9	239.10.0.209:1025	无效			5619
CCTV9	239.20.0.179:2156	无效			5633
CCTV9	239.20.0.199:2196	无效			5623
CCTV10	239.10.0.210:1025	有效	1920x1080	h264	9407
CCTV10	239.20.0.180:2158	有效	720x576	h264	8702
CCTV10	239.20.0.200:2198	有效	1920x1080	h264	8559
CCTV11	239.11.0.24:1025	无效			5649
CCTV11	239.20.0.181:2160	无效			9428
CCTV11	239.21.0.35:3480	无效			5922
CCTV12	239.10.0.211:1025	无效			5592
CCTV12	239.20.0.182:2162	无效			5623
CCTV12	239.20.0.201:2200	无效			10538
CCTV13	239.20.0.183:2164	有效		h264	970
CCTV13	239.21.0.88:3692	有效	1920x1080	h264	1439
CCTV14	239.10.0.212:1025	有效			1228
CCTV14	239.20.0.184:2166	无效			575
CCTV14	239.20.0.202:2202	有效			1197
CCTV15	239.11.0.25:1025	有效	1920x1080	h264	7028
CCTV15	239.20.0.185:2168	有效	720x576	h264	5685
CCTV15	239.21.0.36:3484	无效			5612
CCTV16	239.11.0.126:1025	无效			5638
CCTV16	239.21.0.116:3808	无效			5610
CCTV17	239.20.0.7:3376	有效	1920x1080	h264	6217
CCTV17	239.20.0.8:3372	有效	720x576	h264	5784
风云音乐	239.11.0.68:1025	有效	1920x1080	h264	9956
风云音乐	239.21.0.79:3656	无效			5705
世界地理	239.11.0.63:1025	有效	1920x1080	h264	6637
世界地理	239.21.0.74:3636	有效	1920x1080	h264	6755
第一剧场	239.11.0.67:1025	有效	1920x1080	h264	1763
第一剧场	239.21.0.78:3652	无效			5570
风云剧场	239.11.0.65:1025	有效	1920x1080	h264	6451
风云剧场	239.21.0.76:3644	有效	1920x1080	h264	2831
央视精品	239.21.0.77:3648	无效			5838
兵器科技	239.11.0.57:1025	无效			99999
兵器科技	239.21.0.80:3660	无效			8401
风云足球	239.11.0.59:1025	无效			551
风云足球	239.21.0.70:3620	有效		h264	1442
怀旧剧场	239.11.0.64:1025	无效			5852
怀旧剧场	239.21.0.75:3640	有效	1920x1080	h264	8789
女性时尚	239.11.0.62:1025	无效			5721
女性时尚	239.21.0.73:3632	无效			5643
央视台球	239.11.0.60:1025	无效			5618
央视台球	239.21.0.71:3624	无效			5633
电视指南	239.11.0.58:1025	无效			5726
电视指南	239.21.0.81:3664	有效	1920x1080	h264	7764
发现之旅	239.11.0.182:1025	有效	720x576	h264	5648
发现之旅	239.11.0.183:1025	无效			5732
发现之旅	239.21.0.151:3948	无效			5643
老故事	239.10.0.33:1025	无效			9439
老故事	239.20.0.227:2252	有效	720x576	h264	7072
CGTN	239.11.0.103:1025	无效			8785
CGTN	239.21.0.109:3776	无效			99999
CGTN西语	239.11.0.105:1025	有效			1292
CGTN西语	239.21.0.111:3800	无效			6910
CGTN法语	239.11.0.106:1025	有效		h264	1452
CGTN法语	239.21.0.112:3788	有效		h264	1892
CGTN阿语	239.11.0.107:1025	有效			1496
CGTN阿语	239.21.0.113:3792	有效	1920x1080	h264	7049
CGTN俄语	239.11.0.108:1025	无效			5636
CGTN俄语	239.21.0.114:3796	无效			5640
