# 补充IP列表 - 原文件: 广东移动.txt
# 生成时间: 2026-05-28 17:17:17
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.10.0.x =====
# 已有IP: 70 个, 缺失IP: 184 个
# 规律: 固定端口 1025

0-1,rtp://239.10.0.1:1025
0-2,rtp://239.10.0.2:1025
0-3,rtp://239.10.0.3:1025
0-4,rtp://239.10.0.4:1025
0-5,rtp://239.10.0.5:1025
0-6,rtp://239.10.0.6:1025
0-7,rtp://239.10.0.7:1025
0-8,rtp://239.10.0.8:1025
0-9,rtp://239.10.0.9:1025
0-10,rtp://239.10.0.10:1025
0-11,rtp://239.10.0.11:1025
0-12,rtp://239.10.0.12:1025
0-13,rtp://239.10.0.13:1025
0-14,rtp://239.10.0.14:1025
0-15,rtp://239.10.0.15:1025
0-16,rtp://239.10.0.16:1025
0-17,rtp://239.10.0.17:1025
0-18,rtp://239.10.0.18:1025
0-19,rtp://239.10.0.19:1025
0-20,rtp://239.10.0.20:1025
0-21,rtp://239.10.0.21:1025
0-22,rtp://239.10.0.22:1025
0-23,rtp://239.10.0.23:1025
0-24,rtp://239.10.0.24:1025
0-25,rtp://239.10.0.25:1025
0-26,rtp://239.10.0.26:1025
0-27,rtp://239.10.0.27:1025
0-28,rtp://239.10.0.28:1025
0-29,rtp://239.10.0.29:1025
0-30,rtp://239.10.0.30:1025
0-31,rtp://239.10.0.31:1025
0-32,rtp://239.10.0.32:1025
0-34,rtp://239.10.0.34:1025
0-35,rtp://239.10.0.35:1025
0-37,rtp://239.10.0.37:1025
0-39,rtp://239.10.0.39:1025
0-40,rtp://239.10.0.40:1025
0-41,rtp://239.10.0.41:1025
0-42,rtp://239.10.0.42:1025
0-43,rtp://239.10.0.43:1025
0-44,rtp://239.10.0.44:1025
0-46,rtp://239.10.0.46:1025
0-47,rtp://239.10.0.47:1025
0-50,rtp://239.10.0.50:1025
0-56,rtp://239.10.0.56:1025
0-57,rtp://239.10.0.57:1025
0-58,rtp://239.10.0.58:1025
0-59,rtp://239.10.0.59:1025
0-61,rtp://239.10.0.61:1025
0-62,rtp://239.10.0.62:1025
0-63,rtp://239.10.0.63:1025
0-64,rtp://239.10.0.64:1025
0-65,rtp://239.10.0.65:1025
0-66,rtp://239.10.0.66:1025
0-67,rtp://239.10.0.67:1025
0-69,rtp://239.10.0.69:1025
0-70,rtp://239.10.0.70:1025
0-71,rtp://239.10.0.71:1025
0-73,rtp://239.10.0.73:1025
0-74,rtp://239.10.0.74:1025
0-75,rtp://239.10.0.75:1025
0-76,rtp://239.10.0.76:1025
0-82,rtp://239.10.0.82:1025
