# 20260528_152338_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
1-2	239.0.1.2:6504	无效			5520
1-5	239.0.1.5:1103	无效			5086
1-6	239.0.1.6:1120	无效			5072
1-7	239.0.1.7:1137	无效			5073
1-8	239.0.1.8:1154	无效			5072
1-9	239.0.1.9:1171	无效			5727
1-10	239.0.1.10:1188	无效			5078
1-11	239.0.1.11:1205	无效			5074
1-12	239.0.1.12:1222	无效			5071
1-13	239.0.1.13:1239	无效			5074
1-14	239.0.1.14:1256	无效			5685
1-15	239.0.1.15:1273	无效			5066
1-16	239.0.1.16:1290	无效			5077
1-17	239.0.1.17:1307	无效			5077
1-18	239.0.1.18:1324	无效			5078
1-19	239.0.1.19:1341	无效			5791
1-21	239.0.1.21:1375	无效			5073
1-24	239.0.1.24:1426	无效			5081
1-25	239.0.1.25:1443	无效			5077
1-26	239.0.1.26:1460	无效			5068
1-27	239.0.1.27:1477	无效			5673
1-28	239.0.1.28:1494	无效			5076
1-39	239.0.1.39:1681	无效			5078
1-43	239.0.1.43:1749	无效			5077
1-45	239.0.1.45:1783	无效			5078
1-49	239.0.1.49:1851	无效			5842
1-50	239.0.1.50:1868	无效			5084
1-51	239.0.1.51:1885	无效			5084
1-53	239.0.1.53:5010	无效			5097
1-58	239.0.1.58:2004	无效			5071
1-60	239.0.1.60:2038	无效			5539
1-62	239.0.1.62:2072	无效			5069
1-64	239.0.1.64:2106	无效			5076
1-65	239.0.1.65:2123	无效			5065
1-66	239.0.1.66:2140	无效			5072
1-67	239.0.1.67:2157	无效			5871
1-68	239.0.1.68:2174	无效			5082
1-69	239.0.1.69:2191	无效			5074
1-70	239.0.1.70:2208	无效			5077
1-72	239.0.1.72:2242	无效			5075
1-74	239.0.1.74:2276	无效			5725
1-77	239.0.1.77:2327	无效			5074
1-93	239.0.1.93:2599	无效			5084
1-103	239.0.1.103:2769	无效			5072
1-104	239.0.1.104:2786	无效			5062
1-105	239.0.1.105:2803	无效			5799
1-106	239.0.1.106:2820	无效			5095
1-107	239.0.1.107:2837	无效			5088
1-108	239.0.1.108:2854	无效			5075
1-109	239.0.1.109:2871	无效			5080
1-110	239.0.1.110:2888	无效			5978
1-111	239.0.1.111:2905	无效			5162
1-112	239.0.1.112:2922	无效			5080
1-113	239.0.1.113:2939	无效			5074
1-114	239.0.1.114:2956	无效			5091
1-115	239.0.1.115:2973	无效			5778
1-116	239.0.1.116:2990	无效			5090
1-117	239.0.1.117:3007	无效			5085
1-118	239.0.1.118:3024	无效			5076
1-119	239.0.1.119:3041	无效			5084
1-120	239.0.1.120:3058	无效			5914
1-121	239.0.1.121:3075	无效			5120
1-122	239.0.1.122:3092	无效			5094
1-123	239.0.1.123:3109	无效			5091
1-124	239.0.1.124:3126	无效			5074
1-125	239.0.1.125:3143	无效			6032
1-126	239.0.1.126:3160	无效			5251
1-127	239.0.1.127:3177	无效			5087
1-128	239.0.1.128:3194	无效			5080
1-129	239.0.1.129:3211	无效			5070
1-130	239.0.1.130:3228	无效			5992
1-131	239.0.1.131:3245	无效			5123
1-132	239.0.1.132:3262	无效			5088
1-135	239.0.1.135:5174	无效			5082
1-136	239.0.1.136:5175	无效			5085
1-137	239.0.1.137:5176	无效			5798
1-139	239.0.1.139:3381	无效			5076
1-140	239.0.1.140:3398	无效			5076
1-141	239.0.1.141:3415	无效			5081
1-142	239.0.1.142:3432	无效			5069
1-143	239.0.1.143:3449	无效			5954
1-144	239.0.1.144:3466	无效			5132
1-145	239.0.1.145:3483	无效			5077
1-146	239.0.1.146:3500	无效			5079
1-147	239.0.1.147:3517	无效			5077
1-148	239.0.1.148:3534	无效			5903
1-149	239.0.1.149:3551	无效			5124
1-150	239.0.1.150:3568	无效			5087
1-151	239.0.1.151:3585	无效			5082
1-152	239.0.1.152:3602	无效			5080
1-153	239.0.1.153:3619	无效			6048
1-154	239.0.1.154:3636	无效			5766
1-155	239.0.1.155:3653	无效			5096
1-156	239.0.1.156:3670	无效			5090
1-157	239.0.1.157:3687	无效			5083
1-158	239.0.1.158:3704	无效			5933
1-159	239.0.1.159:3721	无效			5108
1-160	239.0.1.160:3738	无效			5087
1-161	239.0.1.161:3755	无效			5073
1-162	239.0.1.162:3772	无效			5081
1-163	239.0.1.163:3789	无效			6104
1-164	239.0.1.164:3806	无效			5922
1-165	239.0.1.165:3823	无效			5609
1-166	239.0.1.166:3840	无效			5157
1-167	239.0.1.167:3857	无效			5073
1-168	239.0.1.168:3874	无效			6006
1-170	239.0.1.170:3908	无效			5410
1-171	239.0.1.171:3925	无效			5070
1-172	239.0.1.172:3942	无效			5073
1-173	239.0.1.173:3959	无效			5069
1-178	239.0.1.178:6038	无效			6147
1-179	239.0.1.179:6039	无效			5825
1-182	239.0.1.182:4112	无效			5381
1-183	239.0.1.183:4129	无效			5071
1-184	239.0.1.184:4146	无效			5071
1-185	239.0.1.185:4163	无效			6043
1-186	239.0.1.186:4180	无效			5609
1-187	239.0.1.187:4197	无效			5090
1-188	239.0.1.188:4214	无效			5083
1-189	239.0.1.189:4231	无效			5064
1-190	239.0.1.190:4248	无效			5844
1-191	239.0.1.191:4265	无效			5082
1-193	239.0.1.193:4299	无效			5075
1-194	239.0.1.194:4316	无效			5079
1-195	239.0.1.195:4333	无效			5073
1-196	239.0.1.196:4350	无效			6066
1-197	239.0.1.197:4367	无效			5685
1-198	239.0.1.198:4384	无效			5094
