# 20260831_203314_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
广西卫视	239.81.0.107:4056	有效			0
广西卫视	239.81.0.2:4056	有效	720x576	h264	8013
广西IPTV13	239.81.0.125:4056	无效			5507
广西IPTV7	239.81.0.253:4056	有效	1920x1080	h264	8445
广西IPTV8	239.81.0.208:4056	有效			0
广西IPTV9	239.81.0.209:4056	无效			5641
广西IPTV宣传	239.81.0.205:4056	有效			0
广西IPTV宣传	239.81.0.251:4056	有效	1920x1080	h264	14590
广西IPTV宣传	239.81.0.79:4056	有效			0
广西乐购	239.81.0.9:4056	有效			0
广西公共	239.81.0.249:4056	无效			5623
广西公共	239.81.0.6:4056	无效			5513
广西国际频道	239.81.0.8:4056	无效			5639
广西影视	239.81.0.7:4056	有效	720x576	h264	6389
广西影视频道	239.81.0.250:4056	有效	1920x1080	h264	5655
广西新闻频道	239.81.0.248:4056	有效		h264	8451
广西科教	239.81.0.11:4056	无效			5623
广西移动	239.81.0.216:4056	有效	1920x1080	h264	6138
广西移动电视	239.81.0.10:4056	有效	720x576	h264	7934
广西综艺	239.81.0.3:4056	有效	720x576	h264	7986
广西综艺旅游	239.81.0.214:4056	有效		h264	7939
广西资讯	239.81.0.5:4056	有效	720x576	h264	8503
广西都市	239.81.0.4:4056	有效	720x576	h264	9206
广西都市频道	239.81.0.247:4056	有效	1920x1080	h264	9210
CCTV1	239.81.0.102:4056	有效	1920x1080	h264	8444
CCTV1	239.81.0.13:4056	有效	720x576	h264	14083
CCTV2	239.81.0.115:4056	有效	1920x1080	h264	9489
CCTV2	239.81.0.14:4056	有效	720x576	h264	6052
CCTV3	239.81.0.231:4056	有效	1920x1080	h264	3950
CCTV4	239.81.0.16:4056	有效			0
CCTV4	239.81.0.96:4056	有效	1920x1080	h264	7003
CCTV5	239.81.0.232:4056	有效	1920x1080	h264	8956
CCTV5+	239.81.0.101:4056	有效			0
CCTV6	239.81.0.233:4056	有效			0
CCTV7	239.81.0.116:4056	有效			0
