# 补充IP列表 - 原文件: 广西电信.txt
# 生成时间: 2026-05-28 17:16:20
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.81.0.x =====
# 已有IP: 218 个, 缺失IP: 36 个
# 规律: 固定端口 4056

0-42,rtp://239.81.0.42:4056
0-74,rtp://239.81.0.74:4056
0-77,rtp://239.81.0.77:4056
0-88,rtp://239.81.0.88:4056
0-99,rtp://239.81.0.99:4056
0-121,rtp://239.81.0.121:4056
0-133,rtp://239.81.0.133:4056
0-145,rtp://239.81.0.145:4056
0-146,rtp://239.81.0.146:4056
0-147,rtp://239.81.0.147:4056
0-155,rtp://239.81.0.155:4056
0-156,rtp://239.81.0.156:4056
0-157,rtp://239.81.0.157:4056
0-158,rtp://239.81.0.158:4056
0-159,rtp://239.81.0.159:4056
0-160,rtp://239.81.0.160:4056
0-161,rtp://239.81.0.161:4056
0-162,rtp://239.81.0.162:4056
0-178,rtp://239.81.0.178:4056
0-179,rtp://239.81.0.179:4056
0-180,rtp://239.81.0.180:4056
0-181,rtp://239.81.0.181:4056
0-182,rtp://239.81.0.182:4056
0-183,rtp://239.81.0.183:4056
0-184,rtp://239.81.0.184:4056
0-185,rtp://239.81.0.185:4056
0-186,rtp://239.81.0.186:4056
0-187,rtp://239.81.0.187:4056
0-190,rtp://239.81.0.190:4056
0-191,rtp://239.81.0.191:4056
0-192,rtp://239.81.0.192:4056
0-193,rtp://239.81.0.193:4056
0-198,rtp://239.81.0.198:4056
0-219,rtp://239.81.0.219:4056
0-224,rtp://239.81.0.224:4056
0-243,rtp://239.81.0.243:4056

# ===== 网段: 239.81.1.x =====
# 已有IP: 1 个, 缺失IP: 253 个
# 规律: 固定端口 4056

1-1,rtp://239.81.1.1:4056
1-2,rtp://239.81.1.2:4056
1-3,rtp://239.81.1.3:4056
1-4,rtp://239.81.1.4:4056
1-5,rtp://239.81.1.5:4056
1-6,rtp://239.81.1.6:4056
1-7,rtp://239.81.1.7:4056
1-8,rtp://239.81.1.8:4056
1-9,rtp://239.81.1.9:4056
1-10,rtp://239.81.1.10:4056
1-11,rtp://239.81.1.11:4056
1-12,rtp://239.81.1.12:4056
1-13,rtp://239.81.1.13:4056
1-14,rtp://239.81.1.14:4056
1-15,rtp://239.81.1.15:4056
1-16,rtp://239.81.1.16:4056
1-17,rtp://239.81.1.17:4056
1-18,rtp://239.81.1.18:4056
1-19,rtp://239.81.1.19:4056
1-20,rtp://239.81.1.20:4056
1-21,rtp://239.81.1.21:4056
1-22,rtp://239.81.1.22:4056
1-23,rtp://239.81.1.23:4056
1-24,rtp://239.81.1.24:4056
1-25,rtp://239.81.1.25:4056
1-26,rtp://239.81.1.26:4056
1-27,rtp://239.81.1.27:4056
1-28,rtp://239.81.1.28:4056
1-29,rtp://239.81.1.29:4056
1-30,rtp://239.81.1.30:4056
1-31,rtp://239.81.1.31:4056
1-32,rtp://239.81.1.32:4056
1-33,rtp://239.81.1.33:4056
1-34,rtp://239.81.1.34:4056
1-35,rtp://239.81.1.35:4056
1-36,rtp://239.81.1.36:4056
1-37,rtp://239.81.1.37:4056
1-38,rtp://239.81.1.38:4056
1-39,rtp://239.81.1.39:4056
1-40,rtp://239.81.1.40:4056
1-41,rtp://239.81.1.41:4056
1-42,rtp://239.81.1.42:4056
1-43,rtp://239.81.1.43:4056
1-44,rtp://239.81.1.44:4056
1-45,rtp://239.81.1.45:4056
1-46,rtp://239.81.1.46:4056
1-47,rtp://239.81.1.47:4056
1-48,rtp://239.81.1.48:4056
1-49,rtp://239.81.1.49:4056
1-50,rtp://239.81.1.50:4056
1-51,rtp://239.81.1.51:4056
1-52,rtp://239.81.1.52:4056
1-53,rtp://239.81.1.53:4056
1-54,rtp://239.81.1.54:4056
1-55,rtp://239.81.1.55:4056
1-56,rtp://239.81.1.56:4056
1-57,rtp://239.81.1.57:4056
1-58,rtp://239.81.1.58:4056
1-59,rtp://239.81.1.59:4056
1-60,rtp://239.81.1.60:4056
1-61,rtp://239.81.1.61:4056
1-62,rtp://239.81.1.62:4056
1-63,rtp://239.81.1.63:4056
1-64,rtp://239.81.1.64:4056
1-65,rtp://239.81.1.65:4056
1-66,rtp://239.81.1.66:4056
1-67,rtp://239.81.1.67:4056
1-68,rtp://239.81.1.68:4056
1-69,rtp://239.81.1.69:4056
1-70,rtp://239.81.1.70:4056
1-71,rtp://239.81.1.71:4056
1-72,rtp://239.81.1.72:4056
1-73,rtp://239.81.1.73:4056
1-74,rtp://239.81.1.74:4056
1-75,rtp://239.81.1.75:4056
1-76,rtp://239.81.1.76:4056
1-77,rtp://239.81.1.77:4056
1-78,rtp://239.81.1.78:4056
