# 20260711_153420_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
新疆卫视	238.125.3.174:5140	无效			5611
新疆卫视10	238.125.3.183:5140	无效			5082
新疆卫视11	238.125.3.184:5140	无效			5074
新疆卫视12	238.125.3.185:5140	无效			5067
新疆卫视2	238.125.3.175:5140	无效			5060
新疆卫视3	238.125.3.176:5140	无效			5064
新疆卫视4	238.125.3.177:5140	无效			5068
新疆卫视5	238.125.3.178:5140	无效			5062
新疆卫视6	238.125.3.179:5140	无效			5828
新疆卫视7	238.125.3.180:5140	无效			5103
新疆卫视8	238.125.3.181:5140	无效			5084
新疆卫视9	238.125.3.182:5140	无效			5080
新疆教育电视台	238.125.2.8:5140	无效			5087
新疆教育电视台	238.125.6.8:5140	无效			5079
CCTV-1综合	238.125.5.1:5140	无效			5063
CCTV-1综合	238.125.5.96:5140	无效			5074
CCTV-2财经	238.125.5.20:5140	无效			5877
CCTV-3综艺	238.125.5.21:5140	无效			5096
CCTV-4中文国际	238.125.1.67:5140	无效			5087
CCTV-5体育	238.125.5.22:5140	无效			5089
CCTV-5+体育赛事	238.125.5.29:5140	无效			5094
CCTV-6电影	238.125.5.23:5140	无效			5072
CCTV-7国防军事	238.125.5.24:5140	无效			5081
CCTV-8电视剧	238.125.5.25:5140	无效			5073
CCTV-9纪录	238.125.5.26:5140	无效			5781
CCTV-10科教	238.125.5.27:5140	无效			5080
CCTV10	238.125.0.6:5140	无效			5068
CCTV10	238.125.4.6:5140	无效			5063
CCTV-11戏曲	238.125.3.212:5140	无效			5069
CCTV11	238.125.0.7:5140	无效			5063
CCTV11	238.125.4.7:5140	无效			5062
CCTV-12社会与法	238.125.5.28:5140	无效			5058
CCTV12	238.125.0.8:5140	无效			5573
CCTV12	238.125.4.8:5140	无效			5071
CCTV-13新闻	238.125.5.31:5140	无效			5074
CCTV13	238.125.0.9:5140	无效			5070
CCTV13	238.125.4.9:5140	无效			5063
CCTV-14少儿	238.125.5.66:5140	无效			5062
CCTV14	238.125.0.10:5140	无效			5063
CCTV14	238.125.4.10:5140	无效			5060
CCTV-15音乐	238.125.4.84:5140	无效			5942
CCTV15	238.125.0.11:5140	无效			5084
CCTV15	238.125.4.11:5140	无效			5078
CCTV-16奥林匹克	238.125.5.34:5140	无效			5075
CCTV-17农业农村	238.125.5.74:5140	无效			5067
CCTV17	238.125.3.152:5140	无效			5076
CCTV17	238.125.4.254:5140	无效			5084
优优宝贝	238.125.2.177:5140	无效			5073
优优宝贝	238.125.4.72:5140	无效			5962
CGTN英语	238.125.5.69:5140	无效			5080
CGTN记录	238.125.3.102:5140	无效			5080
CGTN记录	238.125.3.120:5140	无效			5068
CGTN记录	238.125.6.1:5140	无效			5070
CGTN记录	238.125.6.3:5140	无效			5075
CGTN西语	238.125.3.100:5140	无效			5074
CGTN西语	238.125.6.4:5140	无效			5062
CGTN法语	238.125.3.99:5140	无效			5817
CGTN俄语	238.125.3.101:5140	无效			5091
CGTN俄语	238.125.6.2:5140	无效			5097
CETV-1	238.125.0.35:5140	无效			5086
CETV-1	238.125.4.35:5140	无效			5082
CETV1	238.125.5.51:5140	无效			5075
CETV-2	238.125.0.36:5140	无效			5074
CETV-2	238.125.2.234:5140	无效			5076
CETV-2	238.125.4.101:5140	无效			5832
CETV-4	238.125.0.37:5140	无效			5085
CETV-4	238.125.4.37:5140	无效			5091
CETV4	238.125.4.98:5140	无效			5088
湖南卫视	238.125.0.15:5140	无效			5074
湖南卫视	238.125.4.15:5140	无效			5068
湖南卫视	238.125.5.4:5140	无效			5076
浙江卫视	238.125.0.18:5140	无效			5061
浙江卫视	238.125.4.18:5140	无效			5823
浙江卫视	238.125.5.7:5140	无效			5112
江苏卫视	238.125.5.6:5140	无效			5091
北京卫视	238.125.0.24:5140	无效			5078
北京卫视	238.125.4.24:5140	无效			5094
北京卫视	238.125.5.3:5140	无效			5085
东方卫视	238.125.0.14:5140	无效			5078
东方卫视	238.125.4.14:5140	无效			5073
东方卫视	238.125.5.5:5140	无效			1428
安徽卫视	238.125.0.16:5140	无效			5359
安徽卫视	238.125.4.16:5140	无效			888
安徽卫视	238.125.5.9:5140	无效			5154
广东卫视	238.125.0.25:5140	无效			510
广东卫视	238.125.4.25:5140	无效			310
广东卫视	238.125.5.12:5140	无效			5070
深圳卫视	238.125.0.42:5140	无效			2331
深圳卫视	238.125.4.42:5140	无效			1504
深圳卫视	238.125.5.2:5140	无效			2543
辽宁卫视	238.125.5.15:5140	无效			338
山东卫视	238.125.0.22:5140	无效			1389
山东卫视	238.125.4.22:5140	无效			3395
山东卫视	238.125.5.11:5140	无效			1371
天津卫视	238.125.0.30:5140	无效			316
天津卫视	238.125.4.30:5140	无效			291
天津卫视	238.125.5.13:5140	无效			1134
重庆卫视	238.125.0.27:5140	无效			5671
重庆卫视	238.125.4.27:5140	无效			902
重庆卫视	238.125.5.14:5140	无效			5125
东南卫视	238.125.0.26:5140	无效			490
东南卫视	238.125.4.26:5140	无效			315
东南卫视	238.125.5.49:5140	无效			5066
河北卫视	238.125.0.136:5140	无效			2358
河北卫视	238.125.4.136:5140	无效			1308
河北卫视	238.125.5.64:5140	无效			5471
河南卫视	238.125.0.29:5140	无效			888
河南卫视	238.125.3.171:5140	无效			5125
河南卫视	238.125.4.29:5140	无效			554
湖北卫视	238.125.0.32:5140	无效			322
湖北卫视	238.125.4.32:5140	无效			4496
湖北卫视	238.125.5.10:5140	无效			577
陕西卫视	238.125.0.135:5140	无效			2312
陕西卫视	238.125.4.135:5140	无效			324
陕西卫视	238.125.5.121:5140	无效			1322
四川卫视	238.125.0.21:5140	无效			325
四川卫视	238.125.4.21:5140	无效			311
四川卫视	238.125.5.62:5140	无效			4412
海南卫视	238.125.0.19:5140	无效			320
海南卫视	238.125.4.19:5140	无效			303
海南卫视	238.125.5.68:5140	无效			2356
甘肃卫视	238.125.0.45:5140	无效			305
甘肃卫视	238.125.4.45:5140	无效			4592
广西卫视	238.125.0.20:5140	无效			457
广西卫视	238.125.4.20:5140	无效			4435
广西卫视	238.125.5.105:5140	无效			381
贵州卫视	238.125.0.34:5140	无效			770
贵州卫视	238.125.4.34:5140	无效			308
贵州卫视	238.125.5.65:5140	无效			1472
黑龙江卫视	238.125.0.41:5140	无效			2472
黑龙江卫视	238.125.4.41:5140	无效			322
黑龙江卫视	238.125.5.8:5140	无效			389
江西卫视	238.125.0.31:5140	无效			5082
江西卫视	238.125.3.106:5140	无效			4386
江西卫视	238.125.4.31:5140	无效			297
吉林卫视	238.125.0.40:5140	无效			303
吉林卫视	238.125.3.103:5140	无效			1293
吉林卫视	238.125.4.40:5140	无效			2708
内蒙古卫视	238.125.0.44:5140	无效			325
内蒙古卫视	238.125.4.44:5140	无效			1349
宁夏卫视	238.125.0.46:5140	无效			4424
宁夏卫视	238.125.4.46:5140	无效			303
山西卫视	238.125.0.33:5140	无效			5071
山西卫视	238.125.4.33:5140	无效			2361
云南卫视	238.125.0.134:5140	无效			1482
云南卫视	238.125.4.134:5140	无效			5291
云南卫视	238.125.5.32:5140	无效			926
青海卫视	238.125.0.39:5140	无效			3391
青海卫视	238.125.4.39:5140	无效			297
兵团卫视	238.125.0.13:5140	无效			2331
兵团卫视	238.125.4.13:5140	无效			2381
三沙卫视	238.125.2.206:5140	无效			285
三沙卫视	238.125.5.111:5140	无效			2235
三沙卫视	238.125.5.114:5140	无效			344
山东教育卫视	238.125.0.156:5140	无效			325
山东教育卫视	238.125.4.156:5140	无效			1347
精彩影视	238.125.5.110:5140	无效			1346
欢笑剧场4K	238.125.2.159:5140	无效			3412
欢笑剧场4K	238.125.5.122:5140	无效			294
四海钓鱼	238.125.2.172:5140	无效			1370
四海钓鱼	238.125.4.77:5140	无效			6116
北京纪实科教	238.125.5.70:5140	无效			5096
北京卡酷少儿	238.125.5.107:5140	无效			5075
卡酷少儿	238.125.0.226:5140	无效			5063
卡酷少儿	238.125.4.226:5140	无效			5067
求索纪录	238.125.5.108:5140	无效			5060
先锋乒羽	238.125.2.237:5140	无效			5059
先锋乒羽	238.125.5.102:5140	无效			5059
快乐垂钓	238.125.5.103:5140	无效			6111
茶频道	238.125.5.101:5140	无效			5100
金鹰纪实	238.125.5.71:5140	无效			5073
金鹰卡通	238.125.0.38:5140	无效			5074
金鹰卡通	238.125.4.38:5140	无效			5066
金鹰卡通	238.125.5.104:5140	无效			5061
河南梨园频道	238.125.4.103:5140	无效			5066
河南武术世界	238.125.4.104:5140	无效			5060
河南文物宝库	238.125.4.106:5140	无效			6170
中华特产	238.125.2.178:5140	无效			5440
中华特产	238.125.4.71:5140	无效			5086
车迷频道	238.125.2.169:5140	无效			5080
车迷频道	238.125.4.80:5140	无效			5078
百姓健康	238.125.4.76:5140	无效			5076
环球旅游	238.125.2.176:5140	无效			5073
环球旅游	238.125.4.73:5140	无效			5068
财富天下	238.125.2.205:5140	无效			6151
上海东方财经	238.125.4.54:5140	无效			5160
上海法治天地	238.125.5.116:5140	无效			5072
上海生活时尚	238.125.5.113:5140	无效			5070
上海都市剧场	238.125.5.60:5140	无效			5065
第一财经	238.125.0.165:5140	无效			5068
上海游戏风云	238.125.5.36:5140	无效			5063
上海动漫秀场	238.125.5.33:5140	无效			5064
上海欢笑剧场	238.125.5.61:5140	无效			6150
上海金色学堂	238.125.5.115:5140	无效			5435
上海哈哈炫动	238.125.5.106:5140	无效			5073
嘉佳卡通	238.125.0.158:5140	无效			5071
嘉佳卡通	238.125.0.82:5140	无效			5067
嘉佳卡通	238.125.4.82:5140	无效			5064
优漫卡通	238.125.0.159:5140	无效			5060
优漫卡通	238.125.4.159:5140	无效			5059
中国天气	238.125.0.81:5140	无效			6154
中国天气	238.125.4.81:5140	无效			5438
聚鲨环球精选	238.125.0.143:5140	无效			5086
聚鲨环球精选	238.125.4.143:5140	无效			5079
好享购物	238.125.0.152:5140	无效			5068
好享购物	238.125.3.158:5140	无效			5067
好享购物	238.125.5.75:5140	无效			5065
优购物	238.125.0.184:5140	无效			5061
优购物	238.125.4.184:5140	无效			6117
北京卡酷HD	238.125.2.216:5140	无效			5242
北京高清	238.125.1.3:5140	无效			5074
天津高清	238.125.1.13:5140	无效			5073
河北高清	238.125.1.64:5140	无效			5067
内蒙古蒙语	238.125.3.93:5140	无效			5067
内蒙古蒙语	238.125.7.93:5140	无效			5058
包头TV1	238.125.3.12:5140	无效			5057
包头TV2	238.125.3.13:5140	无效			6140
包头TV3	238.125.3.14:5140	无效			5397
辽宁	238.125.0.23:5140	无效			5067
辽宁	238.125.4.23:5140	无效			5067
辽宁高清	238.125.1.15:5140	无效			5067
吉林高清	238.125.7.103:5140	无效			5064
黑龙江高清	238.125.1.8:5140	无效			5065
上海纪实 HD	238.125.3.135:5140	无效			5064
上海纪实人文高清	238.125.5.72:5140	无效			6171
江苏	238.125.0.17:5140	无效			5267
江苏	238.125.4.17:5140	无效			5077
江苏卫视2023跨年演唱会	238.125.3.168:5140	无效			5065
江苏卫视2023跨年演唱会	238.125.3.169:5140	无效			5065
江苏卫视2023跨年演唱会	238.125.3.170:5140	无效			5065
江苏高清	238.125.1.6:5140	无效			5060
浙江高清	238.125.1.7:5140	无效			5058
安徽人物频道（？）	238.125.2.197:5140	无效			6175
安徽高清	238.125.1.9:5140	无效			5294
江西高清	238.125.7.106:5140	无效			5072
山东高清	238.125.1.11:5140	无效			5066
河南文物宝库 HD	238.125.2.219:5140	无效			5071
河南梨园频道 HD	238.125.2.221:5140	无效			5064
河南武术世界 HD	238.125.2.220:5140	无效			5067
河南高清	238.125.6.171:5140	无效			5066
湖北高清	238.125.1.10:5140	无效			6215
湖南快乐购	238.125.3.140:5140	无效			5488
湖南快乐购	238.125.7.140:5140	无效			5075
湖南茶 HD	238.125.2.238:5140	无效			5066
湖南高清	238.125.1.4:5140	无效			5066
湖南高清	238.125.1.63:5140	无效			5064
广东高清	238.125.1.12:5140	无效			5070
深圳高清	238.125.1.2:5140	无效			5062
广西高清	238.125.2.218:5140	无效			6200
三沙高清	238.125.2.139:5140	无效			5457
