# 补充IP列表 - 原文件: 新疆电信.txt
# 生成时间: 2026-05-28 17:16:21
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 238.125.0.x =====
# 已有IP: 113 个, 缺失IP: 141 个
# 规律: 固定端口 5140

0-49,rtp://238.125.0.49:5140
0-51,rtp://238.125.0.51:5140
0-54,rtp://238.125.0.54:5140
0-55,rtp://238.125.0.55:5140
0-56,rtp://238.125.0.56:5140
0-57,rtp://238.125.0.57:5140
0-59,rtp://238.125.0.59:5140
0-60,rtp://238.125.0.60:5140
0-61,rtp://238.125.0.61:5140
0-62,rtp://238.125.0.62:5140
0-63,rtp://238.125.0.63:5140
0-64,rtp://238.125.0.64:5140
0-66,rtp://238.125.0.66:5140
0-67,rtp://238.125.0.67:5140
0-68,rtp://238.125.0.68:5140
0-69,rtp://238.125.0.69:5140
0-70,rtp://238.125.0.70:5140
0-71,rtp://238.125.0.71:5140
0-72,rtp://238.125.0.72:5140
0-73,rtp://238.125.0.73:5140
0-74,rtp://238.125.0.74:5140
0-75,rtp://238.125.0.75:5140
0-76,rtp://238.125.0.76:5140
0-77,rtp://238.125.0.77:5140
0-78,rtp://238.125.0.78:5140
0-79,rtp://238.125.0.79:5140
0-80,rtp://238.125.0.80:5140
0-83,rtp://238.125.0.83:5140
0-84,rtp://238.125.0.84:5140
0-85,rtp://238.125.0.85:5140
0-86,rtp://238.125.0.86:5140
0-87,rtp://238.125.0.87:5140
0-88,rtp://238.125.0.88:5140
0-89,rtp://238.125.0.89:5140
0-90,rtp://238.125.0.90:5140
0-91,rtp://238.125.0.91:5140
0-93,rtp://238.125.0.93:5140
0-94,rtp://238.125.0.94:5140
0-95,rtp://238.125.0.95:5140
0-96,rtp://238.125.0.96:5140
0-97,rtp://238.125.0.97:5140
0-98,rtp://238.125.0.98:5140
0-99,rtp://238.125.0.99:5140
0-100,rtp://238.125.0.100:5140
0-101,rtp://238.125.0.101:5140
0-102,rtp://238.125.0.102:5140
0-103,rtp://238.125.0.103:5140
0-104,rtp://238.125.0.104:5140
0-105,rtp://238.125.0.105:5140
0-106,rtp://238.125.0.106:5140
0-107,rtp://238.125.0.107:5140
0-108,rtp://238.125.0.108:5140
0-109,rtp://238.125.0.109:5140
0-110,rtp://238.125.0.110:5140
0-111,rtp://238.125.0.111:5140
0-112,rtp://238.125.0.112:5140
0-113,rtp://238.125.0.113:5140
0-114,rtp://238.125.0.114:5140
0-115,rtp://238.125.0.115:5140
0-116,rtp://238.125.0.116:5140
0-117,rtp://238.125.0.117:5140
0-118,rtp://238.125.0.118:5140
0-119,rtp://238.125.0.119:5140
0-120,rtp://238.125.0.120:5140
0-121,rtp://238.125.0.121:5140
0-122,rtp://238.125.0.122:5140
0-123,rtp://238.125.0.123:5140
0-124,rtp://238.125.0.124:5140
0-125,rtp://238.125.0.125:5140
0-126,rtp://238.125.0.126:5140
0-127,rtp://238.125.0.127:5140
0-128,rtp://238.125.0.128:5140
0-129,rtp://238.125.0.129:5140
0-130,rtp://238.125.0.130:5140
0-131,rtp://238.125.0.131:5140
0-132,rtp://238.125.0.132:5140
0-133,rtp://238.125.0.133:5140
0-137,rtp://238.125.0.137:5140
0-138,rtp://238.125.0.138:5140
0-140,rtp://238.125.0.140:5140
0-141,rtp://238.125.0.141:5140
0-142,rtp://238.125.0.142:5140
0-146,rtp://238.125.0.146:5140
0-151,rtp://238.125.0.151:5140
0-153,rtp://238.125.0.153:5140
0-155,rtp://238.125.0.155:5140
0-160,rtp://238.125.0.160:5140
0-161,rtp://238.125.0.161:5140
0-162,rtp://238.125.0.162:5140
0-163,rtp://238.125.0.163:5140
