# 20260523_112054_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
CCTV1	239.49.0.207:8000	无效			6415
CCTV1	239.49.8.129:6000	无效			5887
CCTV1	239.49.8.19:9614	无效			6669
CCTV-1	239.49.0.1:8000	无效			5623
CCTV-1	239.49.1.1:6000	无效			6433
CCTV2	239.49.8.130:6000	无效			5872
CCTV2	239.49.8.50:9802	无效			5889
CCTV-2	239.49.0.2:8008	无效			5626
CCTV-2	239.49.1.2:6000	无效			6419
CCTV3	239.49.1.3:6000	无效			5905
CCTV3	239.49.8.74:8000	无效			5869
CCTV-3	239.49.0.3:9566	无效			5636
CCTV4	239.49.8.131:6000	无效			6435
CCTV4	239.49.8.51:9806	无效			5883
CCTV-4	239.49.0.4:8024	无效			5884
CCTV-4	239.49.1.4:6000	无效			5883
CCTV5	239.49.1.5:6000	无效			6180
CCTV5	239.49.8.75:8000	无效			5866
CCTV-5	239.49.0.5:9570	无效			5641
CCTV5+	239.49.8.18:9610	无效			5627
CCTV6	239.49.1.6:6000	无效			6426
CCTV6	239.49.8.76:8000	无效			5897
CCTV-6	239.49.0.6:9574	无效			5882
CCTV7	239.49.0.126:8000	无效			5614
CCTV7	239.49.1.254:6000	无效			6421
CCTV-7	239.49.0.7:8048	无效			5893
CCTV-7	239.49.8.126:8000	无效			5614
CCTV8	239.49.1.8:6000	无效			5635
CCTV8	239.49.8.77:8000	无效			6430
CCTV-8	239.49.0.8:9578	无效			5884
CCTV9	239.49.8.53:9814	无效			5872
CCTV10	239.49.8.134:6000	无效			5638
CCTV10	239.49.8.54:9818	无效			6416
CCTV-10	239.49.0.10:8072	无效			5894
CCTV-10	239.49.1.10:6000	无效			6904
CCTV11	239.49.0.127:8000	无效			5626
CCTV11	239.49.1.11:6000	无效			7433
CCTV-11	239.49.0.11:8080	无效			5636
CCTV12	239.49.8.135:6000	无效			5642
CCTV12	239.49.8.55:9822	无效			5616
CCTV-12	239.49.0.12:8088	无效			6422
CCTV-12	239.49.1.12:6000	无效			5876
CCTV13	239.49.0.13:8096	无效			5903
CCTV13	239.49.0.196:8000	无效			5867
CCTV13	239.49.1.13:6000	无效			7184
CCTV13	239.49.8.109:8000	无效			5635
CCTV14	239.49.8.136:6000	无效			6641
CCTV14	239.49.8.56:9826	无效			6397
CCTV-14	239.49.0.14:8104	无效			6413
CCTV-14	239.49.1.14:6000	无效			5896
CCTV15	239.49.0.128:8000	无效			5892
CCTV15	239.49.1.15:6000	无效			5873
CCTV-15	239.49.0.15:8112	无效			6165
CCTV16	239.49.8.31:8000	无效			5873
CCTV17	239.49.8.132:6000	无效			5625
CCTV17	239.49.8.52:9810	无效			5637
CCTV-17	239.49.1.7:6000	无效			6646
CCTV4KSDR	239.49.0.82:8000	无效			5902
CCTV16SDR	239.49.0.109:8000	无效			5884
CGTN	239.49.0.9:8064	无效			5627
CGTN	239.49.1.9:6000	无效			6641
CGTN西语	239.49.1.30:8000	无效			5896
CGTN法语	239.49.1.31:8000	无效			5621
CGTN俄语	239.49.0.111:8000	无效			5636
CETV1	239.49.0.70:8552	无效			6386
CETV1	239.49.8.115:8000	无效			5630
CETV2	239.49.0.71:8560	无效			6674
CETV4	239.49.0.125:8000	无效			5873
CETV4	239.49.0.72:8568	无效			6641
湖南卫视	239.49.0.54:8424	无效			5896
湖南卫视	239.49.1.38:6000	无效			6397
湖南卫视	239.49.8.12:9418	无效			5628
湖南卫视	239.49.8.142:6000	无效			6635
浙江卫视	239.49.0.50:8392	无效			5886
浙江卫视	239.49.1.34:6000	无效			5892
浙江卫视	239.49.8.139:6000	无效			5633
浙江卫视	239.49.8.20:9618	无效			6640
江苏卫视	239.49.0.16:8120	无效			5871
江苏卫视	239.49.1.16:6000	无效			5635
江苏卫视	239.49.8.138:6000	无效			5636
江苏卫视	239.49.8.16:9602	无效			5982
北京卫视	239.49.0.49:8384	无效			5239
北京卫视	239.49.1.33:6000	无效			5101
北京卫视	239.49.8.11:9414	无效			5068
北京卫视	239.49.8.141:6000	无效			5984
