# 20260526_080613_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
﻿0-27	239.49.0.27:8000	无效			6201
0-28	239.49.0.28:8000	无效			635
0-29	239.49.0.29:8000	无效			614
0-31	239.49.0.31:8000	无效			830
0-32	239.49.0.32:8000	无效			600
0-33	239.49.0.33:8000	无效			1594
0-34	239.49.0.34:8000	无效			2638
0-35	239.49.0.35:8000	无效			588
0-36	239.49.0.36:8000	无效			726
0-37	239.49.0.37:8000	无效			5929
0-40	239.49.0.40:8000	无效			587
0-41	239.49.0.41:8000	无效			586
0-43	239.49.0.43:8000	无效			765
0-44	239.49.0.44:8000	无效			778
0-46	239.49.0.46:8000	无效			609
0-47	239.49.0.47:8000	无效			573
0-73	239.49.0.73:8000	无效			567
0-75	239.49.0.75:8000	无效			573
0-76	239.49.0.76:8000	无效			1299
0-77	239.49.0.77:8000	无效			879
0-78	239.49.0.78:8000	无效			1394
0-79	239.49.0.79:8000	无效			590
0-80	239.49.0.80:8000	无效			605
0-86	239.49.0.86:8000	无效			583
0-90	239.49.0.90:8000	无效			99999
0-92	239.49.0.92:8000	无效			567
0-93	239.49.0.93:8000	无效			1583
0-101	239.49.0.101:8000	无效			6190
0-102	239.49.0.102:8000	无效			623
0-104	239.49.0.104:8000	无效			670
0-105	239.49.0.105:8000	无效			920
0-106	239.49.0.106:8000	无效			556
0-107	239.49.0.107:8000	无效			608
0-108	239.49.0.108:8000	无效			590
0-110	239.49.0.110:8000	无效			585
0-112	239.49.0.112:8000	有效	528x576	h264	6962
0-113	239.49.0.113:8000	有效	720x576	h264	6289
0-116	239.49.0.116:8000	无效			568
0-117	239.49.0.117:8000	无效			1535
0-118	239.49.0.118:8000	无效			747
0-119	239.49.0.119:8000	无效			1634
0-120	239.49.0.120:8000	无效			1617
0-122	239.49.0.122:8000	无效			571
0-129	239.49.0.129:8000	无效			567
0-130	239.49.0.130:8000	无效			572
0-131	239.49.0.131:8000	无效			643
0-132	239.49.0.132:8000	无效			1767
0-133	239.49.0.133:8000	无效			1373
0-134	239.49.0.134:8000	无效			845
0-135	239.49.0.135:8000	无效			636
0-136	239.49.0.136:8000	无效			577
0-137	239.49.0.137:8000	无效			561
0-138	239.49.0.138:8000	无效			609
0-139	239.49.0.139:8000	无效			607
0-140	239.49.0.140:8000	无效			597
0-141	239.49.0.141:8000	无效			99999
0-142	239.49.0.142:8000	无效			1353
0-143	239.49.0.143:8000	无效			854
0-144	239.49.0.144:8000	无效			618
0-150	239.49.0.150:8000	无效			592
0-151	239.49.0.151:8000	无效			552
0-152	239.49.0.152:8000	无效			606
0-153	239.49.0.153:8000	无效			560
0-154	239.49.0.154:8000	无效			1617
0-155	239.49.0.155:8000	无效			561
0-156	239.49.0.156:8000	无效			1472
0-157	239.49.0.157:8000	无效			718
0-158	239.49.0.158:8000	无效			566
0-159	239.49.0.159:8000	无效			585
0-160	239.49.0.160:8000	无效			581
0-161	239.49.0.161:8000	无效			581
0-164	239.49.0.164:8000	无效			590
0-166	239.49.0.166:8000	无效			1587
0-173	239.49.0.173:8000	无效			599
0-174	239.49.0.174:8000	无效			1525
0-175	239.49.0.175:8000	无效			662
0-176	239.49.0.176:8000	无效			625
0-179	239.49.0.179:8000	无效			583
0-184	239.49.0.184:8000	无效			611
0-185	239.49.0.185:8000	无效			593
0-186	239.49.0.186:8000	无效			564
0-187	239.49.0.187:8000	无效			588
0-188	239.49.0.188:8000	无效			99999
0-191	239.49.0.191:8000	无效			1502
0-193	239.49.0.193:8000	无效			753
0-194	239.49.0.194:8000	无效			596
0-198	239.49.0.198:8000	无效			1629
0-200	239.49.0.200:8000	无效			99999
0-201	239.49.0.201:8000	有效	720x576	h264	7363
0-202	239.49.0.202:8000	有效	720x576	h264	5665
0-206	239.49.0.206:8000	有效	1920x1080	h264	8142
0-208	239.49.0.208:8000	无效			560
0-210	239.49.0.210:8000	无效			604
0-213	239.49.0.213:8000	无效			580
0-226	239.49.0.226:8000	有效	720x576	h264	5698
0-227	239.49.0.227:8000	无效			1313
0-228	239.49.0.228:8000	无效			6526
0-232	239.49.0.232:8000	无效			99999
0-234	239.49.0.234:8000	无效			99999
0-235	239.49.0.235:8000	无效			99999
0-242	239.49.0.242:8000	无效			99999
0-243	239.49.0.243:8000	有效	720x576	h264	6673
0-244	239.49.0.244:8000	无效			99999
0-246	239.49.0.246:8000	无效			99999
0-247	239.49.0.247:8000	有效	720x576	h264	8952
0-251	239.49.0.251:8000	无效			6539
0-254	239.49.0.254:8000	无效			99999
1-96	239.49.1.96:8000	无效			6520
1-97	239.49.1.97:8000	无效			99999
1-98	239.49.1.98:8000	无效			99999
1-99	239.49.1.99:8000	无效			99999
1-100	239.49.1.100:8000	无效			99999
1-101	239.49.1.101:8000	无效			99999
1-102	239.49.1.102:8000	无效			99999
1-103	239.49.1.103:8000	无效			6562
1-104	239.49.1.104:8000	无效			99999
1-105	239.49.1.105:8000	无效			6522
1-106	239.49.1.106:8000	无效			99999
1-107	239.49.1.107:8000	无效			99999
1-108	239.49.1.108:8000	无效			99999
1-109	239.49.1.109:8000	无效			99999
1-110	239.49.1.110:8000	无效			99999
1-111	239.49.1.111:8000	无效			99999
1-112	239.49.1.112:8000	无效			7543
1-113	239.49.1.113:8000	无效			99999
1-114	239.49.1.114:8000	无效			6770
1-115	239.49.1.115:8000	无效			99999
1-116	239.49.1.116:8000	无效			99999
1-117	239.49.1.117:8000	无效			99999
1-118	239.49.1.118:8000	无效			99999
1-119	239.49.1.119:8000	无效			99999
1-120	239.49.1.120:8000	无效			99999
1-121	239.49.1.121:8000	无效			6311
1-122	239.49.1.122:8000	无效			99999
1-123	239.49.1.123:8000	无效			6783
1-124	239.49.1.124:8000	无效			99999
1-125	239.49.1.125:8000	无效			99999
1-126	239.49.1.126:8000	无效			99999
1-127	239.49.1.127:8000	无效			99999
1-128	239.49.1.128:8000	无效			99999
1-129	239.49.1.129:8000	无效			99999
1-130	239.49.1.130:8000	无效			6284
1-131	239.49.1.131:8000	无效			99999
1-132	239.49.1.132:8000	无效			7831
1-133	239.49.1.133:8000	无效			99999
1-134	239.49.1.134:8000	无效			99999
1-135	239.49.1.135:8000	无效			99999
1-136	239.49.1.136:8000	无效			99999
1-137	239.49.1.137:8000	无效			99999
1-138	239.49.1.138:8000	无效			99999
1-139	239.49.1.139:8000	无效			5737
1-140	239.49.1.140:8000	无效			99999
1-141	239.49.1.141:8000	无效			7542
1-142	239.49.1.142:8000	无效			99999
1-143	239.49.1.143:8000	无效			99999
1-144	239.49.1.144:8000	无效			99999
1-145	239.49.1.145:8000	无效			99999
1-146	239.49.1.146:8000	无效			99999
1-147	239.49.1.147:8000	无效			99999
1-148	239.49.1.148:8000	无效			5761
1-149	239.49.1.149:8000	无效			99999
1-150	239.49.1.150:8000	无效			6770
1-151	239.49.1.151:8000	无效			99999
1-152	239.49.1.152:8000	无效			99999
1-153	239.49.1.153:8000	无效			99999
1-154	239.49.1.154:8000	无效			99999
1-155	239.49.1.155:8000	无效			99999
1-156	239.49.1.156:8000	无效			99999
1-157	239.49.1.157:8000	无效			6242
1-158	239.49.1.158:8000	无效			99999
1-159	239.49.1.159:8000	无效			6746
1-160	239.49.1.160:8000	无效			99999
1-161	239.49.1.161:8000	无效			99999
1-162	239.49.1.162:8000	无效			99999
1-163	239.49.1.163:8000	无效			99999
1-164	239.49.1.164:8000	无效			99999
1-165	239.49.1.165:8000	无效			99999
1-166	239.49.1.166:8000	无效			6315
1-167	239.49.1.167:8000	无效			99999
1-168	239.49.1.168:8000	无效			6766
1-169	239.49.1.169:8000	无效			99999
1-170	239.49.1.170:8000	无效			99999
1-171	239.49.1.171:8000	无效			99999
1-172	239.49.1.172:8000	无效			99999
1-173	239.49.1.173:8000	无效			99999
1-174	239.49.1.174:8000	无效			99999
1-175	239.49.1.175:8000	无效			6291
1-176	239.49.1.176:8000	无效			99999
1-177	239.49.1.177:8000	无效			6221
1-178	239.49.1.178:8000	无效			5103
1-179	239.49.1.179:8000	无效			5141
1-180	239.49.1.180:8000	无效			5095
1-181	239.49.1.181:8000	无效			5073
1-182	239.49.1.182:8000	无效			5110
1-183	239.49.1.183:8000	无效			5114
1-184	239.49.1.184:8000	无效			5125
1-185	239.49.1.185:8000	无效			5073
1-186	239.49.1.186:8000	无效			6278
1-187	239.49.1.187:8000	无效			5087
1-188	239.49.1.188:8000	无效			5103
1-189	239.49.1.189:8000	无效			5084
1-190	239.49.1.190:8000	无效			5080
1-191	239.49.1.191:8000	无效			5118
1-192	239.49.1.192:8000	无效			5103
1-193	239.49.1.193:8000	无效			5128
1-194	239.49.1.194:8000	无效			5072
1-195	239.49.1.195:8000	无效			6089
1-196	239.49.1.196:8000	无效			5096
1-197	239.49.1.197:8000	无效			5070
1-198	239.49.1.198:8000	无效			5069
1-199	239.49.1.199:8000	无效			5062
1-200	239.49.1.200:8000	无效			5072
1-201	239.49.1.201:8000	无效			5067
1-202	239.49.1.202:8000	无效			5076
1-203	239.49.1.203:8000	无效			5059
1-204	239.49.1.204:8000	无效			6270
1-205	239.49.1.205:8000	无效			5075
1-206	239.49.1.206:8000	无效			5107
1-207	239.49.1.207:8000	无效			5080
1-208	239.49.1.208:8000	无效			5089
1-209	239.49.1.209:8000	无效			5087
1-210	239.49.1.210:8000	无效			5100
1-211	239.49.1.211:8000	无效			5139
1-212	239.49.1.212:8000	无效			5064
1-213	239.49.1.213:8000	无效			6314
1-214	239.49.1.214:8000	无效			5080
1-215	239.49.1.215:8000	无效			5079
1-216	239.49.1.216:8000	无效			5107
1-217	239.49.1.217:8000	无效			5078
1-218	239.49.1.218:8000	无效			5094
1-219	239.49.1.219:8000	无效			5110
1-220	239.49.1.220:8000	无效			5128
1-221	239.49.1.221:8000	无效			5065
1-222	239.49.1.222:8000	无效			6155
1-223	239.49.1.223:8000	无效			5121
1-224	239.49.1.224:8000	无效			5095
1-225	239.49.1.225:8000	无效			5063
1-226	239.49.1.226:8000	无效			5078
1-227	239.49.1.227:8000	无效			5173
1-228	239.49.1.228:8000	无效			5075
1-229	239.49.1.229:8000	无效			5104
1-230	239.49.1.230:8000	无效			5064
1-231	239.49.1.231:8000	无效			6097
1-232	239.49.1.232:8000	无效			5120
1-233	239.49.1.233:8000	无效			5066
1-234	239.49.1.234:8000	无效			5063
1-236	239.49.1.236:8000	无效			5062
1-237	239.49.1.237:8000	无效			5068
1-238	239.49.1.238:8000	无效			5071
1-239	239.49.1.239:8000	无效			5085
1-240	239.49.1.240:8000	无效			5060
1-241	239.49.1.241:8000	无效			6120
1-242	239.49.1.242:8000	无效			5140
1-243	239.49.1.243:8000	无效			5087
1-244	239.49.1.244:8000	无效			5073
1-245	239.49.1.245:8000	无效			5072
1-246	239.49.1.246:8000	无效			5084
1-247	239.49.1.247:8000	无效			5062
1-248	239.49.1.248:8000	无效			5067
1-249	239.49.1.249:8000	无效			5062
1-250	239.49.1.250:8000	无效			6180
1-251	239.49.1.251:8000	无效			5098
1-252	239.49.1.252:8000	无效			5087
1-253	239.49.1.253:8000	无效			5070
8月1日	239.49.8.1:8000	无效			5071
8月2日	239.49.8.2:8000	无效			5113
8月3日	239.49.8.3:8000	无效			5061
8月4日	239.49.8.4:8000	无效			5066
8月5日	239.49.8.5:8000	无效			5065
8月6日	239.49.8.6:8000	无效			6152
8月9日	239.49.8.9:8000	无效			5132
8月21日	239.49.8.21:8000	无效			5121
8月22日	239.49.8.22:8000	无效			5072
8月23日	239.49.8.23:8000	无效			5080
8月24日	239.49.8.24:8000	无效			5127
8月25日	239.49.8.25:8000	无效			5107
8月26日	239.49.8.26:8000	无效			5132
8月27日	239.49.8.27:8000	无效			5074
8月28日	239.49.8.28:8000	无效			6845
8-32	239.49.8.32:8000	无效			5881
8-36	239.49.8.36:8000	无效			5882
8-40	239.49.8.40:8000	无效			5626
8-41	239.49.8.41:8000	无效			5636
8-43	239.49.8.43:8000	无效			5619
8-44	239.49.8.44:8000	无效			5644
8-45	239.49.8.45:8000	无效			5622
8-47	239.49.8.47:8000	无效			5639
8-58	239.49.8.58:8000	无效			6836
8-59	239.49.8.59:8000	无效			5886
8-60	239.49.8.60:8000	无效			6900
8-61	239.49.8.61:8000	无效			7675
8-62	239.49.8.62:8000	无效			5640
8-65	239.49.8.65:8000	无效			5640
8-66	239.49.8.66:8000	无效			5626
8-67	239.49.8.67:8000	无效			5622
8-68	239.49.8.68:8000	无效			5638
8-69	239.49.8.69:8000	无效			7854
8-70	239.49.8.70:8000	无效			6884
8-71	239.49.8.71:8000	无效			6414
8-72	239.49.8.72:8000	无效			5625
8-73	239.49.8.73:8000	有效	1920x1080	h264	7078
8-78	239.49.8.78:8000	无效			6392
8-81	239.49.8.81:8000	无效			5637
8-84	239.49.8.84:8000	无效			5633
8-85	239.49.8.85:8000	无效			5626
8-86	239.49.8.86:8000	无效			5629
8-87	239.49.8.87:8000	无效			6810
8-88	239.49.8.88:8000	无效			5894
8-89	239.49.8.89:8000	无效			5874
8-90	239.49.8.90:8000	无效			7678
8-91	239.49.8.91:8000	无效			5635
8-92	239.49.8.92:8000	无效			5632
8-93	239.49.8.93:8000	无效			5639
8-94	239.49.8.94:8000	无效			5617
8-95	239.49.8.95:8000	无效			5638
8-106	239.49.8.106:8000	无效			6813
8-123	239.49.8.123:8000	有效	528x576	h264	6206
8-124	239.49.8.124:8000	无效			5872
8-125	239.49.8.125:8000	有效	720x576	h264	5833
8-127	239.49.8.127:8000	有效	720x576	h264	6038
8-128	239.49.8.128:8000	无效			6814
8-133	239.49.8.133:8000	无效			5637
8-137	239.49.8.137:8000	无效			5623
8-150	239.49.8.150:8000	无效			5637
8-151	239.49.8.151:8000	无效			5634
8-152	239.49.8.152:8000	无效			6795
8-153	239.49.8.153:8000	无效			5881
8-154	239.49.8.154:8000	无效			5638
8-155	239.49.8.155:8000	无效			5641
8-156	239.49.8.156:8000	无效			5617
8-157	239.49.8.157:8000	无效			5630
8-158	239.49.8.158:8000	无效			5646
8-159	239.49.8.159:8000	无效			5639
8-160	239.49.8.160:8000	无效			6382
8-161	239.49.8.161:8000	无效			7843
8-162	239.49.8.162:8000	无效			5863
8-163	239.49.8.163:8000	无效			5897
8-164	239.49.8.164:8000	无效			5630
8-165	239.49.8.165:8000	无效			7671
8-166	239.49.8.166:8000	无效			5645
8-167	239.49.8.167:8000	无效			5626
8-168	239.49.8.168:8000	无效			5625
8-169	239.49.8.169:8000	无效			5635
8-170	239.49.8.170:8000	无效			6795
8-171	239.49.8.171:8000	无效			5870
8-172	239.49.8.172:8000	无效			5894
8-173	239.49.8.173:8000	无效			5627
8-174	239.49.8.174:8000	无效			5637
8-175	239.49.8.175:8000	无效			5627
8-176	239.49.8.176:8000	无效			6654
8-177	239.49.8.177:8000	无效			5635
8-178	239.49.8.178:8000	无效			5632
8-179	239.49.8.179:8000	无效			6785
8-180	239.49.8.180:8000	无效			5874
8-181	239.49.8.181:8000	无效			5886
8-182	239.49.8.182:8000	无效			5634
8-183	239.49.8.183:8000	无效			5638
8-184	239.49.8.184:8000	无效			6668
8-186	239.49.8.186:8000	无效			5612
8-187	239.49.8.187:8000	无效			5638
8-189	239.49.8.189:8000	无效			5625
8-190	239.49.8.190:8000	无效			6773
8-191	239.49.8.191:8000	无效			5894
8-192	239.49.8.192:8000	无效			7677
8-194	239.49.8.194:8000	无效			5626
8-195	239.49.8.195:8000	无效			5885
8-196	239.49.8.196:8000	无效			5627
8-197	239.49.8.197:8000	无效			5641
8-198	239.49.8.198:8000	无效			5636
8-199	239.49.8.199:8000	无效			5628
8-200	239.49.8.200:8000	无效			7180
8-201	239.49.8.201:8000	无效			99999
8-202	239.49.8.202:8000	无效			99999
8-203	239.49.8.203:8000	无效			99999
8-205	239.49.8.205:8000	无效			99999
8-206	239.49.8.206:8000	无效			99999
8-207	239.49.8.207:8000	无效			99999
8-208	239.49.8.208:8000	无效			6514
8-209	239.49.8.209:8000	无效			99999
8-210	239.49.8.210:8000	无效			6960
8-211	239.49.8.211:8000	无效			99999
8-212	239.49.8.212:8000	无效			99999
8-213	239.49.8.213:8000	无效			99999
8-214	239.49.8.214:8000	无效			99999
8-215	239.49.8.215:8000	无效			99999
8-216	239.49.8.216:8000	无效			99999
8-217	239.49.8.217:8000	无效			6650
8-218	239.49.8.218:8000	无效			99999
8-219	239.49.8.219:8000	无效			6934
8-220	239.49.8.220:8000	无效			99999
8-221	239.49.8.221:8000	无效			99999
8-222	239.49.8.222:8000	无效			99999
8-223	239.49.8.223:8000	无效			99999
8-224	239.49.8.224:8000	无效			99999
8-225	239.49.8.225:8000	无效			99999
8-226	239.49.8.226:8000	无效			6720
8-227	239.49.8.227:8000	无效			99999
8-228	239.49.8.228:8000	无效			7163
8-229	239.49.8.229:8000	无效			99999
8-230	239.49.8.230:8000	无效			99999
8-232	239.49.8.232:8000	无效			99999
8-233	239.49.8.233:8000	无效			99999
8-234	239.49.8.234:8000	无效			99999
8-235	239.49.8.235:8000	无效			99999
8-236	239.49.8.236:8000	无效			6504
8-237	239.49.8.237:8000	无效			99999
8-238	239.49.8.238:8000	无效			7942
8-239	239.49.8.239:8000	无效			99999
8-240	239.49.8.240:8000	无效			99999
8-241	239.49.8.241:8000	无效			99999
8-242	239.49.8.242:8000	无效			99999
8-243	239.49.8.243:8000	无效			99999
8-244	239.49.8.244:8000	无效			99999
8-245	239.49.8.245:8000	无效			5722
8-246	239.49.8.246:8000	无效			99999
8-247	239.49.8.247:8000	无效			6943
8-248	239.49.8.248:8000	无效			99999
8-249	239.49.8.249:8000	无效			99999
8-250	239.49.8.250:8000	无效			99999
8-251	239.49.8.251:8000	无效			99999
8-252	239.49.8.252:8000	无效			99999
8-253	239.49.8.253:8000	无效			99999
8-254	239.49.8.254:8000	无效			6715
0-27	239.49.0.27:6000	无效			99999
0-28	239.49.0.28:6000	无效			7708
0-29	239.49.0.29:6000	无效			99999
0-31	239.49.0.31:6000	无效			99999
0-32	239.49.0.32:6000	无效			99999
0-33	239.49.0.33:6000	无效			99999
0-34	239.49.0.34:6000	无效			99999
0-35	239.49.0.35:6000	无效			99999
0-36	239.49.0.36:6000	无效			5937
0-37	239.49.0.37:6000	无效			99999
0-40	239.49.0.40:6000	无效			6932
0-41	239.49.0.41:6000	无效			99999
0-43	239.49.0.43:6000	无效			99999
0-44	239.49.0.44:6000	无效			99999
0-46	239.49.0.46:6000	无效			99999
0-47	239.49.0.47:6000	无效			99999
0-73	239.49.0.73:6000	无效			99999
0-75	239.49.0.75:6000	无效			6700
