# 20260627_154658_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
江西卫视	239.252.220.63:5140	有效	1920x1080	h264	7164
江西公共农业	239.252.220.102:5140	有效	1920x1080	h264	7227
江西少儿	239.252.220.111:5140	有效	720x576	h264	5787
江西少儿频道	239.252.219.113:5140	有效	1920x1080	h264	8496
江西影视旅游	239.252.220.242:5140	无效			482
江西教育频道	239.252.219.115:5140	有效	1920x1080	h264	8137
江西新闻频道	239.252.220.100:5140	有效	1920x1080	h264	8348
江西移动电视频道-高清	239.252.220.241:5140	有效	1920x1080	h264	8177
江西经济	239.252.220.110:5140	有效	720x576	h264	5837
江西经济生活	239.252.219.173:5140	有效	720x576	h264	5662
江西都市	239.252.220.109:5140	有效	720x576	h264	5720
江西都市频道	239.252.220.238:5140	有效	1920x1080	h264	8863
CCTV-1	239.252.219.10:5140	有效	720x576	h264	7409
CCTV1	239.252.219.200:5140	有效	1920x1080	h264	8421
CCTV2	239.252.220.183:5140	有效	1920x1080	h264	7177
CCTV3	239.252.219.252:5140	有效	1920x1080	h264	7702
CCTV3	239.252.220.193:5140	有效	1920x1080	h264	8506
CCTV4	239.252.220.184:5140	有效	1920x1080	h264	9260
CCTV4欧洲	239.252.219.192:5140	有效	1920x1080	h264	8149
CCTV4美洲	239.252.219.193:5140	有效	1920x1080	h264	8111
CCTV5	239.252.219.198:5140	有效	1920x1080	h264	9124
CCTV5	239.252.219.236:5140	有效	1920x1080	h264	7603
CCTV5+	239.252.219.72:5140	有效	1920x1080	h264	7956
CCTV6	239.252.219.237:5140	有效	1920x1080	h264	7659
CCTV6	239.252.220.195:5140	有效	1920x1080	h264	8096
CCTV7	239.252.220.185:5140	有效	1920x1080	h264	7576
CCTV8	239.252.219.253:5140	有效	1920x1080	h264	8545
CCTV8	239.252.220.196:5140	有效	1920x1080	h264	8062
CCTV9	239.252.220.186:5140	有效	1920x1080	h264	8524
CCTV10	239.252.220.91:5140	有效	1920x1080	h264	8487
CCTV11	239.252.219.16:5140	有效	720x576	h264	5776
CCTV11	239.252.219.78:5140	有效	1920x1080	h264	8488
CCTV12	239.252.220.187:5140	有效	1920x1080	h264	7801
CCTV13	239.252.219.139:5140	有效	1920x1080	h264	8510
CCTV13	239.252.219.18:5140	有效	720x576	h264	5752
CCTV14	239.252.220.92:5140	有效	1920x1080	h264	8924
CCTV15	239.252.219.20:5140	有效	720x576	h264	8185
CCTV15	239.252.219.79:5140	有效	1920x1080	h264	8072
CCTV16	239.252.220.237:5140	有效	3840x2160	hevc	9041
CCTV17	239.252.220.192:5140	有效	1920x1080	h264	7722
CCTV4KSDR	239.252.219.60:5140	有效	3840x2160	hevc	8085
CHC动作电影	239.252.219.85:5140	有效	1920x1080	h264	6924
CHC家庭影院	239.252.219.84:5140	有效	1920x1080	h264	9382
风云音乐	239.252.219.87:5140	有效	1920x1080	h264	9194
世界地理	239.252.219.93:5140	有效	1920x1080	h264	7605
第一剧场	239.252.219.86:5140	有效	1920x1080	h264	7650
风云剧场	239.252.219.89:5140	有效	1920x1080	h264	7668
央视精品	239.252.219.81:5140	有效	1920x1080	h264	8374
兵器科技	239.252.219.98:5140	有效	1920x1080	h264	7814
风云足球	239.252.219.96:5140	有效	1920x1080	h264	7792
高网	239.252.220.204:5140	有效	1920x1080	h264	7223
怀旧剧场	239.252.219.90:5140	有效	1920x1080	h264	8617
女性时尚	239.252.219.94:5140	有效	1920x1080	h264	7957
央视台球	239.252.219.80:5140	有效	1920x1080	h264	7817
电视指南	239.252.219.97:5140	有效	1920x1080	h264	8111
优优宝贝	239.252.220.219:5140	有效	720x576	h264	5974
CGTN	239.252.219.194:5140	有效	1920x1080	h264	8281
CGTN	239.252.220.150:5140	有效	720x576	h264	5828
CGTN西语	239.252.219.196:5140	有效	1920x1080	h264	9422
CGTN法语	239.252.219.65:5140	有效	1920x1080	h264	8657
CGTN阿语	239.252.219.66:5140	有效	1920x1080	h264	8659
CGTN俄语	239.252.219.67:5140	有效	1920x1080	h264	7776
CETV1	239.252.220.198:5140	有效	1920x1080	h264	7558
CETV2	239.252.219.73:5140	有效	720x576	h264	5505
CETV4	239.252.219.169:5140	有效	720x576	h264	7336
湖南卫视	239.252.219.201:5140	有效	1920x1080	h264	7777
浙江卫视	239.252.219.210:5140	有效	1920x1080	h264	7942
江苏卫视	239.252.219.214:5140	有效	1920x1080	h264	7918
北京卫视	239.252.219.206:5140	有效	1920x1080	h264	7597
东方卫视	239.252.219.229:5140	有效	1920x1080	h264	8869
安徽卫视	239.252.220.83:5140	有效	1920x1080	h264	8386
广东卫视	239.252.219.213:5140	有效	1920x1080	h264	7946
深圳卫视	239.252.219.212:5140	有效	1920x1080	h264	8590
辽宁卫视	239.252.220.62:5140	有效	1920x1080	h264	7885
山东卫视	239.252.219.228:5140	有效	1920x1080	h264	7939
天津卫视	239.252.219.187:5140	有效	1920x1080	h264	6139
天津卫视	239.252.220.61:5140	有效	1920x1080	h264	7904
重庆卫视	239.252.220.94:5140	有效	1920x1080	h264	7422
东南卫视	239.252.220.82:5140	有效	1920x1080	h264	7525
河北卫视	239.252.220.154:5140	有效	1920x1080	h264	7134
河南卫视	239.252.220.189:5140	有效	1920x1080	h264	9395
湖北卫视	239.252.219.208:5140	有效	1920x1080	h264	8020
陕西卫视	239.252.219.105:5140	有效	720x576	h264	5692
四川卫视	239.252.220.93:5140	有效	1920x1080	h264	8961
海南卫视	239.252.219.178:5140	有效	1920x1080	h264	8856
甘肃卫视	239.252.219.110:5140	有效	720x576	h264	5859
甘肃卫视	239.252.219.140:5140	有效	1920x1080	h264	8249
广西卫视	239.252.219.183:5140	有效	1920x1080	h264	7601
贵州卫视	239.252.220.190:5140	有效	1920x1080	h264	9077
黑龙江卫视	239.252.219.211:5140	有效	1920x1080	h264	7228
吉林卫视	239.252.220.188:5140	有效	1920x1080	h264	8048
内蒙古卫视	239.252.219.48:5140	有效	720x576	h264	6412
山西卫视	239.252.219.27:5140	有效	720x576	h264	5984
新疆卫视	239.252.219.100:5140	有效	720x576	h264	5817
云南卫视	239.252.219.185:5140	有效	1920x1080	h264	7618
青海卫视	239.252.219.46:5140	有效	720x576	h264	5635
兵团卫视	239.252.219.107:5140	有效	720x576	h264	5850
三沙卫视	239.252.219.76:5140	有效	720x576	h264	5760
厦门卫视	239.252.219.75:5140	有效	720x576	h264	6272
山东教育卫视	239.252.219.74:5140	有效	720x576	h264	6474
经典电影	239.252.220.139:5140	有效	1920x1080	h264	5726
动作影院	239.252.220.85:5140	有效	1920x1080	h264	5995
喜剧影院	239.252.220.79:5140	有效	1920x1080	h264	6612
家庭影院	239.252.220.86:5140	有效	1920x1080	h264	6491
星影	239.252.220.210:5140	有效	1920x1080	h264	6063
精彩影视	239.252.220.223:5140	无效			463
热播剧场	239.252.220.138:5140	有效	1920x1080	h264	5640
古装剧场	239.252.220.77:5140	有效	1920x1080	h264	5849
城市剧场	239.252.220.75:5140	有效	1920x1080	h264	5666
军旅剧场	239.252.220.76:5140	有效	1920x1080	h264	5842
魅力时尚	239.252.220.137:5140	有效	1920x1080	h264	7871
少儿动画	239.252.220.136:5140	有效	1920x1080	h264	8132
