# 补充IP列表 - 原文件: 江西电信.txt
# 生成时间: 2026-05-28 17:16:21
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.252.219.x =====
# 已有IP: 121 个, 缺失IP: 133 个
# 规律: 固定端口 5140

219-1,rtp://239.252.219.1:5140
219-2,rtp://239.252.219.2:5140
219-3,rtp://239.252.219.3:5140
219-4,rtp://239.252.219.4:5140
219-5,rtp://239.252.219.5:5140
219-6,rtp://239.252.219.6:5140
219-7,rtp://239.252.219.7:5140
219-8,rtp://239.252.219.8:5140
219-9,rtp://239.252.219.9:5140
219-11,rtp://239.252.219.11:5140
219-12,rtp://239.252.219.12:5140
219-13,rtp://239.252.219.13:5140
219-14,rtp://239.252.219.14:5140
219-15,rtp://239.252.219.15:5140
219-17,rtp://239.252.219.17:5140
219-19,rtp://239.252.219.19:5140
219-21,rtp://239.252.219.21:5140
219-22,rtp://239.252.219.22:5140
219-23,rtp://239.252.219.23:5140
219-24,rtp://239.252.219.24:5140
219-25,rtp://239.252.219.25:5140
219-26,rtp://239.252.219.26:5140
219-28,rtp://239.252.219.28:5140
219-29,rtp://239.252.219.29:5140
219-30,rtp://239.252.219.30:5140
219-31,rtp://239.252.219.31:5140
219-32,rtp://239.252.219.32:5140
219-33,rtp://239.252.219.33:5140
219-34,rtp://239.252.219.34:5140
219-35,rtp://239.252.219.35:5140
219-36,rtp://239.252.219.36:5140
219-37,rtp://239.252.219.37:5140
219-38,rtp://239.252.219.38:5140
219-39,rtp://239.252.219.39:5140
219-40,rtp://239.252.219.40:5140
219-41,rtp://239.252.219.41:5140
219-42,rtp://239.252.219.42:5140
219-45,rtp://239.252.219.45:5140
219-47,rtp://239.252.219.47:5140
219-49,rtp://239.252.219.49:5140
219-50,rtp://239.252.219.50:5140
219-51,rtp://239.252.219.51:5140
219-52,rtp://239.252.219.52:5140
219-55,rtp://239.252.219.55:5140
219-58,rtp://239.252.219.58:5140
219-61,rtp://239.252.219.61:5140
219-62,rtp://239.252.219.62:5140
219-64,rtp://239.252.219.64:5140
219-68,rtp://239.252.219.68:5140
219-70,rtp://239.252.219.70:5140
219-71,rtp://239.252.219.71:5140
219-77,rtp://239.252.219.77:5140
219-82,rtp://239.252.219.82:5140
219-88,rtp://239.252.219.88:5140
219-102,rtp://239.252.219.102:5140
219-103,rtp://239.252.219.103:5140
219-108,rtp://239.252.219.108:5140
219-114,rtp://239.252.219.114:5140
219-116,rtp://239.252.219.116:5140
219-118,rtp://239.252.219.118:5140
