# 20260702_165142_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
河北卫视	235.254.198.184:7980	无效			5978
河北卫视	235.254.199.184:7980	无效			5876
河北卫视	239.254.200.174:6000	有效			0
河北三佳购物	239.254.200.143:6000	有效			0
河北农民	239.254.200.23:6000	有效			0
河北少儿科教	239.254.200.21:6000	有效			0
河北影视剧频道	239.254.200.20:6000	有效			0
河北文旅公共	239.254.200.22:6000	无效			5886
河北杂技频道	239.254.201.139:7203	无效			5963
河北经济生活	239.254.200.18:6000	有效			0
河北都市频道	239.254.200.19:6000	有效			0
CCTV-1综合	235.254.199.147:7980	无效			5882
CCTV-1综合	235.254.199.51:7980	无效			5901
CCTV1	239.254.200.45:8008	有效			0
CCTV-2财经	235.254.199.52:7980	无效			5706
CCTV2	239.254.200.158:6000	有效			0
CCTV-3综艺	235.254.199.53:7980	无效			5627
CCTV3	239.254.201.152:7205	有效			0
CCTV-4中文国际	235.254.198.183:7980	无效			5640
CCTV-4中文国际	235.254.199.183:7980	无效			5968
CCTV4	239.254.200.190:6307	有效			0
CCTV4欧洲	239.254.201.205:4220	有效			0
CCTV4美洲	239.254.201.206:4220	有效			0
CCTV-5体育	235.254.199.146:7980	无效			5910
CCTV-5体育	235.254.199.54:7980	无效			5861
CCTV5	239.254.201.153:7206	有效			0
CCTV-5+体育赛事	235.254.199.121:7980	无效			5961
CCTV5+	239.254.200.46:8004	有效			0
CCTV-6电影	235.254.199.55:7980	无效			5906
CCTV6	239.254.201.154:7207	有效			0
CCTV-7国防军事	235.254.199.56:7980	无效			5865
CCTV7	239.254.200.159:6000	有效			0
CCTV-8电视剧	235.254.199.57:7980	无效			6984
CCTV-8电视剧	235.254.199.92:7980	无效			5628
CCTV8	239.254.201.155:7208	有效			0
CCTV-9纪录	235.254.199.58:7980	无效			5633
CCTV9	239.254.200.59:8112	有效			0
CCTV-10科教	235.254.199.59:7980	无效			5980
CCTV10	239.254.200.160:6000	有效			0
CCTV-11戏曲	235.254.197.161:7980	无效			5884
CCTV11	239.254.201.123:8120	有效			0
CCTV-12社会与法	235.254.199.60:7980	无效			5870
CCTV12	239.254.200.161:6000	有效			0
CCTV-13新闻	235.254.197.162:7980	无效			6719
CCTV13	239.254.200.9:8264	有效			0
CCTV-14少儿	235.254.199.61:7980	无效			6400
CCTV14	239.254.200.162:6000	有效			0
CCTV-15音乐	235.254.197.163:7980	无效			5631
CCTV15	239.254.201.124:8136	有效			0
CCTV16	239.254.200.61:6344	有效			0
CCTV-17农业农村	235.254.198.130:7980	无效			5970
CCTV-17农业农村	235.254.199.130:7980	无效			5898
CCTV17	239.254.201.120:8144	有效			0
CCTV4KSDR	239.254.200.122:7266	有效			0
CHC动作电影	235.254.198.247:7980	无效			5863
CHC动作电影	235.254.199.247:7980	无效			5946
CHC动作电影	239.254.200.196:7168	无效			5916
CHC家庭影院	235.254.198.246:7980	无效			5872
CHC家庭影院	235.254.199.246:7980	无效			5965
CHC家庭影院	239.254.200.194:7167	无效			5884
风云音乐	235.254.199.208:7980	无效			5883
风云音乐	239.254.201.221:7259	有效			0
世界地理	235.254.199.194:7980	无效			5954
世界地理	239.254.201.226:7254	有效			0
第一剧场	235.254.199.211:7980	无效			5880
第一剧场	239.254.201.218:7258	有效			0
风云剧场	235.254.199.207:7980	无效			5896
风云剧场	239.254.201.219:7257	有效			0
央视精品	239.254.201.229:7260	有效			0
兵器科技	235.254.199.202:7980	无效			5967
兵器科技	239.254.201.225:7249	有效			0
风云足球	235.254.199.204:7980	无效			5865
风云足球	239.254.201.222:7251	有效			0
CCTV怀旧剧场	239.254.201.220:7256	有效			0
怀旧剧场	235.254.199.205:7980	无效			5886
怀旧剧场	239.254.201.220:7256上海	有效			0
女性时尚	239.254.201.228:7255	有效			0
央视台球	239.254.201.171:7176	有效			0
电视指南	239.254.201.217:7250	有效			0
老故事	239.254.200.104:6237	有效			0
CGTN	239.254.200.12:8056	有效			0
CGTN西语	239.254.201.209:4220	有效			0
CGTN法语	239.254.201.210:4220	有效			0
CGTN阿语	239.254.201.211:4220	有效			0
CGTN俄语	239.254.201.212:4220	有效			0
CETV1	239.254.200.225:6259	有效			0
CETV2	239.254.200.226:6260	有效			0
CETV4	239.254.200.227:6261	有效			0
凤凰中文	239.254.201.2:5226	有效			0
凤凰资讯	239.254.201.3:5227	有效			0
凤凰电影	239.254.201.1:5214	有效			0
湖南卫视	235.254.199.62:7980	无效			5964
湖南卫视	239.254.200.48:8012	有效			0
浙江卫视	235.254.199.63:7980	无效			5898
浙江卫视	239.254.200.53:8036	有效			0
江苏卫视	235.254.199.64:7980	无效			5855
江苏卫视	239.254.200.51:8028	有效			0
北京卫视	235.254.199.66:7980	无效			5941
北京卫视	239.254.200.47:8024	有效			0
东方卫视	235.254.199.73:7980	无效			5889
东方卫视	239.254.200.52:8032	有效			0
安徽卫视	235.254.199.65:7980	无效			5899
安徽卫视	239.254.200.163:6000	有效			0
广东卫视	235.254.197.186:7980	无效			5948
广东卫视	239.254.200.56:8048	有效			0
深圳卫视	235.254.199.71:7980	无效			5906
深圳卫视	239.254.200.50:8020	有效			0
辽宁卫视	235.254.199.68:7980	无效			5857
辽宁卫视	239.254.200.57:8056	有效			0
山东卫视	235.254.199.69:7980	无效			5949
山东卫视	239.254.200.55:8052	有效			0
天津卫视	235.254.199.67:7980	无效			5905
天津卫视	239.254.200.54:1234	有效			0
重庆卫视	235.254.197.237:7980	无效			6620
重庆卫视	239.254.200.203:6323	有效			0
东南卫视	235.254.198.129:7980	无效			5954
东南卫视	235.254.199.129:7980	无效			5864
东南卫视	239.254.201.13:6291	有效			0
河南卫视	235.254.198.135:7980	无效			5889
河南卫视	235.254.199.135:7980	无效			5950
河南卫视	239.254.201.16:7174	有效			0
湖北卫视	235.254.199.72:7980	无效			5877
湖北卫视	239.254.200.164:6000	有效			0
陕西卫视	239.254.200.82:8140	有效			0
四川卫视	235.254.198.175:7980	无效			5880
四川卫视	235.254.199.175:7980	无效			5920
四川卫视	239.254.200.202:6325	有效			0
海南卫视	239.254.201.125:6288	有效			0
甘肃卫视	235.254.197.176:7980	无效			7938
甘肃卫视	239.254.200.17:8180	有效			0
广西卫视	239.254.200.80:8300	有效			0
