# 20260707_172425_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
河北卫视	239.253.92.154:6011	有效	1920x1080	h264	6435
河北三农频道	239.253.92.176:6006	有效	1920x1080	h264	5907
河北少儿科教	239.253.92.174:6004	有效			0
河北影视剧频道	239.253.92.173:6003	有效			0
河北文旅公共	239.253.92.175:6005	无效			6031
河北经济生活	239.253.92.171:6001	有效	1920x1080	h264	5741
河北都市频道	239.253.92.172:6002	有效			0
CCTV1	239.253.92.83:8012	有效			0
CCTV2	239.253.92.190:6065	有效			0
CCTV3	239.253.92.191:6057	有效	1920x1080	h264	5690
CCTV4	239.253.92.251:6141	有效			0
CCTV4欧洲	239.253.93.192:6370	有效			0
CCTV4美洲	239.253.93.193:6371	有效			0
CCTV5	239.253.92.181:6046	有效	1920x1080	h264	6736
CCTV5+	239.253.92.82:8013	有效			0
CCTV6	239.253.92.193:6058	有效	1920x1080	h264	6207
CCTV7	239.253.92.194:6059	有效	1920x1080	h264	5609
CCTV8	239.253.92.195:6060	有效	1920x1080	h264	6807
CCTV9	239.253.92.107:6020	有效	1920x1080	h264	5901
CCTV10	239.253.92.196:6061	有效			0
CCTV11	239.253.93.153:6321	有效			0
CCTV12	239.253.92.197:6062	有效	1920x1080	h264	6652
CCTV13	239.253.92.13:8008	有效	1920x1080	h264	6741
CCTV14	239.253.92.198:6063	有效	1920x1080	h264	7291
CCTV15	239.253.93.154:6322	有效			0
CCTV17	239.253.93.150:6318	有效			0
CCTV4KSDR	239.253.92.219:6228	有效		hevc	4096
CCTV4KSDR	239.253.93.134:6631	有效			0
CHC动作电影	239.253.92.134:6117	无效			5645
CHC家庭影院	239.253.92.139:6115	无效			5631
风云音乐	239.253.92.111:8060	无效			5771
风云音乐	239.253.93.253:6431	有效	1920x1080	h264	6077
世界地理	239.253.92.113:8066	无效			5648
世界地理	239.253.92.131:6113	有效			0
第一剧场	239.253.92.18:6079	无效			5631
第一剧场	239.253.93.138:6428	有效			0
风云剧场	239.253.92.22:6073	无效			5775
风云剧场	239.253.93.251:6429	有效			0
央视精品	239.253.92.25:6104	无效			5642
央视精品	239.253.93.175:6439	有效	1920x1080	h264	6423
兵器科技	239.253.92.119:8065	无效			5631
兵器科技	239.253.93.47:6435	有效			0
风云足球	239.253.92.110:8061	无效			5773
风云足球	239.253.93.254:6432	有效	1920x1080	h264	6065
怀旧剧场	239.253.92.98:6120	无效			5642
怀旧剧场	239.253.93.252:6430	有效	1920x1080	h264	5915
女性时尚	239.253.92.144:6114	有效	1920x1080	h264	11126
女性时尚	239.253.92.249:6103	无效			5632
央视台球	239.253.93.231:6409	有效	1920x1080	h264	5867
电视指南	239.253.92.17:6078	无效			6028
电视指南	239.253.93.249:6427	有效	1920x1080	h264	7161
发现之旅	239.253.94.30:6629	有效	720x576	h264	5575
老故事	239.253.92.132:8068	有效	720x576	h264	5544
优优宝贝	239.253.93.244:6422	无效			5637
CGTN	239.253.92.15:8011	有效	1920x1080	h264	5636
CGTN西语	239.253.93.196:6374	有效	1920x1080	h264	5831
CGTN法语	239.253.93.197:6375	有效			0
CGTN阿语	239.253.93.198:6376	有效	1920x1080	h264	5695
CGTN俄语	239.253.93.199:6377	有效	1920x1080	h264	6100
CETV1	239.253.92.211:6069	有效	1920x1080	h264	5798
CETV2	239.253.92.108:6136	有效	720x576	h264	5973
CETV4	239.253.92.200:6137	有效			0
凤凰中文	239.253.93.82:6248	有效	720x576	h264	5782
凤凰资讯	239.253.93.83:6249	有效	720x576	h264	6109
凤凰电影	239.253.93.81:6247	有效	720x576	h264	5627
湖南卫视	239.253.92.84:8015	有效			0
浙江卫视	239.253.92.90:8020	有效	1920x1080	h264	7694
江苏卫视	239.253.92.88:8018	有效			0
北京卫视	239.253.92.87:8014	有效	1920x1080	h264	6035
东方卫视	239.253.92.89:8019	有效	1920x1080	h264	7003
安徽卫视	239.253.92.209:6566	有效			0
广东卫视	239.253.92.206:8108	有效	1920x1080	h264	7310
深圳卫视	239.253.92.86:8017	有效	1920x1080	h264	6790
辽宁卫视	239.253.92.115:6056	有效			0
山东卫视	239.253.92.207:8109	有效	1920x1080	h264	6648
天津卫视	239.253.92.91:8021	有效	1920x1080	h264	7202
重庆卫视	239.253.92.10:6053	有效	1920x1080	h264	6641
东南卫视	239.253.92.201:6146	有效			0
河南卫视	239.253.92.137:6144	有效			0
湖北卫视	239.253.92.210:6567	有效			0
四川卫视	239.253.92.16:6043	有效			0
海南卫视	239.253.93.155:6323	有效			0
广西卫视	239.253.92.76:8043	有效	1920x1080	h264	6727
贵州卫视	239.253.92.105:6055	有效			0
黑龙江卫视	239.253.92.85:8016	有效			0
江西卫视	239.253.92.19:6145	有效			0
