# 补充IP列表 - 原文件: 河北联通.txt
# 生成时间: 2026-05-28 17:17:03
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.253.92.x =====
# 已有IP: 129 个, 缺失IP: 125 个
# 规律: 多段线性
#   D∈[10,12] → -5.5×D+6108.0
#   D∈[13,13] → 1966×D+-17550
#   D∈[15,15] → 1.5×D+7988.5
#   D∈[16,16] → -1968×D+37531
#   D∈[17,17] → 35×D+5483
#   D∈[18,18] → 1×D+6061
#   D∈[19,19] → 66×D+4891
#   D∈[21,21] → 40.5×D+5375.5
#   D∈[22,22] → -153×D+9439
#   D∈[25,25] → 10.333333333333334×D+5845.666666666667
#   D∈[27,27] → 1×D+6079
#   D∈[39,39] → 0.08333333333333333×D+6103.75
#   D∈[46,46] → 0.42857142857142855×D+6090.285714285715
#   D∈[52,52] → -14.833333333333334×D+6792.333333333333
#   D∈[53,54] → 1×D+5969
#   D∈[76,76] → 91.81818181818181×D+1064.818181818182
#   D∈[82,82] → -5×D+8423
#   D∈[83,83] → -1×D+8095
#   D∈[84,84] → 3×D+7763
#   D∈[85,86] → 1×D+7931
#   D∈[87,87] → -3×D+8275
#   D∈[88,88] → 4×D+7666
#   D∈[89,91] → 1×D+7930
#   D∈[93,93] → 49.5×D+3516.5
#   D∈[94,95] → 1×D+8027
#   D∈[97,97] → -992×D+102362
#   D∈[98,98] → -18×D+7884
#   D∈[99,99] → -107×D+16606
#   D∈[100,100] → 129×D+-6758
#   D∈[103,103] → -29.333333333333332×D+9075.333333333332
#   D∈[104,104] → 167×D+-11147
#   D∈[105,105] → -166×D+23485
#   D∈[106,106] → 80×D+-2345
#   D∈[107,107] → -115×D+18325
#   D∈[108,108] → 116×D+-6392
#   D∈[109,109] → 81×D+-2612
#   D∈[110,110] → 1844×D+-194779
#   D∈[111,111] → -1×D+8171
#   D∈[112,112] → -1944×D+223844
#   D∈[113,113] → 1950×D+-212284
#   D∈[114,114] → -1879×D+220393
#   D∈[115,115] → -131×D+21121
#   D∈[116,116] → -27×D+9161
#   D∈[117,117] → 2033×D+-229799
#   D∈[118,118] → -1929×D+233755
#   D∈[119,119] → 1932×D+-221843
#   D∈[121,121] → -1025×D+130040
#   D∈[122,123] → 1×D+5894
#   D∈[124,124] → 552×D+-61879
#   D∈[125,125] → -545×D+74149
#   D∈[126,126] → 2×D+5774
#   D∈[127,128] → 1×D+5900
#   D∈[130,130] → 1020.5×D+-124596.0
#   D∈[131,131] → -1956×D+262349
#   D∈[132,132] → 1955×D+-249992
#   D∈[134,134] → -975.5×D+136834.0
#   D∈[137,137] → 9×D+4911
#   D∈[138,138] → 78×D+-4542
#   D∈[139,139] → -107×D+20988
#   D∈[141,141] → 974.5×D+-129340.5
#   D∈[142,142] → -2024×D+293448
#   D∈[144,144] → 37×D+786
#   D∈[147,147] → 36.666666666666664×D+834.0
#   D∈[149,149] → -94.5×D+20115.5
#   D∈[152,152] → 683.6666666666666×D+-95831.33333333333
#   D∈[154,154] → -1037.5×D+165786.0
#   D∈[156,156] → 0.5×D+5934.0
#   D∈[158,158] → 1029.5×D+-154590.0
#   D∈[159,159] → -1×D+8229
#   D∈[160,160] → -2029×D+330681
#   D∈[162,162] → 1006.5×D+-154999.0
#   D∈[163,163] → 1×D+7892
#   D∈[164,164] → -2019×D+337152
#   D∈[166,166] → 0.5×D+5954.0
#   D∈[171,171] → -7.2×D+7232.2
#   D∈[172,176] → 1×D+5830
#   D∈[181,181] → 8×D+4598
#   D∈[183,183] → 0.5×D+5955.5
#   D∈[185,187] → 1×D+5864
#   D∈[190,190] → 4.666666666666667×D+5178.333333333333
#   D∈[191,191] → -8×D+7585
#   D∈[193,193] → 0.5×D+5961.5
#   D∈[194,198] → 1×D+5865
#   D∈[199,199] → 505×D+-93927
#   D∈[200,200] → -431×D+92337
#   D∈[201,201] → 9×D+4337
#   D∈[202,202] → 1×D+5945
#   D∈[203,203] → 3×D+5541
#   D∈[206,206] → 652.6666666666666×D+-126341.33333333331
#   D∈[207,207] → 1×D+7902
#   D∈[209,209] → -771.5×D+167809.5
#   D∈[210,210] → 1×D+6357
#   D∈[211,211] → -498×D+111147
#   D∈[215,215] → -0.5×D+6174.5
#   D∈[216,216] → 160×D+-28333
#   D∈[218,218] → -63.5×D+19943.0
#   D∈[219,219] → 128×D+-21804
#   D∈[220,220] → 1×D+6009
#   D∈[222,222] → 941.5×D+-200901.0
#   D∈[223,226] → 1×D+7890
#   D∈[230,230] → -512×D+123828
#   D∈[231,231] → 2×D+5608
#   D∈[236,236] → 75.6×D+-11393.599999999999
#   D∈[245,245] → -39.888888888888886×D+15861.777777777777
#   D∈[247,247] → 1×D+5844
#   D∈[249,249] → 6×D+4609
#   D∈[251,251] → 19×D+1372
#   D∈[252,252] → 15×D+2376
#   D∈[253,253] → 88×D+-16020
#   D∈[254,254] → 205×D+-45621

92-1,rtp://239.253.92.1:6102
92-2,rtp://239.253.92.2:6097
92-3,rtp://239.253.92.3:6091
92-4,rtp://239.253.92.4:6086
92-5,rtp://239.253.92.5:6080
92-6,rtp://239.253.92.6:6075
92-7,rtp://239.253.92.7:6069
92-8,rtp://239.253.92.8:6064
92-9,rtp://239.253.92.9:6058
92-11,rtp://239.253.92.11:6047
92-14,rtp://239.253.92.14:1
92-20,rtp://239.253.92.20:1
92-23,rtp://239.253.92.23:1
92-24,rtp://239.253.92.24:1
92-26,rtp://239.253.92.26:1
92-28,rtp://239.253.92.28:1
92-29,rtp://239.253.92.29:1
92-30,rtp://239.253.92.30:1
92-31,rtp://239.253.92.31:1
92-32,rtp://239.253.92.32:1
92-33,rtp://239.253.92.33:1
92-34,rtp://239.253.92.34:1
92-35,rtp://239.253.92.35:1
92-36,rtp://239.253.92.36:1
92-37,rtp://239.253.92.37:1
92-38,rtp://239.253.92.38:1
92-40,rtp://239.253.92.40:1
92-41,rtp://239.253.92.41:1
92-42,rtp://239.253.92.42:1
92-43,rtp://239.253.92.43:1
92-44,rtp://239.253.92.44:1
92-45,rtp://239.253.92.45:1
92-47,rtp://239.253.92.47:1
92-48,rtp://239.253.92.48:1
92-49,rtp://239.253.92.49:1
92-50,rtp://239.253.92.50:1
92-51,rtp://239.253.92.51:1
92-55,rtp://239.253.92.55:1
92-56,rtp://239.253.92.56:1
92-57,rtp://239.253.92.57:1
92-58,rtp://239.253.92.58:1
92-59,rtp://239.253.92.59:1
92-60,rtp://239.253.92.60:1
92-61,rtp://239.253.92.61:1
92-62,rtp://239.253.92.62:1
92-63,rtp://239.253.92.63:1
92-64,rtp://239.253.92.64:1
92-65,rtp://239.253.92.65:1
92-66,rtp://239.253.92.66:1
92-67,rtp://239.253.92.67:1
92-68,rtp://239.253.92.68:1
92-69,rtp://239.253.92.69:1
92-70,rtp://239.253.92.70:1
92-71,rtp://239.253.92.71:1
92-72,rtp://239.253.92.72:1
92-73,rtp://239.253.92.73:1
92-74,rtp://239.253.92.74:1
92-75,rtp://239.253.92.75:1
92-77,rtp://239.253.92.77:1
92-78,rtp://239.253.92.78:1
92-79,rtp://239.253.92.79:1
92-80,rtp://239.253.92.80:1
92-81,rtp://239.253.92.81:1
92-92,rtp://239.253.92.92:1
92-96,rtp://239.253.92.96:1
92-101,rtp://239.253.92.101:1
92-102,rtp://239.253.92.102:1
92-120,rtp://239.253.92.120:1
92-129,rtp://239.253.92.129:1
92-133,rtp://239.253.92.133:1
92-135,rtp://239.253.92.135:1
92-136,rtp://239.253.92.136:1
92-140,rtp://239.253.92.140:1
92-143,rtp://239.253.92.143:1
92-145,rtp://239.253.92.145:1
92-146,rtp://239.253.92.146:1
92-148,rtp://239.253.92.148:1
92-150,rtp://239.253.92.150:1
92-151,rtp://239.253.92.151:1
92-153,rtp://239.253.92.153:1
92-155,rtp://239.253.92.155:1
92-157,rtp://239.253.92.157:1
92-161,rtp://239.253.92.161:1
92-165,rtp://239.253.92.165:1
92-167,rtp://239.253.92.167:1
92-168,rtp://239.253.92.168:1
92-169,rtp://239.253.92.169:1
92-170,rtp://239.253.92.170:1
92-177,rtp://239.253.92.177:1
92-178,rtp://239.253.92.178:1
92-179,rtp://239.253.92.179:1
92-180,rtp://239.253.92.180:1
92-182,rtp://239.253.92.182:1
92-184,rtp://239.253.92.184:1
92-186,rtp://239.253.92.186:6050
92-188,rtp://239.253.92.188:1
92-189,rtp://239.253.92.189:1
92-192,rtp://239.253.92.192:1
92-204,rtp://239.253.92.204:1
92-205,rtp://239.253.92.205:1
92-208,rtp://239.253.92.208:1
92-212,rtp://239.253.92.212:1
92-213,rtp://239.253.92.213:1
92-214,rtp://239.253.92.214:1
92-217,rtp://239.253.92.217:1
92-221,rtp://239.253.92.221:1
92-224,rtp://239.253.92.224:8114
92-227,rtp://239.253.92.227:914
92-228,rtp://239.253.92.228:1119
92-229,rtp://239.253.92.229:1324
92-232,rtp://239.253.92.232:1939
92-233,rtp://239.253.92.233:2144
92-234,rtp://239.253.92.234:2349
92-235,rtp://239.253.92.235:2554
92-237,rtp://239.253.92.237:2964
92-238,rtp://239.253.92.238:3169
92-239,rtp://239.253.92.239:3374
92-240,rtp://239.253.92.240:3579
92-241,rtp://239.253.92.241:3784
92-242,rtp://239.253.92.242:3989
92-243,rtp://239.253.92.243:4194
92-244,rtp://239.253.92.244:4399
92-246,rtp://239.253.92.246:4809
92-248,rtp://239.253.92.248:5219
92-250,rtp://239.253.92.250:5629

# ===== 网段: 239.253.93.x =====
# 已有IP: 159 个, 缺失IP: 95 个
# 规律: 多段线性
#   D∈[2,3] → 1×D+6151
#   D∈[4,4] → 3×D+6145
#   D∈[5,44] → 1×D+6153
#   D∈[46,46] → 118.5×D+983.0
#   D∈[47,47] → 1×D+6388
#   D∈[48,48] → -234×D+17433
#   D∈[50,62] → 1×D+6153
#   D∈[64,64] → 2×D+6091
