# 20260628_161603_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
92-1	239.253.92.1:6102	无效			5903
92-2	239.253.92.2:6097	无效			5889
92-3	239.253.92.3:6091	无效			5632
92-4	239.253.92.4:6086	无效			5634
92-5	239.253.92.5:6080	无效			5628
92-6	239.253.92.6:6075	无效			5641
92-7	239.253.92.7:6069	无效			5619
92-8	239.253.92.8:6064	无效			5646
92-9	239.253.92.9:6058	无效			5626
92-11	239.253.92.11:6047	无效			5628
92-14	239.253.92.14:1	无效			5634
92-20	239.253.92.20:1	无效			5625
92-23	239.253.92.23:1	无效			10000
92-24	239.253.92.24:1	无效			99999
92-26	239.253.92.26:1	无效			99999
92-28	239.253.92.28:1	无效			6177
92-29	239.253.92.29:1	无效			5879
92-30	239.253.92.30:1	无效			5877
92-31	239.253.92.31:1	无效			5892
92-32	239.253.92.32:1	无效			5638
92-33	239.253.92.33:1	无效			5629
92-34	239.253.92.34:1	无效			5624
92-35	239.253.92.35:1	无效			5635
92-36	239.253.92.36:1	无效			5627
92-37	239.253.92.37:1	无效			5637
92-38	239.253.92.38:1	无效			5628
92-40	239.253.92.40:1	无效			5628
92-41	239.253.92.41:1	无效			9240
92-42	239.253.92.42:1	无效			99999
92-43	239.253.92.43:1	无效			99999
92-44	239.253.92.44:1	无效			5901
92-45	239.253.92.45:1	无效			5639
92-47	239.253.92.47:1	无效			5629
92-48	239.253.92.48:1	无效			5631
92-49	239.253.92.49:1	无效			5633
92-50	239.253.92.50:1	无效			5625
92-51	239.253.92.51:1	无效			5633
92-55	239.253.92.55:1	无效			5640
92-56	239.253.92.56:1	无效			5621
92-57	239.253.92.57:1	无效			5639
92-58	239.253.92.58:1	无效			5633
92-59	239.253.92.59:1	无效			5627
92-60	239.253.92.60:1	无效			10244
92-61	239.253.92.61:1	无效			99999
92-62	239.253.92.62:1	无效			99999
92-63	239.253.92.63:1	无效			6179
92-64	239.253.92.64:1	无效			5870
92-65	239.253.92.65:1	无效			5887
92-66	239.253.92.66:1	无效			5627
92-67	239.253.92.67:1	无效			5638
92-68	239.253.92.68:1	无效			5624
92-69	239.253.92.69:1	无效			5638
92-70	239.253.92.70:1	无效			5631
92-71	239.253.92.71:1	无效			5632
92-72	239.253.92.72:1	无效			5631
92-73	239.253.92.73:1	无效			5635
92-74	239.253.92.74:1	无效			5628
92-75	239.253.92.75:1	无效			9470
92-77	239.253.92.77:1	无效			99999
92-78	239.253.92.78:1	无效			99999
92-79	239.253.92.79:1	无效			5900
92-80	239.253.92.80:1	无效			5897
92-81	239.253.92.81:1	无效			5631
92-92	239.253.92.92:1	无效			5632
92-96	239.253.92.96:1	无效			5621
