# 20260720_164635_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
河南卫视4K	225.1.2.237:11530	无效			5498
河南卫视高清	225.1.2.99:10588	无效			5067
河南乡村频道	225.1.2.104:10618	无效			5588
河南公共频道	225.1.2.62:10366	无效			5068
河南国际频道	225.1.2.103:10612	无效			5604
河南文物宝库	225.1.2.101:10600	无效			5073
河南新闻频道	225.1.2.60:10354	无效			5688
河南梨园频道	225.1.2.100:10594	无效			5069
河南欢腾购物	225.1.2.61:10360	无效			5751
河南武术世界	225.1.2.102:10606	无效			5066
河南民生频道	225.1.2.57:10336	无效			5692
河南法治频道	225.1.2.58:10342	无效			5063
河南电视剧频道	225.1.2.59:10348	无效			5784
河南移动电视	225.1.2.190:11866	无效			5070
河南都市高清	225.1.2.56:10330	无效			5782
CCTV1	225.1.2.54:11380	无效			5063
CCTV2	225.1.2.2:10006	无效			5885
CCTV4	225.1.2.3:11368	无效			5384
CCTV4中文国际欧洲	225.1.2.182:11818	无效			5878
CCTV4中文国际美洲	225.1.2.183:11824	无效			5088
CCTV5	225.1.2.142:10870	无效			5868
CCTV7	225.1.2.4:10018	无效			5105
CCTV9	225.1.2.5:10024	无效			5795
CCTV10	225.1.2.6:10030	无效			5072
CCTV11	225.1.2.7:10036	无效			5874
CCTV12	225.1.2.8:10042	无效			5392
CCTV13	225.1.2.9:10048	无效			5892
CCTV14	225.1.2.10:10054	无效			5508
CCTV15	225.1.2.11:10060	无效			5910
CHC高清电影	225.1.2.210:11398	无效			5539
CHC动作电影	225.1.2.215:11428	无效			5899
CHC家庭影院	225.1.2.214:11422	无效			5538
CGTN	225.1.2.12:10066	无效			5915
CGTN英语	225.1.2.184:11830	无效			5618
CGTN西班牙语	225.1.2.186:11842	无效			5953
CGTN法语	225.1.2.187:11848	无效			5654
CGTN阿拉伯语	225.1.2.188:11854	无效			5909
CGTN俄语	225.1.2.189:11860	无效			5528
中国教育2	225.1.2.149:10912	无效			5921
中国教育4	225.1.2.95:10564	无效			5561
湖南卫视	225.1.2.13:10072	无效			5844
浙江卫视	225.1.2.14:11362	无效			5229
江苏卫视	225.1.2.15:10084	无效			5867
北京卫视	225.1.2.17:10096	无效			5497
东方卫视	225.1.2.29:10168	无效			5964
安徽卫视	225.1.2.16:10090	无效			5441
广东卫视	225.1.2.33:10192	无效			5966
深圳卫视	225.1.2.27:10156	无效			5639
辽宁卫视	225.1.2.19:10108	无效			5899
山东卫视	225.1.2.20:10114	无效			5398
天津卫视	225.1.2.18:10102	无效			5950
重庆卫视	225.1.2.30:10174	无效			5595
东南卫视	225.1.2.31:10180	无效			5961
河北卫视	225.1.2.32:10186	无效			5685
