# 补充IP列表 - 原文件: 河南新乡联通.txt
# 生成时间: 2026-05-28 17:17:03
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 225.1.2.x =====
# 已有IP: 148 个, 缺失IP: 106 个
# 规律: 多段线性
#   D∈[2,3] → 1362×D+7282
#   D∈[4,4] → -1350×D+15418
#   D∈[5,13] → 6×D+9994
#   D∈[14,14] → 1290×D+-6698
#   D∈[15,15] → -1278×D+29254
#   D∈[16,53] → 6×D+9994
#   D∈[54,54] → 1068×D+-46292
#   D∈[55,55] → -1056×D+68404
#   D∈[56,62] → 6×D+9994
#   D∈[73,73] → 110.18181818181819×D+3534.727272727272
#   D∈[74,77] → 6×D+11140
#   D∈[78,78] → -1140×D+99382
#   D∈[79,104] → 6×D+9994
#   D∈[105,105] → 990×D+-92342
#   D∈[106,109] → 6×D+10978
#   D∈[114,114] → -186×D+31906
#   D∈[115,115] → 6×D+10018
#   D∈[129,129] → 69×D+2773
#   D∈[141,141] → -67.5×D+20381.5
#   D∈[142,173] → 6×D+10018
#   D∈[182,182] → 84.66666666666667×D+-3591.333333333334
#   D∈[183,190] → 6×D+10726
#   D∈[196,196] → -112×D+33146
#   D∈[197,197] → 612×D+-108758
#   D∈[198,198] → -414×D+93364
#   D∈[205,205] → 56.57142857142857×D+190.85714285714312
#   D∈[210,210] → -78×D+27778
#   D∈[211,215] → 6×D+10138
#   D∈[217,217] → -96×D+32068
#   D∈[220,220] → 66×D+-3086
#   D∈[221,226] → 6×D+10114
#   D∈[236,236] → 5.4×D+10249.6
#   D∈[237,237] → 6×D+10108
#   D∈[241,241] → 94.5×D+-10866.5

2-1,rtp://225.1.2.1:8644
2-22,rtp://225.1.2.22:10126
2-63,rtp://225.1.2.63:1
2-64,rtp://225.1.2.64:1
2-65,rtp://225.1.2.65:1
2-66,rtp://225.1.2.66:1
2-67,rtp://225.1.2.67:1
2-68,rtp://225.1.2.68:1
2-69,rtp://225.1.2.69:1
2-70,rtp://225.1.2.70:1
2-71,rtp://225.1.2.71:1
2-72,rtp://225.1.2.72:1
2-110,rtp://225.1.2.110:1
2-111,rtp://225.1.2.111:1
2-112,rtp://225.1.2.112:1
2-113,rtp://225.1.2.113:1
2-116,rtp://225.1.2.116:95
2-117,rtp://225.1.2.117:190
2-118,rtp://225.1.2.118:284
2-119,rtp://225.1.2.119:379
2-120,rtp://225.1.2.120:473
2-121,rtp://225.1.2.121:568
2-122,rtp://225.1.2.122:662
2-123,rtp://225.1.2.123:757
2-124,rtp://225.1.2.124:851
2-125,rtp://225.1.2.125:946
2-126,rtp://225.1.2.126:1040
2-127,rtp://225.1.2.127:1135
2-128,rtp://225.1.2.128:1229
2-130,rtp://225.1.2.130:1418
2-131,rtp://225.1.2.131:1513
2-132,rtp://225.1.2.132:1607
2-133,rtp://225.1.2.133:1702
2-134,rtp://225.1.2.134:1796
2-135,rtp://225.1.2.135:1891
2-136,rtp://225.1.2.136:1985
2-137,rtp://225.1.2.137:2080
2-138,rtp://225.1.2.138:2174
2-139,rtp://225.1.2.139:2269
2-140,rtp://225.1.2.140:2363
2-147,rtp://225.1.2.147:10900
2-148,rtp://225.1.2.148:10906
2-156,rtp://225.1.2.156:10954
2-159,rtp://225.1.2.159:10972
2-160,rtp://225.1.2.160:10978
2-161,rtp://225.1.2.161:10984
2-162,rtp://225.1.2.162:10990
2-163,rtp://225.1.2.163:10996
2-164,rtp://225.1.2.164:11002
2-165,rtp://225.1.2.165:11008
2-166,rtp://225.1.2.166:11014
2-174,rtp://225.1.2.174:5576
2-175,rtp://225.1.2.175:5671
2-176,rtp://225.1.2.176:5765
2-177,rtp://225.1.2.177:5860
2-178,rtp://225.1.2.178:5954
2-179,rtp://225.1.2.179:6049
2-180,rtp://225.1.2.180:6143
2-181,rtp://225.1.2.181:6238
2-191,rtp://225.1.2.191:7183
2-192,rtp://225.1.2.192:7277
2-193,rtp://225.1.2.193:7372
2-194,rtp://225.1.2.194:7466
2-195,rtp://225.1.2.195:7561
2-199,rtp://225.1.2.199:7939
2-200,rtp://225.1.2.200:8033
2-201,rtp://225.1.2.201:8128
2-202,rtp://225.1.2.202:8222
2-203,rtp://225.1.2.203:8317
2-204,rtp://225.1.2.204:8411
