# 20260921_200720_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
2-1	225.1.2.1:8644	无效			5309
2-22	225.1.2.22:10126	无效			5049
2-63	225.1.2.63:1	无效			5212
2-64	225.1.2.64:1	无效			5046
2-65	225.1.2.65:1	无效			5268
2-66	225.1.2.66:1	无效			5060
2-67	225.1.2.67:1	无效			5253
2-68	225.1.2.68:1	无效			5046
2-69	225.1.2.69:1	无效			5388
2-70	225.1.2.70:1	无效			5286
2-71	225.1.2.71:1	无效			5281
2-72	225.1.2.72:1	无效			5043
2-110	225.1.2.110:1	无效			5335
2-111	225.1.2.111:1	无效			5097
2-112	225.1.2.112:1	无效			5278
2-113	225.1.2.113:1	无效			5053
2-116	225.1.2.116:95	无效			5346
2-117	225.1.2.117:190	无效			5121
2-118	225.1.2.118:284	无效			5370
2-119	225.1.2.119:379	无效			5137
2-120	225.1.2.120:473	无效			5314
2-121	225.1.2.121:568	无效			5068
2-122	225.1.2.122:662	无效			5328
2-123	225.1.2.123:757	无效			5060
2-124	225.1.2.124:851	无效			5366
2-125	225.1.2.125:946	无效			5109
2-126	225.1.2.126:1040	无效			5392
2-127	225.1.2.127:1135	无效			5292
2-128	225.1.2.128:1229	无效			5297
2-130	225.1.2.130:1418	无效			5050
2-131	225.1.2.131:1513	无效			5418
2-132	225.1.2.132:1607	无效			5275
2-133	225.1.2.133:1702	无效			5416
2-134	225.1.2.134:1796	无效			5299
2-135	225.1.2.135:1891	无效			5333
2-136	225.1.2.136:1985	无效			5084
2-137	225.1.2.137:2080	无效			5342
2-138	225.1.2.138:2174	无效			5154
2-139	225.1.2.139:2269	无效			5362
2-140	225.1.2.140:2363	无效			5204
2-147	225.1.2.147:10900	无效			5343
2-148	225.1.2.148:10906	无效			5249
2-156	225.1.2.156:10954	无效			5408
2-159	225.1.2.159:10972	无效			5309
2-160	225.1.2.160:10978	无效			5409
2-161	225.1.2.161:10984	无效			5249
2-162	225.1.2.162:10990	无效			5360
2-163	225.1.2.163:10996	无效			5219
2-164	225.1.2.164:11002	无效			5427
2-165	225.1.2.165:11008	无效			5317
2-166	225.1.2.166:11014	无效			5351
2-174	225.1.2.174:5576	无效			5141
2-175	225.1.2.175:5671	无效			5445
2-176	225.1.2.176:5765	无效			5289
2-177	225.1.2.177:5860	无效			5368
2-178	225.1.2.178:5954	无效			5291
2-179	225.1.2.179:6049	无效			5412
2-180	225.1.2.180:6143	无效			5310
2-181	225.1.2.181:6238	无效			5406
2-191	225.1.2.191:7183	无效			5296
2-192	225.1.2.192:7277	无效			5360
2-193	225.1.2.193:7372	无效			5293
2-194	225.1.2.194:7466	无效			5408
2-195	225.1.2.195:7561	无效			5283
2-199	225.1.2.199:7939	无效			5439
2-200	225.1.2.200:8033	无效			5261
2-201	225.1.2.201:8128	无效			5352
2-202	225.1.2.202:8222	无效			5254
2-203	225.1.2.203:8317	无效			5440
2-204	225.1.2.204:8411	无效			5213
2-206	225.1.2.206:8600	无效			5433
2-207	225.1.2.207:8695	无效			5209
2-208	225.1.2.208:8789	无效			5440
2-209	225.1.2.209:8884	无效			5203
2-212	225.1.2.212:11410	无效			5429
2-216	225.1.2.216:9545	无效			5260
2-218	225.1.2.218:9734	无效			5392
2-219	225.1.2.219:9829	无效			5268
2-222	225.1.2.222:11446	无效			5382
2-223	225.1.2.223:11452	无效			5286
2-224	225.1.2.224:11458	无效			5384
2-227	225.1.2.227:10585	无效			5272
2-228	225.1.2.228:10679	无效			5369
2-229	225.1.2.229:10774	无效			5275
2-230	225.1.2.230:10868	无效			5321
2-231	225.1.2.231:10963	无效			5283
2-232	225.1.2.232:11057	无效			5376
2-233	225.1.2.233:11152	无效			5282
2-234	225.1.2.234:11246	无效			5415
2-235	225.1.2.235:11341	无效			5245
2-238	225.1.2.238:11624	无效			5331
2-239	225.1.2.239:11719	无效			5301
2-240	225.1.2.240:11813	无效			5382
2-242	225.1.2.242:12002	无效			5272
2-243	225.1.2.243:12097	无效			5365
2-244	225.1.2.244:12191	无效			5225
2-245	225.1.2.245:12286	无效			5390
2-246	225.1.2.246:12380	无效			5214
2-247	225.1.2.247:12475	无效			5398
2-248	225.1.2.248:12569	无效			5222
2-249	225.1.2.249:12664	无效			5367
2-250	225.1.2.250:12758	无效			5274
2-251	225.1.2.251:12853	无效			5351
2-252	225.1.2.252:12947	无效			5220
2-253	225.1.2.253:13042	无效			5365
2-254	225.1.2.254:13136	无效			5236
