# 20260523_143302_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
河南卫视	239.16.10.119:2000	有效	1920x1080	h264	7893
河南卫视	239.16.20.21:10210	有效	1920x1080	h264	7712
河南卫视4k	239.16.10.199:11990	无效			5660
河南卫视4k	239.16.10.210:2000	有效	3840x2160	h264	6604
河南中华功夫	239.16.20.173:11730	无效			5702
河南乡村	239.16.10.181:2000	有效	1920x1080	h264	7494
河南乡村频道	239.16.20.195:11950	有效	1920x1080	h264	7871
河南公共	239.16.10.126:2000	有效			0
河南功夫	239.16.10.150:2000	有效	1920x1080	h264	6841
河南戏曲	239.16.10.148:2000	无效			8818
河南戏曲频道	239.16.20.171:11710	有效	1920x1080	h264	7811
河南收藏天下	239.16.10.149:2000	有效	1920x1080	h264	7313
河南新闻	239.16.10.124:2000	有效	1920x1080	h264	8119
河南新闻频道	239.16.20.168:11680	有效	1920x1080	h264	9396
河南民生	239.16.10.121:2000	有效	1920x1080	h264	8327
河南民生频道	239.16.20.165:11650	有效	1920x1080	h264	7970
河南法治频道	239.16.10.122:2000	有效	1920x1080	h264	8146
河南电视剧	239.16.10.123:2000	无效			5688
河南电视剧频道	239.16.20.167:11670	有效	1920x1080	h264	8468
河南睛彩中原	239.16.20.122:11220	无效			6159
河南移动	239.16.10.76:2000	无效			5872
河南移动	239.16.10.79:2000	无效			5893
河南移动戏曲	239.16.20.120:11200	无效			7180
河南移动电视	239.16.20.204:12040	无效			6905
河南调解剧场	239.16.20.197:11970	无效			5633
河南都市	239.16.10.120:2000	无效			6148
河南都市频道	239.16.20.164:11640	无效			5879
CCTV1	239.16.10.1:2000	有效	1920x1080	h264	8880
CCTV1	239.16.20.1:10010	有效	1920x1080	h264	8279
CCTV2	239.16.10.127:2000	有效			0
CCTV2	239.16.20.2:10020	有效			0
CCTV3	239.16.10.2:2000	无效			5793
CCTV3	239.16.20.3:10030	有效			0
CCTV4	239.16.10.128:2000	无效			5628
CCTV4	239.16.20.4:10040	无效			6148
CCTV5	239.16.10.132:2000	有效			0
CCTV5	239.16.20.53:10530	无效			5888
CCTV5+	239.16.10.3:2000	有效	1920x1080	h264	8685
CCTV5+	239.16.20.5:10050	无效			6151
CCTV6	239.16.10.101:2000	有效	1920x1080	h264	7854
CCTV6	239.16.20.6:10060	无效			5706
CCTV7	239.16.10.130:2000	有效			0
CCTV7	239.16.20.51:10510	无效			8556
CCTV8	239.16.10.102:2000	无效			5775
CCTV8	239.16.20.8:10080	有效	1920x1080	h264	7831
CCTV9	239.16.10.103:2000	有效			0
CCTV9	239.16.20.9:10090	无效			6133
CCTV10	239.16.10.108:2000	无效			5885
CCTV10	239.16.20.10:10100	无效			5889
CCTV11	239.16.10.109:2000	有效			0
CCTV11	239.16.20.11:10110	无效			6123
CCTV12	239.16.10.110:2000	无效			5915
CCTV12	239.16.20.12:10120	无效			5864
CCTV13	239.16.10.111:2000	无效			6377
CCTV13	239.16.20.13:10130	无效			5636
CCTV14	239.16.10.112:2000	无效			7927
CCTV14	239.16.20.14:10140	无效			6139
CCTV15	239.16.10.113:2000	有效			0
CCTV15	239.16.20.15:10150	有效	1920x1080	h264	8082
CCTV17	239.16.10.129:2000	有效			0
CCTV17	239.16.20.7:10070	有效			0
CCTV4KSDR	239.16.10.182:11820	无效			5722
CCTV4KSDR	239.16.10.193:2000	无效			6378
CCTV风云足球	239.16.10.242:2000	无效			8107
CGTN	239.16.20.252:12520	无效			5732
CETV1	239.16.20.78:10780	无效			6368
