# 20260814_154616_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
河南卫视	225.1.4.254:1300	无效			625
河南卫视	225.1.4.98:1127	无效			450
河南乡村	225.1.4.120:1149	无效			725
河南公共	225.1.4.58:1087	无效			352
河南新闻	225.1.4.56:1085	无效			644
河南民生	225.1.4.53:1082	无效			431
河南法治	225.1.4.54:1083	无效			712
河南电视剧	225.1.4.55:1084	无效			367
河南购物	225.1.4.57:1086	无效			641
河南都市	225.1.4.52:1081	无效			428
CCTV1	225.1.4.73:1102	无效			718
CCTV2	225.1.4.74:1103	无效			341
CCTV4	225.1.5.30:1333	无效			629
CCTV4欧洲	225.1.5.31:1342	无效			429
CCTV4美洲	225.1.5.32:1343	无效			642
CCTV5	225.1.4.159:1195	无效			413
CCTV5+	225.1.4.75:1104	无效			733
CCTV6	225.1.4.160:1196	无效			328
CCTV7	225.1.4.76:1105	无效			800
CCTV8	225.1.4.161:1197	无效			257
CCTV9	225.1.4.77:1106	无效			6140
CCTV10	225.1.4.78:1107	无效			5635
CCTV11	225.1.4.215:1268	无效			6134
CCTV12	225.1.4.79:1108	无效			5635
CCTV13	225.1.4.113:1293	无效			6138
CCTV14	225.1.4.80:1109	无效			5631
CCTV15	225.1.4.216:1269	无效			6386
CCTV17	225.1.4.226:2506	无效			5631
CCTV世界地理	225.1.4.183:1232	无效			6396
CCTV风云足球	225.1.4.200:1250	无效			5876
CCTV高网频道	225.1.4.180:1229	无效			6390
CCTV女性时尚	225.1.4.205:1253	无效			5880
CGTN	225.1.4.16:1045	无效			6380
CGTN	225.1.5.34:1344	无效			5888
CGTN	225.1.5.35:1345	无效			6388
CGTN西语	225.1.5.36:1346	无效			5879
CGTN法语	225.1.5.37:1347	无效			6109
CGTN阿语	225.1.5.38:1348	无效			5632
CGTN俄语	225.1.5.39:1349	无效			6363
中国教育1	225.1.4.173:1712	无效			5632
中国教育2	225.1.4.165:1206	无效			5817
中国教育4	225.1.4.171:1710	无效			5089
湖南卫视	225.1.4.82:1111	无效			5767
浙江卫视	225.1.4.84:1113	无效			5102
江苏卫视	225.1.4.83:1112	无效			5751
北京卫视	225.1.4.81:1110	无效			5085
东方卫视	225.1.4.85:1114	无效			5744
安徽卫视	225.1.4.87:1116	无效			5093
广东卫视	225.1.4.166:1207	无效			5849
深圳卫视	225.1.4.90:1119	无效			5074
辽宁卫视	225.1.4.167:1208	无效			5740
山东卫视	225.1.4.88:1117	无效			5095
天津卫视	225.1.4.86:1115	无效			5783
重庆卫视	225.1.4.157:1308	无效			5098
东南卫视	225.1.4.228:1274	无效			5787
河北卫视	225.1.4.123:1304	无效			5099
湖北卫视	225.1.4.89:1118	无效			5813
陕西卫视	225.1.4.39:1068	无效			5088
四川卫视	225.1.4.151:1306	无效			5893
海南卫视	225.1.4.195:1310	无效			5069
甘肃卫视	225.1.4.42:1071	无效			1044
广西卫视	225.1.4.31:1060	无效			285
贵州卫视	225.1.4.122:1302	无效			1039
黑龙江卫视	225.1.4.91:1120	无效			265
江西卫视	225.1.4.139:1305	无效			1050
吉林卫视	225.1.4.174:1309	无效			286
内蒙古卫视	225.1.4.45:1074	无效			1004
宁夏卫视	225.1.4.43:1072	无效			290
山西卫视	225.1.4.38:1067	无效			1004
新疆卫视	225.1.4.47:1076	无效			273
云南卫视	225.1.4.152:1307	无效			2016
青海卫视	225.1.4.44:1073	无效			261
西藏卫视	225.1.4.46:1075	无效			967
兵团卫视	225.1.4.97:1126	无效			264
三沙卫视	225.1.4.234:1280	无效			996
厦门卫视	225.1.4.95:1124	无效			332
经典电影	225.1.4.175:1233	无效			1081
家庭影院	225.1.4.209:1262	无效			259
热播剧场	225.1.4.190:1239	无效			1028
少儿动画	225.1.4.189:1238	无效			257
北京卡酷少儿	225.1.4.48:1077	无效			6322
先锋乒羽	225.1.4.210:1263	无效			6371
金鹰纪实	225.1.4.172:1711	无效			6307
金鹰卡通	225.1.4.49:1078	无效			6889
梨园频道	225.1.4.99:1128	无效			6306
武术世界	225.1.4.101:1130	无效			5870
国学频道	225.1.4.178:1227	无效			6318
国学频道	225.1.4.196:1311	无效			5861
