# 补充IP列表 - 原文件: 河南移动.txt
# 生成时间: 2026-05-28 17:17:17
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 225.1.4.x =====
# 已有IP: 109 个, 缺失IP: 145 个
# 规律: 多段线性
#   D∈[5,101] → 1×D+1029
#   D∈[113,113] → 13.583333333333334×D+-241.91666666666674
#   D∈[120,120] → -20.571428571428573×D+3617.571428571429
#   D∈[122,122] → 76.5×D+-8031.0
#   D∈[123,123] → 2×D+1058
#   D∈[139,139] → 0.0625×D+1296.3125
#   D∈[151,151] → 0.08333333333333333×D+1293.4166666666667
#   D∈[152,152] → 1×D+1155
#   D∈[157,157] → 0.2×D+1276.6
#   D∈[159,159] → -56.5×D+10178.5
#   D∈[160,161] → 1×D+1036
#   D∈[162,162] → 7×D+70
#   D∈[164,164] → 0.5×D+1123.0
#   D∈[165,167] → 1×D+1041
#   D∈[168,168] → 12×D+-796
#   D∈[171,171] → 163.33333333333334×D+-26220.0
#   D∈[172,173] → 1×D+1539
#   D∈[174,174] → -403×D+71431
#   D∈[175,175] → -76×D+14533
#   D∈[176,176] → -8×D+2633
#   D∈[177,183] → 1×D+1049
#   D∈[184,184] → -8×D+2696
#   D∈[185,185] → 16×D+-1720
#   D∈[186,186] → -5×D+2165
#   D∈[187,190] → 1×D+1049
#   D∈[194,194] → 1.25×D+1001.5
#   D∈[195,195] → 66×D+-11560
#   D∈[196,196] → 1×D+1115
#   D∈[200,200] → -15.25×D+4300.0
#   D∈[204,204] → 0.5×D+1150.0
#   D∈[205,205] → 1×D+1048
#   D∈[207,207] → 3.5×D+535.5
#   D∈[208,216] → 1×D+1053
#   D∈[226,226] → 123.7×D+-25450.2
#   D∈[228,228] → -616×D+141722
#   D∈[229,254] → 1×D+1046

4-1,rtp://225.1.4.1:1030
4-2,rtp://225.1.4.2:1031
4-3,rtp://225.1.4.3:1032
4-4,rtp://225.1.4.4:1033
4-7,rtp://225.1.4.7:1036
4-9,rtp://225.1.4.9:1038
4-10,rtp://225.1.4.10:1039
4-11,rtp://225.1.4.11:1040
4-12,rtp://225.1.4.12:1041
4-13,rtp://225.1.4.13:1042
4-14,rtp://225.1.4.14:1043
4-15,rtp://225.1.4.15:1044
4-17,rtp://225.1.4.17:1046
4-18,rtp://225.1.4.18:1047
4-19,rtp://225.1.4.19:1048
4-20,rtp://225.1.4.20:1049
4-21,rtp://225.1.4.21:1050
4-22,rtp://225.1.4.22:1051
4-23,rtp://225.1.4.23:1052
4-24,rtp://225.1.4.24:1053
4-25,rtp://225.1.4.25:1054
4-26,rtp://225.1.4.26:1055
4-27,rtp://225.1.4.27:1056
4-28,rtp://225.1.4.28:1057
4-29,rtp://225.1.4.29:1058
4-30,rtp://225.1.4.30:1059
4-32,rtp://225.1.4.32:1061
4-33,rtp://225.1.4.33:1062
4-34,rtp://225.1.4.34:1063
4-35,rtp://225.1.4.35:1064
4-36,rtp://225.1.4.36:1065
4-37,rtp://225.1.4.37:1066
4-40,rtp://225.1.4.40:1069
4-41,rtp://225.1.4.41:1070
4-51,rtp://225.1.4.51:1080
4-59,rtp://225.1.4.59:1088
4-60,rtp://225.1.4.60:1089
4-61,rtp://225.1.4.61:1090
4-62,rtp://225.1.4.62:1091
4-63,rtp://225.1.4.63:1092
4-64,rtp://225.1.4.64:1093
4-65,rtp://225.1.4.65:1094
4-66,rtp://225.1.4.66:1095
4-67,rtp://225.1.4.67:1096
4-68,rtp://225.1.4.68:1097
4-69,rtp://225.1.4.69:1098
4-70,rtp://225.1.4.70:1099
4-71,rtp://225.1.4.71:1100
4-72,rtp://225.1.4.72:1101
