# 20260523_112715_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
浙江卫视	233.50.200.145:5140	有效	1920x1080	h264	7916
浙江卫视	233.50.200.231:5140	无效			5623
浙江卫视	233.50.200.79:5140	有效	720x576	h264	5865
浙江卫视	233.50.201.100:5140	有效	1920x1080	h264	7302
浙江卫视	233.50.201.221:5140	有效	720x576	h264	5518
浙江卫视	233.50.201.27:5140	有效	720x576	h264	4691
浙江卫视	233.50.202.104:5140	有效		hevc	7427
浙江之声 FM	/233.50.201.79:5140	无效			518
浙江之声广播	233.50.201.79:5140	有效			5816
浙江之江纪录	233.50.202.25:5140	有效	1920x1080	h264	6719
浙江交通之声	233.50.201.83:5140	有效			6584
浙江城市之声	233.50.201.85:5140	有效			5705
浙江好易购	233.50.201.248:5140	有效	1920x1080	h264	7814
浙江少儿	233.50.200.208:5140	有效	720x576	h264	5884
浙江少儿	233.50.201.33:5140	有效	720x576	h264	5897
浙江少儿频道	233.50.201.138:5140	有效	1920x1080	h264	6574
浙江教育频道	233.50.201.134:5140	有效	1920x1080	h264	7467
浙江新闻	233.50.200.207:5140	有效	720x576	h264	3284
浙江新闻	233.50.201.34:5140	有效	720x576	h264	6318
浙江新闻广播	233.50.201.80:5140	有效			6119
浙江新闻频道	233.50.201.137:5140	有效	1920x1080	h264	6530
浙江旅游之声	233.50.201.84:5140	有效			5732
浙江民生	233.50.200.206:5140	有效	720x576	h264	6798
浙江民生	233.50.201.32:5140	无效			99999
浙江民生休闲	233.50.201.136:5140	有效	1920x1080	h264	7337
浙江民生资讯广播	233.50.201.86:5140	有效			5813
浙江科教影视	233.50.200.205:5140	有效	720x576	h264	5850
浙江科教影视	233.50.201.30:5140	有效	720x576	h264	6480
浙江经济广播	233.50.201.81:5140	有效			5650
浙江经济生活	233.50.200.204:5140	有效	720x576	h264	5756
浙江经济生活	233.50.201.133:5140	有效	1920x1080	h264	7360
浙江钱江	233.50.200.203:5140	有效	720x576	h264	5865
浙江钱江	233.50.201.28:5140	有效	720x576	h264	5860
浙江钱江频道	233.50.201.132:5140	有效	1920x1080	h264	7731
浙江音乐调频	233.50.201.82:5140	有效			5756
CCTV-1	233.50.200.143:5140	有效	1920x1080	h264	4351
CCTV-1	233.50.200.247:5140	有效	1920x1080	h264	7574
CCTV-1	233.50.200.99:5140	有效	1920x1080	h264	5912
CCTV-1	233.50.201.127:5140	有效	1920x1080	h264	6954
CCTV-1	233.50.201.128:5140	有效	1920x1080	h264	7989
CCTV-1	233.50.201.129:5140	无效			6349
CCTV-1	233.50.201.130:5140	无效			99999
CCTV-1	233.50.201.131:5140	无效			6628
CCTV-1	233.50.201.135:5140	无效			7082
CCTV-1	233.50.201.147:5140	无效			5714
CCTV-1	233.50.201.160:5140	无效			5635
CCTV-1	233.50.201.164:5140	无效			5632
CCTV-1	233.50.201.165:5140	无效			5625
CCTV-1	233.50.201.166:5140	无效			7129
CCTV-1	233.50.201.167:5140	无效			6805
CCTV-1	233.50.201.170:5140	无效			5741
CCTV-1	233.50.201.171:5140	无效			5636
CCTV-1	233.50.201.1:5140	有效	720x576	h264	5577
CCTV-1	233.50.201.200:5140	无效			99999
CCTV-1	233.50.201.208:5140	无效			6401
CCTV-1	233.50.201.209:5140	无效			5857
CCTV-1	233.50.201.210:5140	无效			5620
CCTV-1	233.50.201.211:5140	无效			5634
CCTV-1	233.50.201.212:5140	无效			5633
CCTV-1	233.50.201.213:5140	无效			5638
CCTV-1	233.50.201.214:5140	无效			7644
CCTV-1	233.50.201.215:5140	无效			5636
CCTV-1	233.50.201.216:5140	无效			7416
CCTV-1	233.50.201.217:5140	无效			5638
CCTV-1	233.50.201.219:5140	无效			5629
CCTV-1	233.50.201.228:5140	无效			99999
CCTV-1	233.50.201.229:5140	无效			6378
CCTV-1	233.50.201.230:5140	无效			5865
