# 补充IP列表 - 原文件: 浙江电信.txt
# 生成时间: 2026-05-28 17:16:21
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 233.50.200.x =====
# 已有IP: 166 个, 缺失IP: 88 个
# 规律: 固定端口 5140

200-1,rtp://233.50.200.1:5140
200-2,rtp://233.50.200.2:5140
200-3,rtp://233.50.200.3:5140
200-4,rtp://233.50.200.4:5140
200-5,rtp://233.50.200.5:5140
200-6,rtp://233.50.200.6:5140
200-7,rtp://233.50.200.7:5140
200-8,rtp://233.50.200.8:5140
200-9,rtp://233.50.200.9:5140
200-10,rtp://233.50.200.10:5140
200-13,rtp://233.50.200.13:5140
200-16,rtp://233.50.200.16:5140
200-17,rtp://233.50.200.17:5140
200-18,rtp://233.50.200.18:5140
200-19,rtp://233.50.200.19:5140
200-30,rtp://233.50.200.30:5140
200-35,rtp://233.50.200.35:5140
200-36,rtp://233.50.200.36:5140
200-37,rtp://233.50.200.37:5140
200-38,rtp://233.50.200.38:5140
200-39,rtp://233.50.200.39:5140
200-40,rtp://233.50.200.40:5140
200-43,rtp://233.50.200.43:5140
200-46,rtp://233.50.200.46:5140
200-54,rtp://233.50.200.54:5140
200-55,rtp://233.50.200.55:5140
200-56,rtp://233.50.200.56:5140
200-57,rtp://233.50.200.57:5140
200-58,rtp://233.50.200.58:5140
200-59,rtp://233.50.200.59:5140
200-60,rtp://233.50.200.60:5140
200-73,rtp://233.50.200.73:5140
200-74,rtp://233.50.200.74:5140
200-75,rtp://233.50.200.75:5140
200-76,rtp://233.50.200.76:5140
200-89,rtp://233.50.200.89:5140
200-92,rtp://233.50.200.92:5140
200-93,rtp://233.50.200.93:5140
200-94,rtp://233.50.200.94:5140
200-96,rtp://233.50.200.96:5140
200-116,rtp://233.50.200.116:5140
200-117,rtp://233.50.200.117:5140
200-121,rtp://233.50.200.121:5140
200-134,rtp://233.50.200.134:5140
200-140,rtp://233.50.200.140:5140
200-151,rtp://233.50.200.151:5140
200-152,rtp://233.50.200.152:5140
200-156,rtp://233.50.200.156:5140
200-157,rtp://233.50.200.157:5140
200-159,rtp://233.50.200.159:5140
200-160,rtp://233.50.200.160:5140
200-161,rtp://233.50.200.161:5140
200-168,rtp://233.50.200.168:5140
200-176,rtp://233.50.200.176:5140
200-180,rtp://233.50.200.180:5140
200-181,rtp://233.50.200.181:5140
200-184,rtp://233.50.200.184:5140
200-186,rtp://233.50.200.186:5140
200-195,rtp://233.50.200.195:5140
200-196,rtp://233.50.200.196:5140
200-197,rtp://233.50.200.197:5140
200-198,rtp://233.50.200.198:5140
200-199,rtp://233.50.200.199:5140
200-200,rtp://233.50.200.200:5140
200-202,rtp://233.50.200.202:5140
200-214,rtp://233.50.200.214:5140
200-216,rtp://233.50.200.216:5140
200-217,rtp://233.50.200.217:5140
200-219,rtp://233.50.200.219:5140
200-221,rtp://233.50.200.221:5140
200-222,rtp://233.50.200.222:5140
200-224,rtp://233.50.200.224:5140
200-226,rtp://233.50.200.226:5140
200-227,rtp://233.50.200.227:5140
200-228,rtp://233.50.200.228:5140
200-230,rtp://233.50.200.230:5140
200-232,rtp://233.50.200.232:5140
200-238,rtp://233.50.200.238:5140
200-239,rtp://233.50.200.239:5140
200-240,rtp://233.50.200.240:5140
200-241,rtp://233.50.200.241:5140
200-242,rtp://233.50.200.242:5140
200-249,rtp://233.50.200.249:5140
200-250,rtp://233.50.200.250:5140
200-251,rtp://233.50.200.251:5140
200-252,rtp://233.50.200.252:5140
200-253,rtp://233.50.200.253:5140
200-254,rtp://233.50.200.254:5140

# ===== 网段: 233.50.201.x =====
# 已有IP: 235 个, 缺失IP: 19 个
# 规律: 固定端口 5140

201-3,rtp://233.50.201.3:5140
201-5,rtp://233.50.201.5:5140
201-6,rtp://233.50.201.6:5140
201-8,rtp://233.50.201.8:5140
201-9,rtp://233.50.201.9:5140
201-67,rtp://233.50.201.67:5140
201-78,rtp://233.50.201.78:5140
201-89,rtp://233.50.201.89:5140
201-110,rtp://233.50.201.110:5140
201-111,rtp://233.50.201.111:5140
201-112,rtp://233.50.201.112:5140
201-150,rtp://233.50.201.150:5140
