# 20260523_112755_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
浙江卫视	233.50.201.100:5140	有效	1920x1080	h264	2229
浙江news	233.50.201.137:5140	有效		h264	2119
浙江之声广播	233.50.201.79:5140	有效			1789
浙江少儿	233.50.201.138:5140	有效	1920x1080	h264	2504
浙江教育	233.50.201.134:5140	有效			1957
浙江新闻广播	233.50.201.80:5140	有效			2342
浙江民生	233.50.201.136:5140	有效		h264	2249
浙江经济生活	233.50.201.133:5140	有效		h264	2054
CCTV1	233.50.201.118:5140	有效	1920x1080	h264	2370
CCTV2	233.50.201.119:5140	有效		h264	2069
CCTV3	233.50.201.196:5140	有效		h264	2261
CCTV4	233.50.201.4:5140	有效	720x576	h264	2026
CCTV5	233.50.201.197:5140	无效			99999
CCTV5+	233.50.201.220:5140	有效	1920x1080	h264	1976
CCTV6	233.50.201.198:5140	无效			99999
CCTV7	233.50.201.120:5140	有效		h264	2170
CCTV8	233.50.201.199:5140	有效		h264	2265
CCTV9	233.50.201.121:5140	有效	1920x1080	h264	2023
CCTV10	233.50.201.122:5140	有效		h264	2336
CCTV11	233.50.201.11:5140	有效	720x576	h264	1941
CCTV12	233.50.201.123:5140	无效			99999
CCTV13	233.50.201.246:5140	有效	1920x1080	h264	2052
CCTV14	233.50.201.124:5140	无效			99999
CCTV15	233.50.201.15:5140	有效	720x576	h264	1920
CCTV16	233.50.201.192:5140	无效			99999
CCTV16	233.50.201.63:5140	有效		hevc	1996
CCTV17	233.50.201.35:5140	无效			99999
优优宝贝	233.50.202.24:5140	有效	1920x1080	h264	2031
CGTN	233.50.201.126:5140	无效			99999
CGTN-法语	233.50.201.37:5140	有效	720x576	h264	1904
CGTN-俄语	233.50.201.39:5140	无效			99999
中国教育1	233.50.201.75:5140	无效			99999
中国教育4	233.50.201.172:5140	无效			99999
湖南卫视	233.50.201.103:5140	有效	1920x1080	h264	2063
江苏卫视	233.50.201.106:5140	无效			99999
北京卫视	233.50.201.107:5140	无效			99999
东方卫视	233.50.201.125:5140	无效			99999
安徽卫视	233.50.201.113:5140	无效			99999
广东卫视	233.50.201.102:5140	无效			99999
深圳卫视	233.50.201.101:5140	无效			99999
辽宁卫视	233.50.201.141:5140	无效			6303
山东卫视	233.50.201.105:5140	无效			5863
天津卫视	233.50.201.104:5140	无效			6309
重庆卫视	233.50.201.143:5140	无效			5880
东南卫视	233.50.201.146:5140	无效			6294
河北卫视	233.50.201.140:5140	无效			5896
河南卫视	233.50.201.144:5140	无效			6297
湖北卫视	233.50.201.114:5140	无效			5875
陕西卫视	233.50.201.59:5140	无效			6275
四川卫视	233.50.201.139:5140	无效			5902
海南卫视	233.50.201.55:5140	无效			6276
甘肃卫视	233.50.201.149:5140	无效			5877
广西卫视	233.50.201.49:5140	无效			6281
贵州卫视	233.50.201.142:5140	无效			5885
黑龙江卫视	233.50.201.115:5140	无效			6273
江西卫视	233.50.201.145:5140	无效			5878
吉林卫视	233.50.201.48:5140	无效			6250
内蒙古卫视	233.50.201.148:5140	无效			5912
宁夏卫视	233.50.201.57:5140	无效			6262
山西卫视	233.50.201.51:5140	无效			5892
云南卫视	233.50.201.46:5140	无效			6249
青海卫视	233.50.201.65:5140	无效			5891
西藏卫视	233.50.201.70:5140	无效			6241
兵团卫视	233.50.201.72:5140	无效			5877
快乐垂钓	233.50.201.109:5140	无效			6233
茶频道	233.50.201.188:5140	无效			5877
金鹰卡通	233.50.201.73:5140	无效			6247
生活时尚	233.50.201.187:5140	无效			5866
都市剧场	233.50.201.190:5140	无效			6239
游戏风云	233.50.201.183:5140	无效			5880
动漫秀场	233.50.201.184:5140	无效			6209
乐游	233.50.201.185:5140	无效			5907
欢笑剧场	233.50.201.189:5140	无效			6230
金色学堂	233.50.201.186:5140	无效			5888
哈哈炫动	233.50.201.74:5140	无效			6226
极速汽车	233.50.201.208:5140	无效			5878
家有购物	233.50.201.90:5140	无效			6224
杭州1综合	233.50.201.173:5140	无效			5870
杭州2明珠	233.50.201.174:5140	无效			6190
杭州3生活	233.50.201.175:5140	无效			5899
杭州4影视	233.50.201.176:5140	无效			99999
杭州5青少	233.50.201.177:5140	有效	1920x1080	h264	17491
杭州导视	233.50.201.182:5140	有效		h264	13528
宁波TV1	233.50.201.168:5140	有效	1920x1080	h264	17376
宁波TV2	233.50.201.178:5140	无效			99999
宁波TV3	233.50.201.179:5140	有效	1920x1080	h264	17647
宁波TV4	233.50.201.180:5140	有效		h264	8902
宁波TV5	233.50.201.181:5140	无效			5721
温州新闻	233.50.201.87:5140	无效			99999
嘉兴新闻	233.50.201.163:5140	有效		h264	10197
湖州公共	233.50.201.158:5140	无效			99999
绍兴新闻	233.50.201.156:5140	有效	1920x1080	h264	18677
金华新闻	233.50.201.161:5140	无效			99999
衢州新闻	233.50.201.155:5140	无效			5813
台州-1	233.50.201.157:5140	无效			6171
丽水新闻	233.50.201.162:5140	有效		h264	12672
BesTV	233.50.201.201:5140	无效			6413
CGTN-西班牙语	233.50.201.36:5140	有效	720x576	h264	8522
CGTN-阿拉伯语	233.50.201.38:5140	无效			99999
中国蓝直播	233.50.201.108:5140	有效	1920x1080	h264	18603
之江记录	233.50.202.25:5140	无效			99999
交通之声广播	233.50.201.83:5140	无效			99999
凤凰卫视中文	233.50.200.191:5140	无效			99999
凤凰卫视资讯	233.50.200.192:5140	无效			10417
城市之声广播	233.50.201.85:5140	无效			99999
新视觉	233.50.201.244:5140	无效			5782
旅游之声广播	233.50.201.84:5140	无效			99999
未知频道	233.50.201.224:5140	有效		h264	8862
桐乡新闻	233.50.201.169:5140	无效			99999
民生资讯广播	233.50.201.86:5140	无效			99999
法制天地	233.50.201.191:5140	有效		h264	12130
游戏频道	233.50.201.215:5140	无效			5740
电视购物	233.50.201.248:5140	无效			99999
经济频道广播	233.50.201.81:5140	无效			99999
钱江频道	233.50.201.132:5140	无效			99999
音乐调频广播	233.50.201.82:5140	无效			99999
