# 20260523_143613_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
海南三沙卫视	239.253.64.112:5140	无效			6252
海南卫视	239.253.64.253:5140	无效			5626
海南公共	239.253.64.2:5140	有效			0
海南公共频道	239.253.64.14:5140	无效			5884
海南少儿	239.253.64.4:5140	有效			0
海南少儿频道	239.253.64.124:5140	有效			0
海南文旅	239.253.64.3:5140	有效			0
海南文旅频道	239.253.64.122:5140	无效			6811
海南新闻	239.253.64.11:5140	无效			5832
海南新闻频道	239.253.64.121:5140	有效			0
海南自贸	239.253.64.1:5140	有效			0
海南自贸频道	239.253.64.119:5140	有效			0
海南风景	239.253.64.52:5140	无效			5887
海南风景欣赏720	239.253.64.177:5140	无效			5983
CCTV1	239.253.64.120:5140	无效			5639
CCTV1	239.253.64.12:5140	无效			5624
CCTV2	239.253.64.13:5140	无效			6253
CCTV2	239.253.64.195:5140	无效			5632
CCTV3	239.253.64.244:5140	无效			5879
CCTV4	239.253.64.15:5140	有效	720x576	h264	7368
CCTV4	239.253.64.196:5140	无效			99999
CCTV5	239.253.64.245:5140	无效			99999
CCTV5+	239.253.64.100:5140	有效			0
CCTV6	239.253.64.246:5140	有效			0
CCTV7	239.253.64.16:5140	有效			0
CCTV8	239.253.64.247:5140	无效			99999
CCTV9	239.253.64.242:5140	无效			99999
CCTV9	239.253.64.76:5140	有效	1920x1080	h264	18911
CCTV10	239.253.64.18:5140	无效			6235
CCTV10	239.253.64.87:5140	无效			5638
CCTV11	239.253.64.19:5140	有效			0
CCTV11	239.253.64.70:5140	有效			0
CCTV12	239.253.64.20:5140	无效			5631
CCTV12	239.253.64.97:5140	有效			0
CCTV13	239.253.64.21:5140	有效			0
CCTV13	239.253.64.59:5140	无效			6243
CCTV14	239.253.64.115:5140	无效			5629
CCTV14	239.253.64.22:5140	有效			0
CCTV15	239.253.64.23:5140	无效			5634
CCTV15	239.253.64.72:5140	无效			99999
CCTV16	239.253.64.251:5140	无效			99999
CCTV17	239.253.64.53:5140	有效			0
CCTV17	239.253.64.67:5140	有效	1920x1080	h264	16563
CCTV16SDR	239.253.64.126:5140	无效			6520
CGTN	239.253.64.17:5140	无效			5865
CETV1	239.253.64.169:5140	无效			5876
中国教育1	239.253.64.252:5140	无效			6999
CETV2	239.253.64.128:5140	无效			5631
CETV4	239.253.64.139:5140	有效			0
湖南卫视	239.253.64.114:5140	无效			5893
湖南卫视	239.253.64.32:5140	有效	720x576	h264	9387
浙江卫视	239.253.64.206:5140	无效			7845
