# 补充IP列表 - 原文件: 海南电信.txt
# 生成时间: 2026-05-28 17:16:20
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.253.64.x =====
# 已有IP: 230 个, 缺失IP: 24 个
# 规律: 固定端口 5140

64-48,rtp://239.253.64.48:5140
64-50,rtp://239.253.64.50:5140
64-51,rtp://239.253.64.51:5140
64-68,rtp://239.253.64.68:5140
64-75,rtp://239.253.64.75:5140
64-81,rtp://239.253.64.81:5140
64-90,rtp://239.253.64.90:5140
64-93,rtp://239.253.64.93:5140
64-94,rtp://239.253.64.94:5140
64-98,rtp://239.253.64.98:5140
64-99,rtp://239.253.64.99:5140
64-162,rtp://239.253.64.162:5140
64-171,rtp://239.253.64.171:5140
64-172,rtp://239.253.64.172:5140
64-173,rtp://239.253.64.173:5140
64-174,rtp://239.253.64.174:5140
64-175,rtp://239.253.64.175:5140
64-176,rtp://239.253.64.176:5140
64-199,rtp://239.253.64.199:5140
64-209,rtp://239.253.64.209:5140
64-239,rtp://239.253.64.239:5140
64-240,rtp://239.253.64.240:5140
64-248,rtp://239.253.64.248:5140
64-249,rtp://239.253.64.249:5140

# ===== 总计补充: 24 个IP =====
