# 补充IP列表 - 原文件: 海南联通.txt
# 生成时间: 2026-05-28 17:17:03
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.254.96.x =====
# 已有IP: 66 个, 缺失IP: 188 个
# 规律: 多段线性
#   D∈[16,55] → 8×D+6984
#   D∈[57,57] → 390×D+-14026
#   D∈[58,58] → -756×D+51296
#   D∈[60,82] → 8×D+6984
#   D∈[83,83] → -636×D+59792
#   D∈[84,84] → 652×D+-47112
#   D∈[85,86] → 8×D+6984
#   D∈[87,87] → -652×D+63744
#   D∈[88,88] → 668×D+-51096
#   D∈[89,103] → 8×D+6984
#   D∈[106,106] → 341.3333333333333×D+-27349.33333333333
#   D∈[111,111] → -212×D+31304
#   D∈[124,124] → -52.92307692307692×D+13646.461538461539
#   D∈[125,125] → 20×D+4604
#   D∈[126,126] → 8×D+6104
#   D∈[127,127] → 4×D+6608
#   D∈[128,129] → 8×D+6100
#   D∈[130,130] → -84×D+17968
#   D∈[131,132] → 4×D+6528
#   D∈[133,133] → 8×D+6000
#   D∈[151,151] → 58.55555555555556×D+-723.8888888888887
#   D∈[152,153] → 4×D+7514
#   D∈[154,154] → -970×D+156536
#   D∈[155,155] → -4×D+7772
#   D∈[169,169] → 71.14285714285714×D+-3875.142857142857
#   D∈[170,170] → 58×D+-1654
#   D∈[179,179] → -116.88888888888889×D+28077.11111111111
#   D∈[180,180] → -62×D+18252
#   D∈[181,181] → -20×D+10692
#   D∈[182,182] → 4×D+6348
#   D∈[183,183] → 288×D+-45340
#   D∈[184,184] → -206×D+45062
#   D∈[185,185] → 1004×D+-177578
#   D∈[186,187] → 2×D+7792
#   D∈[188,188] → 4×D+7418
#   D∈[189,192] → 2×D+7794

96-1,rtp://239.254.96.1:6992
96-2,rtp://239.254.96.2:7000
96-3,rtp://239.254.96.3:7008
96-4,rtp://239.254.96.4:7016
96-5,rtp://239.254.96.5:7024
96-6,rtp://239.254.96.6:7032
96-7,rtp://239.254.96.7:7040
96-8,rtp://239.254.96.8:7048
96-9,rtp://239.254.96.9:7056
96-10,rtp://239.254.96.10:7064
96-11,rtp://239.254.96.11:7072
96-12,rtp://239.254.96.12:7080
96-13,rtp://239.254.96.13:7088
96-14,rtp://239.254.96.14:7096
96-15,rtp://239.254.96.15:7104
96-17,rtp://239.254.96.17:7120
96-18,rtp://239.254.96.18:7128
96-19,rtp://239.254.96.19:7136
96-20,rtp://239.254.96.20:7144
96-21,rtp://239.254.96.21:7152
96-22,rtp://239.254.96.22:7160
96-23,rtp://239.254.96.23:7168
96-24,rtp://239.254.96.24:7176
96-25,rtp://239.254.96.25:7184
96-26,rtp://239.254.96.26:7192
96-27,rtp://239.254.96.27:7200
96-28,rtp://239.254.96.28:7208
96-29,rtp://239.254.96.29:7216
96-30,rtp://239.254.96.30:7224
96-31,rtp://239.254.96.31:7232
96-32,rtp://239.254.96.32:7240
96-35,rtp://239.254.96.35:7264
96-37,rtp://239.254.96.37:7280
96-38,rtp://239.254.96.38:7288
96-39,rtp://239.254.96.39:7296
96-40,rtp://239.254.96.40:7304
96-41,rtp://239.254.96.41:7312
96-42,rtp://239.254.96.42:7320
96-43,rtp://239.254.96.43:7328
96-44,rtp://239.254.96.44:7336
96-45,rtp://239.254.96.45:7344
96-47,rtp://239.254.96.47:7360
96-56,rtp://239.254.96.56:7906
96-59,rtp://239.254.96.59:7912
96-64,rtp://239.254.96.64:7496
96-68,rtp://239.254.96.68:7528
96-69,rtp://239.254.96.69:7536
96-70,rtp://239.254.96.70:7544
96-71,rtp://239.254.96.71:7552
96-72,rtp://239.254.96.72:7560
96-73,rtp://239.254.96.73:7568
96-74,rtp://239.254.96.74:7576
96-75,rtp://239.254.96.75:7584
96-76,rtp://239.254.96.76:7592
96-77,rtp://239.254.96.77:7600
96-78,rtp://239.254.96.78:7608
96-79,rtp://239.254.96.79:7616
96-80,rtp://239.254.96.80:7624
96-81,rtp://239.254.96.81:7632
96-92,rtp://239.254.96.92:7720
96-93,rtp://239.254.96.93:7728
96-94,rtp://239.254.96.94:7736
96-95,rtp://239.254.96.95:7744
96-96,rtp://239.254.96.96:7752
96-97,rtp://239.254.96.97:7760
96-98,rtp://239.254.96.98:7768
96-99,rtp://239.254.96.99:7776
96-100,rtp://239.254.96.100:7784
96-101,rtp://239.254.96.101:7792
96-102,rtp://239.254.96.102:7800
96-104,rtp://239.254.96.104:8002
96-105,rtp://239.254.96.105:8004
96-107,rtp://239.254.96.107:8008
96-108,rtp://239.254.96.108:8010
96-109,rtp://239.254.96.109:8012
96-110,rtp://239.254.96.110:8014
96-112,rtp://239.254.96.112:8018
96-113,rtp://239.254.96.113:8020
96-114,rtp://239.254.96.114:8022
96-115,rtp://239.254.96.115:8024
96-116,rtp://239.254.96.116:8026
96-117,rtp://239.254.96.117:8028
96-118,rtp://239.254.96.118:8030
96-119,rtp://239.254.96.119:8032
96-120,rtp://239.254.96.120:8034
96-121,rtp://239.254.96.121:8036
96-122,rtp://239.254.96.122:8038
96-123,rtp://239.254.96.123:8040
96-134,rtp://239.254.96.134:8062
96-135,rtp://239.254.96.135:8064
96-136,rtp://239.254.96.136:8066
96-137,rtp://239.254.96.137:8068
96-138,rtp://239.254.96.138:8070
96-139,rtp://239.254.96.139:8072
96-140,rtp://239.254.96.140:8074
96-141,rtp://239.254.96.141:8076
96-142,rtp://239.254.96.142:8078
96-143,rtp://239.254.96.143:8080
96-144,rtp://239.254.96.144:8082
96-145,rtp://239.254.96.145:8084
96-146,rtp://239.254.96.146:8086
96-147,rtp://239.254.96.147:8088
96-148,rtp://239.254.96.148:8090
96-149,rtp://239.254.96.149:8092
96-150,rtp://239.254.96.150:8094
96-156,rtp://239.254.96.156:8106
96-157,rtp://239.254.96.157:8108
96-158,rtp://239.254.96.158:8110
96-159,rtp://239.254.96.159:8112
96-160,rtp://239.254.96.160:8114
96-161,rtp://239.254.96.161:8116
96-162,rtp://239.254.96.162:8118
96-163,rtp://239.254.96.163:8120
96-164,rtp://239.254.96.164:8122
96-165,rtp://239.254.96.165:8124
96-166,rtp://239.254.96.166:8126
96-167,rtp://239.254.96.167:8128
96-168,rtp://239.254.96.168:8130
96-171,rtp://239.254.96.171:8136
96-172,rtp://239.254.96.172:8138
96-173,rtp://239.254.96.173:8140
96-174,rtp://239.254.96.174:8142
96-175,rtp://239.254.96.175:8144
96-176,rtp://239.254.96.176:8146
96-177,rtp://239.254.96.177:8148
96-178,rtp://239.254.96.178:8150
96-193,rtp://239.254.96.193:8180
96-194,rtp://239.254.96.194:8182
96-195,rtp://239.254.96.195:8184
96-196,rtp://239.254.96.196:8186
96-197,rtp://239.254.96.197:8188
96-198,rtp://239.254.96.198:8190
96-199,rtp://239.254.96.199:8192
96-200,rtp://239.254.96.200:8194
96-201,rtp://239.254.96.201:8196
