# 20260619_175722_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
96-1	239.254.96.1:6992	无效			5122
96-2	239.254.96.2:7000	无效			5134
96-3	239.254.96.3:7008	无效			5109
96-4	239.254.96.4:7016	无效			5068
96-5	239.254.96.5:7024	无效			5058
96-6	239.254.96.6:7032	无效			5058
96-7	239.254.96.7:7040	无效			5056
96-8	239.254.96.8:7048	无效			5056
96-9	239.254.96.9:7056	无效			5055
96-10	239.254.96.10:7064	无效			5056
96-11	239.254.96.11:7072	无效			5056
96-12	239.254.96.12:7080	无效			5056
96-13	239.254.96.13:7088	无效			5056
96-14	239.254.96.14:7096	无效			5055
96-15	239.254.96.15:7104	无效			5056
96-17	239.254.96.17:7120	无效			5055
96-18	239.254.96.18:7128	无效			5055
96-19	239.254.96.19:7136	无效			5055
96-20	239.254.96.20:7144	无效			5055
96-21	239.254.96.21:7152	无效			5118
96-22	239.254.96.22:7160	无效			5116
96-23	239.254.96.23:7168	无效			5062
96-24	239.254.96.24:7176	无效			5055
96-25	239.254.96.25:7184	无效			5052
96-26	239.254.96.26:7192	无效			5057
96-27	239.254.96.27:7200	无效			5058
96-28	239.254.96.28:7208	无效			5057
96-29	239.254.96.29:7216	无效			5058
96-30	239.254.96.30:7224	无效			5058
96-31	239.254.96.31:7232	无效			5058
96-32	239.254.96.32:7240	无效			5058
96-35	239.254.96.35:7264	无效			5058
96-37	239.254.96.37:7280	无效			5057
96-38	239.254.96.38:7288	无效			5058
96-39	239.254.96.39:7296	无效			5059
96-40	239.254.96.40:7304	无效			5058
96-41	239.254.96.41:7312	无效			5057
96-42	239.254.96.42:7320	无效			5060
96-43	239.254.96.43:7328	无效			5160
96-44	239.254.96.44:7336	无效			5124
96-45	239.254.96.45:7344	无效			5109
96-47	239.254.96.47:7360	无效			5122
96-56	239.254.96.56:7906	无效			5111
96-59	239.254.96.59:7912	无效			5093
96-64	239.254.96.64:7496	无效			5071
96-68	239.254.96.68:7528	无效			5076
96-69	239.254.96.69:7536	无效			5074
96-70	239.254.96.70:7544	无效			5073
96-71	239.254.96.71:7552	无效			5071
96-72	239.254.96.72:7560	无效			5064
96-73	239.254.96.73:7568	无效			5062
96-74	239.254.96.74:7576	无效			5065
96-75	239.254.96.75:7584	无效			5065
96-76	239.254.96.76:7592	无效			5067
96-77	239.254.96.77:7600	无效			5068
96-78	239.254.96.78:7608	无效			5067
96-79	239.254.96.79:7616	无效			5076
96-80	239.254.96.80:7624	无效			5118
96-81	239.254.96.81:7632	无效			5103
96-92	239.254.96.92:7720	无效			5068
96-93	239.254.96.93:7728	无效			5057
96-94	239.254.96.94:7736	无效			5057
96-95	239.254.96.95:7744	无效			5058
96-96	239.254.96.96:7752	无效			5058
96-97	239.254.96.97:7760	无效			5057
96-98	239.254.96.98:7768	无效			5058
96-99	239.254.96.99:7776	无效			5058
96-100	239.254.96.100:7784	无效			5058
96-101	239.254.96.101:7792	无效			5058
96-102	239.254.96.102:7800	无效			5057
96-104	239.254.96.104:8002	无效			5057
