# 20260523_113043_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
湖北卫视	239.254.96.115:8664	无效			5979
湖北卫视	239.254.96.1:7980	无效			5624
湖北公共	239.254.96.179:9154	无效			5631
湖北公共新闻	239.69.1.40:9880	无效			5642
湖北垄上	239.254.96.184:9184	无效			5975
湖北垄上频道	239.69.1.43:9898	无效			5626
湖北影视	239.254.96.182:9172	无效			5641
湖北影视频道	239.69.1.204:10866	无效			5624
湖北教育	239.254.96.180:9160	无效			5977
湖北教育频道	239.69.1.206:10878	无效			5625
湖北生活	239.254.96.181:9166	有效	720x576	h264	9698
湖北生活频道	239.69.1.205:10872	有效	1920x1080	h264	7305
湖北电视台	239.254.96.177:9142	无效			6228
湖北经视	239.254.96.178:9148	无效			5889
湖北经视频道	239.69.1.41:9886	有效	1920x1080	h264	7187
湖北综合频道	239.69.1.42:9892	无效			5615
CCTV-1综合	239.254.96.96:8550	无效			5969
CCTV1	239.254.96.3:7992	有效	720x576	h264	7041
CCTV-2财经	239.69.1.102:10250	无效			5762
CCTV2	239.254.96.154:8998	有效	720x576	h264	5553
CCTV-3综艺	239.69.1.122:10370	有效	1920x1080	h264	7614
CCTV-4中文国际	239.69.1.138:10466	无效			5784
CCTV4	239.254.96.155:9004	有效	720x576	h264	5550
CCTV-5体育	239.69.1.123:10376	无效			5707
CCTV-5+体育赛事	239.254.96.234:9484	无效			6248
CCTV5+	239.254.96.99:8568	无效			5871
CCTV-6电影	239.69.1.124:10382	无效			6904
CCTV-7国防军事	239.69.1.103:10256	有效	1920x1080	h264	7007
CCTV7	239.254.96.156:9130	无效			6229
CCTV-8电视剧	239.69.1.125:10388	无效			5874
CCTV-9纪录	239.69.1.104:10262	无效			5901
CCTV9	239.254.96.157:9016	无效			5626
CCTV-10科教	239.69.1.105:10268	无效			6219
CCTV10	239.254.96.158:9022	无效			5903
CCTV-11戏曲	239.69.1.154:10560	无效			5866
CCTV11	239.254.96.159:9028	无效			5896
CCTV11	239.254.96.9:8028	有效	720x576	h264	7171
CCTV-12社会与法	239.69.1.106:10274	有效	1920x1080	h264	6517
CCTV12	239.254.96.160:9034	无效			5845
CCTV-13新闻	239.254.96.161:9040	无效			5635
CCTV13	239.254.96.11:8040	无效			6210
