# 20260704_160056_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
1-1	239.69.1.1:9646	无效			7683
1-3	239.69.1.3:9658	无效			5637
1-5	239.69.1.5:9670	无效			5634
1-6	239.69.1.6:9676	无效			5644
1-7	239.69.1.7:9682	无效			6661
1-8	239.69.1.8:9688	无效			6409
1-9	239.69.1.9:9694	无效			6664
1-10	239.69.1.10:9700	无效			6399
1-11	239.69.1.11:9706	无效			5642
1-14	239.69.1.14:9724	无效			5631
1-15	239.69.1.15:9730	无效			5636
1-16	239.69.1.16:9736	无效			5638
1-17	239.69.1.17:9742	无效			5644
1-18	239.69.1.18:9748	无效			7434
1-19	239.69.1.19:9754	无效			7429
1-20	239.69.1.20:9760	无效			5638
1-21	239.69.1.21:9766	无效			6663
1-22	239.69.1.22:9772	无效			5632
1-23	239.69.1.23:9778	无效			6918
1-29	239.69.1.29:9814	无效			5635
1-30	239.69.1.30:9820	无效			5635
1-31	239.69.1.31:9826	无效			5639
1-32	239.69.1.32:9832	无效			5638
1-37	239.69.1.37:9862	有效	720x576	h264	5640
1-38	239.69.1.38:9868	无效			5632
1-39	239.69.1.39:9874	无效			5638
1-44	239.69.1.44:9904	无效			5649
1-45	239.69.1.45:9910	无效			5627
1-46	239.69.1.46:9916	有效	1920x1080	h264	5951
1-48	239.69.1.48:9930	无效			6152
1-49	239.69.1.49:9936	无效			5633
1-50	239.69.1.50:9942	无效			5641
1-51	239.69.1.51:9948	无效			6669
1-52	239.69.1.52:9954	无效			6663
1-53	239.69.1.53:9960	无效			5630
1-54	239.69.1.54:9966	无效			5638
1-55	239.69.1.55:9972	无效			6661
1-56	239.69.1.56:9978	无效			5643
1-57	239.69.1.57:9984	无效			5899
1-58	239.69.1.58:9990	无效			5630
1-59	239.69.1.59:9996	无效			6151
1-61	239.69.1.61:10008	无效			5629
1-62	239.69.1.62:10014	无效			5638
1-63	239.69.1.63:10020	无效			5637
1-64	239.69.1.64:10026	无效			7692
1-66	239.69.1.66:10038	无效			5634
1-67	239.69.1.67:10044	无效			5643
1-72	239.69.1.72:10072	无效			5637
1-73	239.69.1.73:10078	无效			5635
1-75	239.69.1.75:10090	无效			5639
1-76	239.69.1.76:10096	无效			6409
1-77	239.69.1.77:10102	无效			5629
1-78	239.69.1.78:10108	无效			6670
1-80	239.69.1.80:10120	无效			6666
1-82	239.69.1.82:10132	无效			5634
1-88	239.69.1.88:10168	无效			5638
1-92	239.69.1.92:10194	无效			5884
1-93	239.69.1.93:10200	无效			6405
1-94	239.69.1.94:10206	无效			6663
1-95	239.69.1.95:10212	无效			5644
1-96	239.69.1.96:10218	无效			5637
1-97	239.69.1.97:10224	无效			5633
1-99	239.69.1.99:10236	无效			5642
1-100	239.69.1.100:10242	无效			5634
1-101	239.69.1.101:10248	无效			5634
1-111	239.69.1.111:10304	有效	3840x2160	h264	7253
1-112	239.69.1.112:10310	无效			5636
1-113	239.69.1.113:10316	无效			5644
1-114	239.69.1.114:10322	无效			6408
1-115	239.69.1.115:10328	无效			5632
1-116	239.69.1.116:10334	无效			6663
1-117	239.69.1.117:10340	无效			6669
1-118	239.69.1.118:10346	无效			5634
1-119	239.69.1.119:10352	无效			5639
1-120	239.69.1.120:10358	无效			5633
1-121	239.69.1.121:10364	无效			7169
1-128	239.69.1.128:10406	无效			5634
1-129	239.69.1.129:10412	无效			6406
1-130	239.69.1.130:10418	无效			6415
1-131	239.69.1.131:10424	无效			5634
1-132	239.69.1.132:10430	无效			5634
1-133	239.69.1.133:10436	无效			6662
1-134	239.69.1.134:10442	无效			5636
1-135	239.69.1.135:10448	无效			5641
1-136	239.69.1.136:10454	无效			5633
1-137	239.69.1.137:10460	无效			6921
1-139	239.69.1.139:10476	无效			5643
1-140	239.69.1.140:10482	无效			5636
1-148	239.69.1.148:10524	无效			6657
1-158	239.69.1.158:10584	无效			5645
1-159	239.69.1.159:10590	无效			6661
1-160	239.69.1.160:10596	无效			5630
1-161	239.69.1.161:10602	无效			5641
1-162	239.69.1.162:10608	无效			5890
1-163	239.69.1.163:10614	无效			5891
1-164	239.69.1.164:10620	无效			5639
1-165	239.69.1.165:10626	无效			5634
1-166	239.69.1.166:10632	无效			5633
1-167	239.69.1.167:10638	无效			5649
1-172	239.69.1.172:10668	无效			5635
1-176	239.69.1.176:10692	无效			5629
1-177	239.69.1.177:10698	无效			5643
1-178	239.69.1.178:10704	无效			5635
1-179	239.69.1.179:10710	无效			6665
1-180	239.69.1.180:10716	无效			5635
1-181	239.69.1.181:10722	无效			6403
1-182	239.69.1.182:10728	无效			5638
1-184	239.69.1.184:10746	无效			6662
1-185	239.69.1.185:10752	无效			5642
1-186	239.69.1.186:10758	无效			6403
1-188	239.69.1.188:10770	无效			5643
1-190	239.69.1.190:10782	无效			5880
1-194	239.69.1.194:10806	无效			5644
1-195	239.69.1.195:10812	无效			5630
1-196	239.69.1.196:10818	无效			6927
1-197	239.69.1.197:10824	无效			5640
1-198	239.69.1.198:10830	无效			5627
