# 补充IP列表 - 原文件: 湖北联通.txt
# 生成时间: 2026-05-28 17:17:03
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 228.0.0.x =====
# 已有IP: 101 个, 缺失IP: 153 个
# 规律: 多段线性
#   D∈[1,127] → 0×D+6108
#   D∈[131,131] → -244.25×D+37127.75
#   D∈[133,136] → 1×D+5000
#   D∈[143,143] → 286.7142857142857×D+-33857.142857142855
#   D∈[144,198] → 1×D+7000
#   D∈[202,202] → -272.5×D+61153.0
#   D∈[203,249] → 0×D+6108

0-3,rtp://228.0.0.3:6108
0-4,rtp://228.0.0.4:6108
0-5,rtp://228.0.0.5:6108
0-6,rtp://228.0.0.6:6108
0-8,rtp://228.0.0.8:6108
0-11,rtp://228.0.0.11:6108
0-13,rtp://228.0.0.13:6108
0-18,rtp://228.0.0.18:6108
0-19,rtp://228.0.0.19:6108
0-20,rtp://228.0.0.20:6108
0-21,rtp://228.0.0.21:6108
0-22,rtp://228.0.0.22:6108
0-23,rtp://228.0.0.23:6108
0-24,rtp://228.0.0.24:6108
0-25,rtp://228.0.0.25:6108
0-26,rtp://228.0.0.26:6108
0-27,rtp://228.0.0.27:6108
0-28,rtp://228.0.0.28:6108
0-29,rtp://228.0.0.29:6108
0-32,rtp://228.0.0.32:6108
0-33,rtp://228.0.0.33:6108
0-34,rtp://228.0.0.34:6108
0-35,rtp://228.0.0.35:6108
0-36,rtp://228.0.0.36:6108
0-38,rtp://228.0.0.38:6108
0-39,rtp://228.0.0.39:6108
0-40,rtp://228.0.0.40:6108
0-41,rtp://228.0.0.41:6108
0-42,rtp://228.0.0.42:6108
0-43,rtp://228.0.0.43:6108
0-44,rtp://228.0.0.44:6108
0-46,rtp://228.0.0.46:6108
0-49,rtp://228.0.0.49:6108
0-50,rtp://228.0.0.50:6108
0-55,rtp://228.0.0.55:6108
0-69,rtp://228.0.0.69:6108
0-70,rtp://228.0.0.70:6108
0-71,rtp://228.0.0.71:6108
0-72,rtp://228.0.0.72:6108
0-74,rtp://228.0.0.74:6108
0-76,rtp://228.0.0.76:6108
0-77,rtp://228.0.0.77:6108
0-79,rtp://228.0.0.79:6108
0-80,rtp://228.0.0.80:6108
0-81,rtp://228.0.0.81:6108
0-82,rtp://228.0.0.82:6108
0-83,rtp://228.0.0.83:6108
0-84,rtp://228.0.0.84:6108
0-85,rtp://228.0.0.85:6108
0-87,rtp://228.0.0.87:6108
0-90,rtp://228.0.0.90:6108
0-91,rtp://228.0.0.91:6108
0-92,rtp://228.0.0.92:6108
0-93,rtp://228.0.0.93:6108
0-94,rtp://228.0.0.94:6108
0-95,rtp://228.0.0.95:6108
0-96,rtp://228.0.0.96:6108
