# 20260821_153548_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
0-3	228.0.0.3:6108	无效			5450
0-4	228.0.0.4:6108	无效			5051
0-5	228.0.0.5:6108	无效			5299
0-6	228.0.0.6:6108	无效			5057
0-8	228.0.0.8:6108	无效			5306
0-11	228.0.0.11:6108	无效			5048
0-13	228.0.0.13:6108	无效			5599
0-18	228.0.0.18:6108	无效			5066
0-19	228.0.0.19:6108	无效			5509
0-20	228.0.0.20:6108	无效			5057
0-21	228.0.0.21:6108	无效			5578
0-22	228.0.0.22:6108	无效			5064
0-23	228.0.0.23:6108	无效			5654
0-24	228.0.0.24:6108	无效			5081
0-25	228.0.0.25:6108	无效			5406
0-26	228.0.0.26:6108	无效			5050
0-27	228.0.0.27:6108	无效			5719
0-28	228.0.0.28:6108	无效			5144
0-29	228.0.0.29:6108	无效			5391
0-32	228.0.0.32:6108	无效			5056
0-33	228.0.0.33:6108	无效			5533
0-34	228.0.0.34:6108	无效			5059
0-35	228.0.0.35:6108	无效			5678
0-36	228.0.0.36:6108	无效			5122
0-38	228.0.0.38:6108	无效			5652
0-39	228.0.0.39:6108	无效			5083
0-40	228.0.0.40:6108	无效			5714
0-41	228.0.0.41:6108	无效			5147
0-42	228.0.0.42:6108	无效			5731
0-43	228.0.0.43:6108	无效			5113
0-44	228.0.0.44:6108	无效			5531
0-46	228.0.0.46:6108	无效			5056
0-49	228.0.0.49:6108	无效			5553
0-50	228.0.0.50:6108	无效			5059
0-55	228.0.0.55:6108	无效			5672
0-69	228.0.0.69:6108	无效			5129
0-70	228.0.0.70:6108	无效			5673
0-71	228.0.0.71:6108	无效			5139
0-72	228.0.0.72:6108	无效			5600
0-74	228.0.0.74:6108	无效			5059
0-76	228.0.0.76:6108	无效			5701
0-77	228.0.0.77:6108	无效			5145
0-79	228.0.0.79:6108	无效			5731
0-80	228.0.0.80:6108	无效			5195
0-81	228.0.0.81:6108	无效			5783
0-82	228.0.0.82:6108	无效			5121
0-83	228.0.0.83:6108	无效			5723
0-84	228.0.0.84:6108	无效			5126
0-85	228.0.0.85:6108	无效			5602
0-87	228.0.0.87:6108	无效			5108
0-90	228.0.0.90:6108	无效			5737
0-91	228.0.0.91:6108	无效			5180
0-92	228.0.0.92:6108	无效			5611
0-93	228.0.0.93:6108	无效			5113
0-94	228.0.0.94:6108	无效			5618
0-95	228.0.0.95:6108	无效			5118
0-96	228.0.0.96:6108	无效			5728
0-97	228.0.0.97:6108	无效			5250
0-98	228.0.0.98:6108	无效			5753
0-99	228.0.0.99:6108	无效			5246
0-100	228.0.0.100:6108	无效			935
0-101	228.0.0.101:6108	无效			304
0-102	228.0.0.102:6108	无效			1013
0-103	228.0.0.103:6108	无效			325
0-104	228.0.0.104:6108	无效			2022
0-105	228.0.0.105:6108	无效			325
0-106	228.0.0.106:6108	无效			1078
0-109	228.0.0.109:6108	无效			429
0-113	228.0.0.113:6108	无效			1051
0-114	228.0.0.114:6108	无效			317
0-115	228.0.0.115:6108	无效			1028
0-116	228.0.0.116:6108	无效			366
0-117	228.0.0.117:6108	无效			1006
0-118	228.0.0.118:6108	无效			307
0-119	228.0.0.119:6108	无效			1046
0-128	228.0.0.128:6108	无效			423
0-129	228.0.0.129:6108	无效			2064
0-130	228.0.0.130:6108	无效			325
0-132	228.0.0.132:6108	无效			1011
0-137	228.0.0.137:6108	无效			318
0-138	228.0.0.138:6108	无效			5772
0-139	228.0.0.139:6108	无效			5334
0-140	228.0.0.140:6108	无效			5790
0-141	228.0.0.141:6108	无效			5279
0-142	228.0.0.142:6108	无效			5716
0-148	228.0.0.148:7148	无效			5290
0-149	228.0.0.149:7149	无效			5706
0-150	228.0.0.150:7150	无效			5197
