# 20260823_154839_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
湖南卫视	239.1.0.104:1025	无效			5844
湖南卫视	239.76.246.100:1234	有效	3840x2160	hevc	7904
湖南卫视	239.76.246.101:1234	有效			0
湖南卫视	239.76.251.85:9000	无效			6404
湖南卫视	239.76.253.100:9000	有效	3840x2160	hevc	6585
湖南卫视	239.76.253.101:9000	有效	1920x1080	h264	7950
湖南卫视4K	239.69.1.13:9718	无效			5618
湖南卫视4K	239.69.1.27:9802	无效			5642
湖南卫视4K	239.69.2.34:11358	无效			5625
湖南卫视4K	239.76.246.63:1234	有效			0
湖南卫视4K	239.76.253.224:9000	有效			0
湖南卫视4K	239.76.253.62:9000	有效			0
湖南卫视4K	239.76.254.136:9000	无效			7422
湖南卫视FHD	239.76.245.115:1234	有效	1920x1080	h264	5633
湖南卫视FHD	239.76.252.115:9000	有效	1920x1080	h264	5863
湖南卫视HD	239.254.96.139:8908	无效			5632
湖南卫视SD	239.254.96.15:8064	无效			5642
湖南[1920*1080]	239.1.0.180:1025	无效			6392
湖南公共	239.1.0.113:1025	无效			5639
湖南公共	239.1.0.238:1025	无效			5622
湖南公共FHD	239.76.245.123:1234	有效	1920x1080	h264	7865
湖南公共FHD	239.76.252.123:9000	有效			0
湖南公共频道	239.76.246.109:1234	有效	1920x1080	h264	8410
湖南公共频道	239.76.253.109:9000	有效			0
湖南国际	239.1.0.114:1025	无效			8199
湖南国际	239.1.0.249:1025	无效			6642
湖南国际FHD	239.76.245.124:1234	有效	1920x1080	h264	8708
湖南国际FHD	239.76.252.124:9000	有效			0
湖南国际频道	239.76.246.102:1234	有效			0
湖南国际频道	239.76.252.240:9000	有效	1920x1080	h264	9885
湖南国际频道	239.76.253.102:9000	有效	1920x1080	h264	6359
湖南娱乐	239.1.0.109:1025	无效			5629
湖南娱乐	239.1.0.236:1025	无效			5638
湖南娱乐FHD	239.76.245.121:1234	有效	1920x1080	h264	8208
湖南娱乐FHD	239.76.252.121:9000	有效	1920x1080	h264	7555
湖南娱乐频道	239.76.246.105:1234	有效			0
湖南娱乐频道	239.76.253.105:9000	有效			0
湖南教育	239.1.0.201:1025	无效			5633
湖南教育台	239.76.245.233:1234	有效	1920x1080	h264	8784
湖南教育台	239.76.252.233:9000	有效	1920x1080	h264	6762
湖南电影	239.1.0.107:1025	无效			5630
湖南电影	239.1.0.234:1025	无效			6407
湖南电影FHD	239.76.245.119:1234	有效			0
湖南电影FHD	239.76.252.119:9000	有效			0
湖南电影频道	239.76.246.106:1234	有效			0
湖南电影频道	239.76.253.106:9000	有效	1920x1080	h264	8025
湖南电视剧	239.1.0.106:1025	无效			5620
湖南电视剧	239.1.0.233:1025	无效			5641
湖南电视剧FHD	239.76.245.118:1234	有效		h264	2105
湖南电视剧FHD	239.76.252.118:9000	有效	1920x1080	h264	2801
湖南电视剧频道	239.76.246.108:1234	有效			0
湖南电视剧频道	239.76.253.108:9000	有效			0
湖南经视	239.1.0.227:1025	无效			5633
