# 补充IP列表 - 原文件: 湖南电信.txt
# 生成时间: 2026-05-28 17:16:21
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.1.0.x =====
# 已有IP: 141 个, 缺失IP: 113 个
# 规律: 固定端口 1025

0-1,rtp://239.1.0.1:1025
0-2,rtp://239.1.0.2:1025
0-3,rtp://239.1.0.3:1025
0-4,rtp://239.1.0.4:1025
0-5,rtp://239.1.0.5:1025
0-6,rtp://239.1.0.6:1025
0-7,rtp://239.1.0.7:1025
0-8,rtp://239.1.0.8:1025
0-9,rtp://239.1.0.9:1025
0-10,rtp://239.1.0.10:1025
0-11,rtp://239.1.0.11:1025
0-12,rtp://239.1.0.12:1025
0-13,rtp://239.1.0.13:1025
0-14,rtp://239.1.0.14:1025
0-15,rtp://239.1.0.15:1025
0-16,rtp://239.1.0.16:1025
0-17,rtp://239.1.0.17:1025
0-18,rtp://239.1.0.18:1025
0-19,rtp://239.1.0.19:1025
0-20,rtp://239.1.0.20:1025
0-21,rtp://239.1.0.21:1025
0-22,rtp://239.1.0.22:1025
0-23,rtp://239.1.0.23:1025
0-24,rtp://239.1.0.24:1025
0-25,rtp://239.1.0.25:1025
0-26,rtp://239.1.0.26:1025
0-27,rtp://239.1.0.27:1025
0-28,rtp://239.1.0.28:1025
0-29,rtp://239.1.0.29:1025
0-30,rtp://239.1.0.30:1025
0-31,rtp://239.1.0.31:1025
0-32,rtp://239.1.0.32:1025
0-33,rtp://239.1.0.33:1025
0-34,rtp://239.1.0.34:1025
0-35,rtp://239.1.0.35:1025
0-36,rtp://239.1.0.36:1025
0-37,rtp://239.1.0.37:1025
0-38,rtp://239.1.0.38:1025
0-39,rtp://239.1.0.39:1025
0-40,rtp://239.1.0.40:1025
0-41,rtp://239.1.0.41:1025
0-42,rtp://239.1.0.42:1025
0-43,rtp://239.1.0.43:1025
0-44,rtp://239.1.0.44:1025
0-45,rtp://239.1.0.45:1025
0-46,rtp://239.1.0.46:1025
0-47,rtp://239.1.0.47:1025
0-48,rtp://239.1.0.48:1025
0-49,rtp://239.1.0.49:1025
0-50,rtp://239.1.0.50:1025
0-51,rtp://239.1.0.51:1025
0-52,rtp://239.1.0.52:1025
0-53,rtp://239.1.0.53:1025
0-54,rtp://239.1.0.54:1025
0-55,rtp://239.1.0.55:1025
0-56,rtp://239.1.0.56:1025
0-57,rtp://239.1.0.57:1025
0-58,rtp://239.1.0.58:1025
0-59,rtp://239.1.0.59:1025
0-60,rtp://239.1.0.60:1025
0-61,rtp://239.1.0.61:1025
0-62,rtp://239.1.0.62:1025
0-63,rtp://239.1.0.63:1025
0-64,rtp://239.1.0.64:1025
0-65,rtp://239.1.0.65:1025
0-66,rtp://239.1.0.66:1025
0-67,rtp://239.1.0.67:1025
0-68,rtp://239.1.0.68:1025
0-69,rtp://239.1.0.69:1025
0-70,rtp://239.1.0.70:1025
0-71,rtp://239.1.0.71:1025
0-72,rtp://239.1.0.72:1025
0-73,rtp://239.1.0.73:1025
0-74,rtp://239.1.0.74:1025
0-75,rtp://239.1.0.75:1025
0-76,rtp://239.1.0.76:1025
0-77,rtp://239.1.0.77:1025
0-78,rtp://239.1.0.78:1025
0-79,rtp://239.1.0.79:1025
0-80,rtp://239.1.0.80:1025
0-81,rtp://239.1.0.81:1025
0-82,rtp://239.1.0.82:1025
0-83,rtp://239.1.0.83:1025
0-84,rtp://239.1.0.84:1025
0-85,rtp://239.1.0.85:1025
0-86,rtp://239.1.0.86:1025
0-87,rtp://239.1.0.87:1025
0-88,rtp://239.1.0.88:1025
0-89,rtp://239.1.0.89:1025
0-90,rtp://239.1.0.90:1025
0-91,rtp://239.1.0.91:1025
0-92,rtp://239.1.0.92:1025
0-93,rtp://239.1.0.93:1025
0-94,rtp://239.1.0.94:1025
0-95,rtp://239.1.0.95:1025
0-96,rtp://239.1.0.96:1025
0-97,rtp://239.1.0.97:1025
0-98,rtp://239.1.0.98:1025
0-99,rtp://239.1.0.99:1025
0-100,rtp://239.1.0.100:1025
0-102,rtp://239.1.0.102:1025
0-103,rtp://239.1.0.103:1025
0-116,rtp://239.1.0.116:1025
0-142,rtp://239.1.0.142:1025
0-143,rtp://239.1.0.143:1025
0-178,rtp://239.1.0.178:1025
0-179,rtp://239.1.0.179:1025
0-194,rtp://239.1.0.194:1025
0-250,rtp://239.1.0.250:1025
0-251,rtp://239.1.0.251:1025
0-252,rtp://239.1.0.252:1025
0-253,rtp://239.1.0.253:1025
0-254,rtp://239.1.0.254:1025

# ===== 网段: 239.69.1.x =====
# 已有IP: 97 个, 缺失IP: 157 个
# 规律: 多段线性
#   D∈[2,47] → 6×D+9640
#   D∈[60,60] → 5.538461538461538×D+9661.692307692309
#   D∈[68,68] → 6.75×D+9589.0
#   D∈[69,91] → 6×D+9640
#   D∈[98,98] → 5.428571428571429×D+9692.0
#   D∈[102,102] → 6.5×D+9587.0
#   D∈[103,138] → 6×D+9638
#   D∈[142,142] → 5.5×D+9707.0
#   D∈[143,183] → 6×D+9636
#   D∈[187,187] → 7.5×D+9361.5
#   D∈[189,251] → 6×D+9642

1-1,rtp://239.69.1.1:9646
1-3,rtp://239.69.1.3:9658
1-5,rtp://239.69.1.5:9670
1-6,rtp://239.69.1.6:9676
1-7,rtp://239.69.1.7:9682
1-8,rtp://239.69.1.8:9688
1-9,rtp://239.69.1.9:9694
1-10,rtp://239.69.1.10:9700
1-11,rtp://239.69.1.11:9706
1-14,rtp://239.69.1.14:9724
1-15,rtp://239.69.1.15:9730
