# 20260609_182111_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
0-1	239.1.0.1:1025	无效			5784
0-2	239.1.0.2:1025	无效			5635
0-3	239.1.0.3:1025	无效			5624
0-4	239.1.0.4:1025	无效			5626
0-5	239.1.0.5:1025	无效			5632
0-6	239.1.0.6:1025	无效			5631
0-7	239.1.0.7:1025	无效			5641
0-8	239.1.0.8:1025	无效			5631
0-9	239.1.0.9:1025	无效			5622
0-10	239.1.0.10:1025	无效			5632
0-11	239.1.0.11:1025	无效			5632
0-12	239.1.0.12:1025	无效			5640
0-13	239.1.0.13:1025	无效			5622
0-14	239.1.0.14:1025	无效			5641
0-15	239.1.0.15:1025	无效			5632
0-16	239.1.0.16:1025	无效			5633
0-17	239.1.0.17:1025	无效			5630
0-18	239.1.0.18:1025	无效			5622
0-19	239.1.0.19:1025	无效			5634
0-20	239.1.0.20:1025	无效			5643
0-21	239.1.0.21:1025	无效			5627
0-22	239.1.0.22:1025	无效			5633
0-23	239.1.0.23:1025	无效			5635
0-24	239.1.0.24:1025	无效			5623
0-25	239.1.0.25:1025	无效			5637
0-26	239.1.0.26:1025	无效			5621
0-27	239.1.0.27:1025	无效			5641
0-28	239.1.0.28:1025	无效			5623
0-29	239.1.0.29:1025	无效			5639
0-30	239.1.0.30:1025	无效			5623
0-31	239.1.0.31:1025	无效			5640
0-32	239.1.0.32:1025	无效			5634
0-33	239.1.0.33:1025	无效			5621
0-34	239.1.0.34:1025	无效			5631
0-35	239.1.0.35:1025	无效			5641
0-36	239.1.0.36:1025	无效			5629
0-37	239.1.0.37:1025	无效			5624
0-38	239.1.0.38:1025	无效			5632
0-39	239.1.0.39:1025	无效			5631
0-40	239.1.0.40:1025	无效			5642
0-41	239.1.0.41:1025	无效			5630
0-42	239.1.0.42:1025	无效			5631
0-43	239.1.0.43:1025	无效			5638
0-44	239.1.0.44:1025	无效			5621
0-45	239.1.0.45:1025	无效			5628
0-46	239.1.0.46:1025	无效			5635
0-47	239.1.0.47:1025	无效			5636
0-48	239.1.0.48:1025	无效			5633
0-49	239.1.0.49:1025	无效			5631
0-50	239.1.0.50:1025	无效			5624
0-51	239.1.0.51:1025	无效			5634
0-52	239.1.0.52:1025	无效			5629
0-53	239.1.0.53:1025	无效			5641
0-54	239.1.0.54:1025	无效			5627
0-55	239.1.0.55:1025	无效			5632
0-56	239.1.0.56:1025	无效			5628
0-57	239.1.0.57:1025	无效			5640
0-58	239.1.0.58:1025	无效			5620
0-59	239.1.0.59:1025	无效			5633
0-60	239.1.0.60:1025	无效			5631
0-61	239.1.0.61:1025	无效			5633
0-62	239.1.0.62:1025	无效			5631
0-63	239.1.0.63:1025	无效			5632
0-64	239.1.0.64:1025	无效			5632
0-65	239.1.0.65:1025	无效			5636
0-66	239.1.0.66:1025	无效			5635
0-67	239.1.0.67:1025	无效			5632
0-68	239.1.0.68:1025	无效			5621
0-69	239.1.0.69:1025	无效			5641
0-70	239.1.0.70:1025	无效			5632
0-71	239.1.0.71:1025	无效			5635
0-72	239.1.0.72:1025	无效			5629
0-73	239.1.0.73:1025	无效			5636
0-74	239.1.0.74:1025	无效			5626
0-75	239.1.0.75:1025	无效			5632
0-76	239.1.0.76:1025	无效			5622
0-77	239.1.0.77:1025	无效			5640
0-78	239.1.0.78:1025	无效			6036
0-79	239.1.0.79:1025	无效			5643
0-80	239.1.0.80:1025	无效			5614
0-81	239.1.0.81:1025	无效			5636
0-82	239.1.0.82:1025	无效			5643
0-83	239.1.0.83:1025	无效			5617
0-84	239.1.0.84:1025	无效			5644
0-85	239.1.0.85:1025	无效			5619
0-86	239.1.0.86:1025	无效			5663
0-87	239.1.0.87:1025	无效			5601
0-88	239.1.0.88:1025	无效			5630
0-89	239.1.0.89:1025	无效			5644
0-90	239.1.0.90:1025	无效			5630
0-91	239.1.0.91:1025	无效			5623
0-92	239.1.0.92:1025	无效			5631
0-93	239.1.0.93:1025	无效			5642
0-94	239.1.0.94:1025	无效			5623
0-95	239.1.0.95:1025	无效			5630
0-96	239.1.0.96:1025	无效			5632
0-97	239.1.0.97:1025	无效			5641
0-98	239.1.0.98:1025	无效			5630
0-99	239.1.0.99:1025	无效			5623
0-100	239.1.0.100:1025	无效			5642
0-102	239.1.0.102:1025	无效			5633
0-103	239.1.0.103:1025	无效			5631
0-116	239.1.0.116:1025	无效			5621
0-142	239.1.0.142:1025	无效			5645
0-143	239.1.0.143:1025	无效			5627
0-178	239.1.0.178:1025	无效			5624
0-179	239.1.0.179:1025	无效			5632
0-194	239.1.0.194:1025	无效			5635
0-250	239.1.0.250:1025	无效			5637
0-251	239.1.0.251:1025	无效			5632
0-252	239.1.0.252:1025	无效			5630
0-253	239.1.0.253:1025	无效			5625
0-254	239.1.0.254:1025	无效			5629
1-1	239.69.1.1:9646	无效			5643
1-3	239.69.1.3:9658	无效			5621
1-5	239.69.1.5:9670	无效			5631
1-6	239.69.1.6:9676	无效			5631
1-7	239.69.1.7:9682	无效			5636
1-8	239.69.1.8:9688	无效			5630
1-9	239.69.1.9:9694	无效			5639
1-10	239.69.1.10:9700	无效			5626
1-11	239.69.1.11:9706	无效			5643
1-14	239.69.1.14:9724	无效			5628
1-15	239.69.1.15:9730	无效			5621
1-16	239.69.1.16:9736	无效			5631
1-17	239.69.1.17:9742	无效			5642
1-18	239.69.1.18:9748	无效			5622
1-19	239.69.1.19:9754	无效			5641
1-20	239.69.1.20:9760	无效			5630
1-21	239.69.1.21:9766	无效			5640
1-22	239.69.1.22:9772	无效			5619
1-23	239.69.1.23:9778	无效			5643
1-29	239.69.1.29:9814	无效			5626
1-30	239.69.1.30:9820	无效			5633
1-31	239.69.1.31:9826	无效			5630
1-32	239.69.1.32:9832	无效			5632
1-35	239.69.1.35:9850	无效			5630
1-36	239.69.1.36:9856	无效			5623
1-37	239.69.1.37:9862	无效			5651
1-38	239.69.1.38:9868	无效			5625
1-39	239.69.1.39:9874	无效			5620
1-44	239.69.1.44:9904	无效			5639
1-45	239.69.1.45:9910	无效			5623
1-48	239.69.1.48:9930	无效			5631
1-49	239.69.1.49:9936	无效			5631
1-50	239.69.1.50:9942	无效			5632
1-51	239.69.1.51:9948	无效			5641
1-52	239.69.1.52:9954	无效			5627
1-53	239.69.1.53:9960	无效			5642
1-54	239.69.1.54:9966	无效			5619
1-55	239.69.1.55:9972	无效			5628
1-56	239.69.1.56:9978	无效			5634
1-57	239.69.1.57:9984	无效			5630
1-58	239.69.1.58:9990	无效			5643
1-59	239.69.1.59:9996	无效			6036
1-61	239.69.1.61:10008	无效			5643
1-62	239.69.1.62:10014	无效			5614
1-63	239.69.1.63:10020	无效			5647
1-64	239.69.1.64:10026	无效			5618
1-65	239.69.1.65:10032	无效			5644
1-66	239.69.1.66:10038	无效			5628
1-67	239.69.1.67:10044	无效			5622
1-72	239.69.1.72:10072	无效			5656
1-73	239.69.1.73:10078	无效			5870
1-75	239.69.1.75:10090	无效			5624
1-76	239.69.1.76:10096	无效			5639
1-77	239.69.1.77:10102	无效			5624
1-78	239.69.1.78:10108	无效			5642
1-80	239.69.1.80:10120	无效			5629
1-82	239.69.1.82:10132	无效			5634
1-88	239.69.1.88:10168	无效			5623
1-92	239.69.1.92:10194	无效			5640
1-93	239.69.1.93:10200	无效			5620
1-94	239.69.1.94:10206	无效			5633
1-95	239.69.1.95:10212	无效			5631
1-96	239.69.1.96:10218	无效			5631
1-97	239.69.1.97:10224	无效			5632
1-99	239.69.1.99:10236	无效			5642
1-100	239.69.1.100:10242	无效			5622
1-101	239.69.1.101:10248	无效			5631
1-112	239.69.1.112:10310	无效			5633
1-113	239.69.1.113:10316	无效			5629
1-114	239.69.1.114:10322	无效			5641
1-115	239.69.1.115:10328	无效			5623
1-116	239.69.1.116:10334	无效			5642
1-117	239.69.1.117:10340	无效			5632
1-118	239.69.1.118:10346	无效			5622
1-119	239.69.1.119:10352	无效			5639
1-120	239.69.1.120:10358	无效			5638
1-121	239.69.1.121:10364	无效			3509
1-128	239.69.1.128:10406	无效			5693
1-129	239.69.1.129:10412	无效			5629
1-130	239.69.1.130:10418	无效			5637
1-131	239.69.1.131:10424	无效			5626
1-132	239.69.1.132:10430	无效			5641
1-133	239.69.1.133:10436	无效			5631
1-134	239.69.1.134:10442	无效			5638
1-135	239.69.1.135:10448	无效			5625
1-136	239.69.1.136:10454	无效			5634
1-137	239.69.1.137:10460	无效			5621
1-139	239.69.1.139:10476	无效			5632
1-140	239.69.1.140:10482	无效			5631
1-141	239.69.1.141:10488	无效			5633
1-148	239.69.1.148:10524	无效			5631
1-158	239.69.1.158:10584	无效			5642
1-159	239.69.1.159:10590	无效			5631
1-160	239.69.1.160:10596	无效			5622
1-161	239.69.1.161:10602	无效			5631
1-162	239.69.1.162:10608	无效			5637
1-163	239.69.1.163:10614	无效			5642
1-164	239.69.1.164:10620	无效			5622
1-165	239.69.1.165:10626	无效			5637
1-166	239.69.1.166:10632	无效			5632
1-167	239.69.1.167:10638	无效			5631
1-170	239.69.1.170:10656	无效			5622
1-172	239.69.1.172:10668	无效			5639
1-173	239.69.1.173:10674	无效			5634
1-174	239.69.1.174:10680	无效			5628
1-176	239.69.1.176:10692	无效			5625
1-177	239.69.1.177:10698	无效			5639
1-178	239.69.1.178:10704	无效			5634
1-179	239.69.1.179:10710	无效			5630
1-180	239.69.1.180:10716	无效			5625
1-181	239.69.1.181:10722	无效			5629
1-182	239.69.1.182:10728	无效			5637
1-184	239.69.1.184:10746	无效			5627
1-185	239.69.1.185:10752	无效			5632
1-186	239.69.1.186:10758	无效			5636
1-188	239.69.1.188:10770	无效			5637
1-190	239.69.1.190:10782	无效			5632
1-194	239.69.1.194:10806	无效			5623
1-195	239.69.1.195:10812	无效			6045
1-196	239.69.1.196:10818	无效			5621
1-197	239.69.1.197:10824	无效			5642
1-198	239.69.1.198:10830	无效			5633
1-199	239.69.1.199:10836	无效			5625
1-200	239.69.1.200:10842	无效			5637
1-201	239.69.1.201:10848	无效			5619
1-202	239.69.1.202:10854	无效			5631
1-203	239.69.1.203:10860	无效			5661
1-207	239.69.1.207:10884	无效			5859
1-208	239.69.1.208:10890	无效			5641
1-209	239.69.1.209:10896	无效			5632
1-210	239.69.1.210:10902	无效			5622
1-211	239.69.1.211:10908	无效			5631
1-213	239.69.1.213:10920	无效			5632
1-214	239.69.1.214:10926	无效			5631
1-215	239.69.1.215:10932	无效			5649
1-216	239.69.1.216:10938	无效			5615
1-217	239.69.1.217:10944	无效			5640
1-218	239.69.1.218:10950	无效			5632
1-219	239.69.1.219:10956	无效			5633
1-220	239.69.1.220:10962	无效			5630
1-223	239.69.1.223:10980	无效			5632
1-224	239.69.1.224:10986	无效			5633
1-225	239.69.1.225:10992	无效			5630
1-226	239.69.1.226:10998	无效			5632
1-227	239.69.1.227:11004	无效			5623
1-229	239.69.1.229:11016	无效			5639
1-230	239.69.1.230:11022	无效			5623
1-236	239.69.1.236:11058	无效			5642
1-237	239.69.1.237:11064	无效			5631
1-238	239.69.1.238:11070	无效			5630
1-239	239.69.1.239:11076	无效			5622
1-240	239.69.1.240:11082	无效			5632
1-246	239.69.1.246:11118	无效			5631
1-250	239.69.1.250:11142	无效			5631
1-252	239.69.1.252:11154	无效			5631
1-253	239.69.1.253:11160	无效			5632
1-254	239.69.1.254:11166	无效			5633
2-1	239.69.2.1:11160	无效			5631
2-2	239.69.2.2:11166	无效			5645
2-7	239.69.2.7:11196	无效			5619
2-14	239.69.2.14:11238	无效			5642
2-15	239.69.2.15:11244	无效			5629
2-16	239.69.2.16:11250	无效			5631
2-21	239.69.2.21:11280	无效			5623
2-26	239.69.2.26:11310	无效			5630
2-40	239.69.2.40:11394	无效			5632
2-41	239.69.2.41:11400	无效			5640
2-42	239.69.2.42:11406	无效			5633
2-43	239.69.2.43:11412	无效			5621
2-44	239.69.2.44:11418	无效			5639
2-45	239.69.2.45:11424	无效			5634
2-46	239.69.2.46:11430	无效			5626
2-47	239.69.2.47:11436	无效			5636
2-48	239.69.2.48:11442	无效			5627
2-49	239.69.2.49:11448	无效			5634
2-50	239.69.2.50:11454	无效			5624
2-51	239.69.2.51:11460	无效			5632
2-52	239.69.2.52:11466	无效			5631
2-53	239.69.2.53:11472	无效			5636
2-54	239.69.2.54:11478	无效			5635
2-55	239.69.2.55:11484	无效			5634
2-56	239.69.2.56:11490	无效			5626
2-57	239.69.2.57:11496	无效			5637
2-58	239.69.2.58:11502	无效			5626
2-59	239.69.2.59:11508	无效			5628
2-60	239.69.2.60:11514	无效			5631
2-61	239.69.2.61:11520	无效			5639
2-62	239.69.2.62:11526	无效			5625
2-63	239.69.2.63:11532	无效			5630
2-64	239.69.2.64:11538	无效			5643
2-65	239.69.2.65:11544	无效			5625
2-66	239.69.2.66:11550	无效			5629
2-67	239.69.2.67:11556	无效			5630
2-68	239.69.2.68:11562	无效			5644
2-69	239.69.2.69:11568	无效			5631
2-70	239.69.2.70:11574	无效			6050
2-71	239.69.2.71:11580	无效			5617
2-72	239.69.2.72:11586	无效			5629
2-73	239.69.2.73:11592	无效			5629
2-74	239.69.2.74:11598	无效			5642
2-75	239.69.2.75:11604	无效			5637
2-76	239.69.2.76:11610	无效			5629
2-77	239.69.2.77:11616	无效			5630
2-78	239.69.2.78:11622	无效			5642
2-79	239.69.2.79:11628	无效			5610
2-80	239.69.2.80:11634	无效			5642
2-81	239.69.2.81:11640	无效			5623
2-82	239.69.2.82:11646	无效			5638
2-83	239.69.2.83:11652	无效			5623
2-84	239.69.2.84:11658	无效			5639
2-85	239.69.2.85:11664	无效			5623
2-86	239.69.2.86:11670	无效			5632
2-87	239.69.2.87:11676	无效			5630
2-88	239.69.2.88:11682	无效			5643
2-89	239.69.2.89:11688	无效			5623
2-90	239.69.2.90:11694	无效			5641
2-91	239.69.2.91:11700	无效			5621
2-92	239.69.2.92:11706	无效			5632
2-93	239.69.2.93:11712	无效			5644
2-94	239.69.2.94:11718	无效			5626
2-95	239.69.2.95:11724	无效			5624
2-96	239.69.2.96:11730	无效			5634
2-97	239.69.2.97:11736	无效			5628
2-98	239.69.2.98:11742	无效			5632
2-99	239.69.2.99:11748	无效			5632
2-100	239.69.2.100:11754	无效			5635
2-101	239.69.2.101:11760	无效			5636
