# 补充IP列表 - 原文件: 湖南移动.txt
# 生成时间: 2026-05-28 17:17:17
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.1.0.x =====
# 已有IP: 124 个, 缺失IP: 130 个
# 规律: 固定端口 1025

0-5,rtp://239.1.0.5:1025
0-6,rtp://239.1.0.6:1025
0-7,rtp://239.1.0.7:1025
0-8,rtp://239.1.0.8:1025
0-9,rtp://239.1.0.9:1025
0-10,rtp://239.1.0.10:1025
0-11,rtp://239.1.0.11:1025
0-13,rtp://239.1.0.13:1025
0-44,rtp://239.1.0.44:1025
0-45,rtp://239.1.0.45:1025
0-46,rtp://239.1.0.46:1025
0-47,rtp://239.1.0.47:1025
0-49,rtp://239.1.0.49:1025
0-50,rtp://239.1.0.50:1025
0-51,rtp://239.1.0.51:1025
0-52,rtp://239.1.0.52:1025
0-53,rtp://239.1.0.53:1025
0-54,rtp://239.1.0.54:1025
0-55,rtp://239.1.0.55:1025
0-56,rtp://239.1.0.56:1025
0-57,rtp://239.1.0.57:1025
0-58,rtp://239.1.0.58:1025
0-59,rtp://239.1.0.59:1025
0-60,rtp://239.1.0.60:1025
0-61,rtp://239.1.0.61:1025
0-63,rtp://239.1.0.63:1025
0-64,rtp://239.1.0.64:1025
0-66,rtp://239.1.0.66:1025
0-70,rtp://239.1.0.70:1025
0-71,rtp://239.1.0.71:1025
0-72,rtp://239.1.0.72:1025
0-74,rtp://239.1.0.74:1025
0-75,rtp://239.1.0.75:1025
0-79,rtp://239.1.0.79:1025
0-80,rtp://239.1.0.80:1025
0-81,rtp://239.1.0.81:1025
0-82,rtp://239.1.0.82:1025
0-88,rtp://239.1.0.88:1025
0-89,rtp://239.1.0.89:1025
0-90,rtp://239.1.0.90:1025
0-93,rtp://239.1.0.93:1025
0-95,rtp://239.1.0.95:1025
0-96,rtp://239.1.0.96:1025
0-97,rtp://239.1.0.97:1025
0-98,rtp://239.1.0.98:1025
0-99,rtp://239.1.0.99:1025
0-101,rtp://239.1.0.101:1025
0-102,rtp://239.1.0.102:1025
0-103,rtp://239.1.0.103:1025
0-116,rtp://239.1.0.116:1025
0-117,rtp://239.1.0.117:1025
0-118,rtp://239.1.0.118:1025
0-139,rtp://239.1.0.139:1025
