# 20260626_182702_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
甘肃卫视	239.255.30.249:8231	无效			5739
甘肃公共频道	239.255.30.251:8231	无效			5093
甘肃少儿频道	239.255.30.254:8231	无效			5070
甘肃文化影视	239.255.30.250:8231	无效			5381
甘肃科教频道	239.255.30.252:8231	无效			5064
甘肃经济频道	239.255.30.114:8231	无效			5071
甘肃经济频道	239.255.30.253:8231	无效			5599
CCTV-1	239.255.30.1:8231	无效			5065
CCTV1	239.255.30.101:8231	无效			5062
CCTV-2	239.255.30.2:8231	无效			5728
CCTV2	239.255.30.179:8231	无效			5071
CCTV3	239.255.29.12:8231	无效			5061
CCTV4	239.255.30.3:8231	无效			5503
CCTV4	239.255.30.83:8231	无效			5069
CCTV5	239.255.29.13:8231	无效			5062
CCTV5+	239.255.30.184:8231	无效			5555
CCTV6	239.255.29.14:8231	无效			5057
CCTV-7	239.255.30.4:8231	无效			5065
CCTV7	239.255.30.178:8231	无效			5666
CCTV8	239.255.29.15:8231	无效			5067
CCTV-9	239.255.30.74:8231	无效			5065
CCTV9	239.255.30.180:8231	无效			5471
CCTV10	239.255.30.10:8231	无效			5066
CCTV10	239.255.30.181:8231	无效			5064
CCTV-11	239.255.30.7:8231	无效			5761
CCTV11	239.255.30.62:8231	无效			5094
CCTV-12	239.255.30.8:8231	无效			5069
CCTV12	239.255.30.182:8231	无效			5830
CCTV-新闻	239.255.30.9:8231	无效			5151
CCTV13	239.255.29.28:8231	无效			5067
CCTV14	239.255.30.183:8231	无效			5780
CCTV15	239.255.30.68:8231	无效			5167
CCTV16	239.255.30.88:8231	无效			5064
CCTV17	239.255.30.96:8231	无效			5789
CETV1	239.255.30.90:8231	无效			5104
凤凰中文	239.255.30.50:8231	无效			5060
凤凰资讯	239.255.30.70:8231	无效			5833
凤凰香港	239.255.30.123:8231	无效			5412
湖南卫视	239.255.30.136:8231	无效			5066
浙江卫视	239.255.30.132:8231	无效			5748
江苏卫视	239.255.30.131:8231	无效			5154
北京卫视	239.255.30.133:8231	无效			5061
东方卫视	239.255.30.130:8231	无效			5803
安徽卫视	239.255.30.84:8231	无效			5356
广东卫视	239.255.30.134:8231	无效			5075
深圳卫视	239.255.30.135:8231	无效			5869
辽宁卫视	239.255.30.69:8231	无效			5514
山东卫视	239.255.30.139:8231	无效			5066
天津卫视	239.255.30.67:8231	无效			5710
重庆卫视	239.255.30.89:8231	无效			5086
东南卫视	239.255.30.86:8231	无效			5069
河北卫视	239.255.30.85:8231	无效			5759
河南卫视	239.255.29.3:8231	无效			5215
湖北卫视	239.255.30.138:8231	无效			5067
四川卫视	239.255.30.91:8231	无效			5888
海南卫视	239.255.30.99:8231	无效			5554
广西卫视	239.255.29.4:8231	无效			5086
贵州卫视	239.255.30.98:8231	无效			5753
黑龙江卫视	239.255.30.137:8231	无效			5227
江西卫视	239.255.30.71:8231	无效			5072
吉林卫视	239.255.29.5:8231	无效			5885
云南卫视	239.255.29.2:8231	无效			5572
三沙卫视	239.255.29.46:8231	无效			5309
卡酷少儿	239.255.29.38:8231	无效			5848
快乐垂钓	239.255.29.26:8231	无效			5354
茶频道	239.255.29.44:8231	无效			5064
金鹰纪实	239.255.29.39:8231	无效			5775
东方财经	239.255.29.43:8231	无效			5174
法治天地	239.255.29.24:8231	无效			5079
生活时尚	239.255.29.18:8231	无效			5800
都市剧场	239.255.29.41:8231	无效			5434
动漫秀场	239.255.29.16:8231	无效			5065
欢笑剧场	239.255.29.19:8231	无效			5898
金色学堂	239.255.29.23:8231	无效			5569
魅力足球	239.255.30.147:8231	无效			5383
哈哈炫动	239.255.29.37:8231	无效			5836
上海乐游频道	239.255.29.17:8231	无效			5261
上海欢笑剧场4K	239.255.29.7:8231	无效			5064
上海都市频道	239.255.29.22:8231	无效			5920
嘉峪关公共	239.255.29.35:8231	无效			5480
嘉峪关综合	239.255.29.36:8231	无效			5101
酒泉公共	239.255.30.142:8231	无效			5895
酒泉综合	239.255.30.140:8231	无效			5592
临夏文旅频道	239.255.30.108:8231	无效			5401
临夏新闻综合	239.255.30.107:8231	无效			5850
临夏经济	239.255.30.106:8231	无效			5550
青海油田	239.255.30.227:8231	无效			5102
102号	239.255.30.102:8231	无效			5794
110号	239.255.30.110:8231	无效			5495
111号	239.255.30.111:8231	无效			5083
112号	239.255.30.112:8231	无效			5932
113号	239.255.30.113:8231	无效			5596
11号	239.255.30.11:8231	无效			5432
126号	239.255.30.126:8231	无效			5914
127号	239.255.30.127:8231	无效			5615
12号	239.255.30.12:8231	无效			5429
13号	239.255.30.13:8231	无效			5805
145号	239.255.30.145:8231	无效			5519
146号	239.255.30.146:8231	无效			5081
148号	239.255.30.148:8231	无效			5905
14号	239.255.30.14:8231	无效			5539
152号	239.255.30.152:8231	无效			5349
153号	239.255.30.153:8231	无效			5873
15号	239.255.30.15:8231	无效			5563
169号	239.255.30.169:8231	无效			5365
16号	239.255.30.16:8231	无效			5888
170号	239.255.30.170:8231	无效			5558
171号	239.255.30.171:8231	无效			5326
172号	239.255.30.172:8231	无效			5860
173号	239.255.30.173:8231	无效			5477
177号	239.255.30.177:8231	无效			5092
17号	239.255.30.17:8231	无效			5860
18号	239.255.30.18:8231	无效			5601
19号	239.255.30.19:8231	无效			5453
200号	239.255.30.200:8231	无效			5960
201号	239.255.30.201:8231	无效			5542
20号	239.255.29.20:8231	无效			5412
20号	239.255.30.20:8231	无效			5873
21号	239.255.30.21:8231	无效			5520
22号	239.255.30.22:8231	无效			5358
239号	239.255.30.239:8231	无效			1095
23号	239.255.30.23:8231	无效			346
240号	239.255.30.240:8231	无效			326
241号	239.255.30.241:8231	无效			1105
242号	239.255.30.242:8231	无效			327
243号	239.255.30.243:8231	无效			311
244号	239.255.30.244:8231	无效			1056
245号	239.255.30.245:8231	无效			307
246号	239.255.30.246:8231	无效			297
247号	239.255.30.247:8231	无效			1066
248号	239.255.30.248:8231	无效			317
24号	239.255.30.24:8231	无效			299
25号	239.255.30.25:8231	无效			1033
26号	239.255.30.26:8231	无效			292
27号	239.255.29.27:8231	无效			292
27号	239.255.30.27:8231	无效			1110
28号	239.255.30.28:8231	无效			353
29号	239.255.30.29:8231	无效			317
30号	239.255.30.30:8231	无效			1100
31号	239.255.30.31:8231	无效			317
32号	239.255.30.32:8231	无效			320
33号	239.255.30.33:8231	无效			1080
34号	239.255.30.34:8231	无效			340
35号	239.255.30.35:8231	无效			321
36号	239.255.30.36:8231	无效			1000
37号	239.255.30.37:8231	无效			296
38号	239.255.30.38:8231	无效			297
39号	239.255.30.39:8231	无效			1066
40号	239.255.30.40:8231	无效			361
41号	239.255.30.41:8231	无效			311
42号	239.255.29.42:8231	无效			5837
42号	239.255.30.42:8231	无效			5591
43号	239.255.30.43:8231	无效			5432
44号	239.255.30.44:8231	无效			5829
45号	239.255.30.45:8231	无效			5617
46号	239.255.30.46:8231	无效			5412
47号	239.255.30.47:8231	无效			5793
48号	239.255.30.48:8231	无效			5551
49号	239.255.30.49:8231	无效			5422
4K	239.255.29.66:8231	无效			5865
4K	239.255.30.116:8231	无效			5588
4K	239.255.30.76:8231	无效			5364
53号	239.255.30.53:8231	无效			5855
54号	239.255.30.54:8231	无效			5565
55号	239.255.30.55:8231	无效			5410
56号	239.255.30.56:8231	无效			5855
5号	239.255.30.5:8231	无效			5481
60号	239.255.30.60:8231	无效			5458
61号	239.255.30.61:8231	无效			5867
64号	239.255.30.64:8231	无效			5510
65号	239.255.30.65:8231	无效			5441
6号	239.255.29.6:8231	无效			5833
6号	239.255.30.6:8231	无效			5504
79号	239.255.30.79:8231	无效			5444
95号	239.255.30.95:8231	无效			5830
BesTV健康	239.255.30.197:8231	无效			5560
BesTV全球大片	239.255.30.196:8231	无效			5415
BesTV动漫	239.255.30.150:8231	无效			5832
BesTV华语电影	239.255.30.193:8231	无效			5574
BesTV少儿	239.255.30.151:8231	无效			5375
BesTV戏曲精选	239.255.30.118:8231	无效			5839
BesTV文化	239.255.30.160:8231	无效			5477
BesTV星光影院	239.255.30.194:8231	无效			5399
BesTV电视剧	239.255.30.100:8231	无效			5824
BesTV看天下	239.255.30.217:8231	无效			5513
BesTV谍战剧场	239.255.30.166:8231	无效			5405
Bestv	239.255.30.167:8231	无效			5808
Bestv	239.255.30.168:8231	无效			5570
Bestv	239.255.30.198:8231	无效			5417
CCTV-16 4K	239.255.30.80:8231	无效			5828
IPTV5体育	239.255.30.115:8231	无效			5576
MAX极速汽车	239.255.30.149:8231	无效			5369
YZTV	239.255.30.175:8231	无效			5821
上视纪实	239.255.30.176:8231	无效			5500
中国交通频道	239.255.29.29:8231	无效			5444
五星体育	239.255.29.45:8231	无效			5755
体育	239.255.30.128:8231	无效			5563
导视	239.255.30.66:8231	无效			5433
敦煌综合	239.255.30.124:8231	无效			5781
新闻	239.255.30.93:8231	无效			5514
港剧风云	239.255.30.77:8231	无效			5448
爱体育	239.255.30.186:8231	无效			5796
爱大剧	239.255.30.188:8231	无效			5562
爱电影	239.255.30.187:8231	无效			5384
爱综艺	239.255.30.185:8231	无效			5748
玉门综合	239.255.30.192:8231	无效			5591
瓜州综合	239.255.30.195:8231	无效			5376
皋兰电视台	239.255.30.236:8231	无效			5797
矿区生活	239.255.30.58:8231	无效			5550
纪实频道	239.255.30.129:8231	无效			5408
羽毛球精品赛事	239.255.29.31:8231	无效			5786
肃北综合	239.255.30.222:8231	无效			5502
肃州一台	239.255.30.226:8231	无效			5440
股评汇	239.255.30.75:8231	无效			5741
足球频道	239.255.29.25:8231	无效			5583
酒钢电视	239.255.30.94:8231	无效			5365
金塔	239.255.30.224:8231	无效			5738
阿克塞综合	239.255.30.161:8231	无效			5494
陇尚生活	239.255.30.73:8231	无效			5466
