# 20260802_160815_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
29-1	239.255.29.1:8231	无效			5660
29-8	239.255.29.8:8231	无效			5066
29-9	239.255.29.9:8231	无效			5075
29-10	239.255.29.10:8231	无效			5730
29-11	239.255.29.11:8231	无效			5066
29-21	239.255.29.21:8231	无效			5070
29-30	239.255.29.30:8231	无效			5811
29-32	239.255.29.32:8231	无效			5064
29-33	239.255.29.33:8231	无效			5075
29-34	239.255.29.34:8231	无效			5807
29-40	239.255.29.40:8231	无效			5081
29-47	239.255.29.47:8231	无效			5082
29-48	239.255.29.48:8231	无效			5625
29-49	239.255.29.49:8231	无效			5068
29-50	239.255.29.50:8231	无效			5071
29-51	239.255.29.51:8231	无效			5840
29-52	239.255.29.52:8231	无效			5083
29-53	239.255.29.53:8231	无效			5080
29-54	239.255.29.54:8231	无效			5827
29-55	239.255.29.55:8231	无效			5069
29-56	239.255.29.56:8231	无效			5084
29-57	239.255.29.57:8231	无效			5880
29-58	239.255.29.58:8231	无效			5068
29-59	239.255.29.59:8231	无效			5076
29-60	239.255.29.60:8231	无效			5989
29-61	239.255.29.61:8231	无效			5073
29-62	239.255.29.62:8231	无效			5078
29-63	239.255.29.63:8231	无效			5852
29-64	239.255.29.64:8231	无效			5072
29-65	239.255.29.65:8231	无效			5079
29-67	239.255.29.67:8231	无效			1230
29-68	239.255.29.68:8231	无效			668
29-69	239.255.29.69:8231	无效			303
29-70	239.255.29.70:8231	无效			2210
29-71	239.255.29.71:8231	无效			301
29-72	239.255.29.72:8231	无效			284
29-73	239.255.29.73:8231	无效			1112
29-74	239.255.29.74:8231	无效			667
29-75	239.255.29.75:8231	无效			295
29-76	239.255.29.76:8231	无效			2160
29-77	239.255.29.77:8231	无效			1333
29-78	239.255.29.78:8231	无效			3375
29-79	239.255.29.79:8231	无效			1235
29-80	239.255.29.80:8231	无效			611
29-81	239.255.29.81:8231	无效			320
29-82	239.255.29.82:8231	无效			1192
29-83	239.255.29.83:8231	无效			1707
29-84	239.255.29.84:8231	无效			281
29-85	239.255.29.85:8231	无效			1265
29-86	239.255.29.86:8231	无效			663
29-87	239.255.29.87:8231	无效			293
29-88	239.255.29.88:8231	无效			1316
29-89	239.255.29.89:8231	无效			543
29-90	239.255.29.90:8231	无效			320
29-91	239.255.29.91:8231	无效			2201
29-92	239.255.29.92:8231	无效			275
29-93	239.255.29.93:8231	无效			280
29-94	239.255.29.94:8231	无效			1303
29-95	239.255.29.95:8231	无效			510
29-96	239.255.29.96:8231	无效			298
29-97	239.255.29.97:8231	无效			5975
29-98	239.255.29.98:8231	无效			5068
29-99	239.255.29.99:8231	无效			5075
29-100	239.255.29.100:8231	无效			6067
29-101	239.255.29.101:8231	无效			5112
29-102	239.255.29.102:8231	无效			5086
29-103	239.255.29.103:8231	无效			6110
29-104	239.255.29.104:8231	无效			5127
29-105	239.255.29.105:8231	无效			5117
29-106	239.255.29.106:8231	无效			6090
29-107	239.255.29.107:8231	无效			5160
29-108	239.255.29.108:8231	无效			5135
29-109	239.255.29.109:8231	无效			6104
29-110	239.255.29.110:8231	无效			5132
29-111	239.255.29.111:8231	无效			5095
29-112	239.255.29.112:8231	无效			6035
29-113	239.255.29.113:8231	无效			5091
29-114	239.255.29.114:8231	无效			5074
29-115	239.255.29.115:8231	无效			6083
29-116	239.255.29.116:8231	无效			5131
29-117	239.255.29.117:8231	无效			5089
29-118	239.255.29.118:8231	无效			6023
29-119	239.255.29.119:8231	无效			5116
29-120	239.255.29.120:8231	无效			5086
29-121	239.255.29.121:8231	无效			6033
29-122	239.255.29.122:8231	无效			5124
29-123	239.255.29.123:8231	无效			5076
29-124	239.255.29.124:8231	无效			6089
29-125	239.255.29.125:8231	无效			5115
29-126	239.255.29.126:8231	无效			5093
29-127	239.255.29.127:8231	无效			6121
29-128	239.255.29.128:8231	无效			5130
29-129	239.255.29.129:8231	无效			5096
29-130	239.255.29.130:8231	无效			6181
29-131	239.255.29.131:8231	无效			5120
29-132	239.255.29.132:8231	无效			5134
29-133	239.255.29.133:8231	无效			6191
29-134	239.255.29.134:8231	无效			5112
29-135	239.255.29.135:8231	无效			5104
29-136	239.255.29.136:8231	无效			6097
29-137	239.255.29.137:8231	无效			5141
29-138	239.255.29.138:8231	无效			5123
29-139	239.255.29.139:8231	无效			6328
29-140	239.255.29.140:8231	无效			5199
29-141	239.255.29.141:8231	无效			5072
29-142	239.255.29.142:8231	无效			6198
29-143	239.255.29.143:8231	无效			5101
29-144	239.255.29.144:8231	无效			5088
29-145	239.255.29.145:8231	无效			6421
29-146	239.255.29.146:8231	无效			5520
29-147	239.255.29.147:8231	无效			5446
29-148	239.255.29.148:8231	无效			6128
29-149	239.255.29.149:8231	无效			5125
29-150	239.255.29.150:8231	无效			5141
29-151	239.255.29.151:8231	无效			6452
29-152	239.255.29.152:8231	无效			5532
29-153	239.255.29.153:8231	无效			5478
29-154	239.255.29.154:8231	无效			6165
29-155	239.255.29.155:8231	无效			5092
29-156	239.255.29.156:8231	无效			5101
29-157	239.255.29.157:8231	无效			6372
29-158	239.255.29.158:8231	无效			5548
29-159	239.255.29.159:8231	无效			5465
29-160	239.255.29.160:8231	无效			6440
29-161	239.255.29.161:8231	无效			5558
29-162	239.255.29.162:8231	无效			5518
29-163	239.255.29.163:8231	无效			6284
29-164	239.255.29.164:8231	无效			5154
29-165	239.255.29.165:8231	无效			5073
29-166	239.255.29.166:8231	无效			6254
29-167	239.255.29.167:8231	无效			5176
29-168	239.255.29.168:8231	无效			5074
29-169	239.255.29.169:8231	无效			6397
29-170	239.255.29.170:8231	无效			5599
29-171	239.255.29.171:8231	无效			5457
29-172	239.255.29.172:8231	无效			6235
29-173	239.255.29.173:8231	无效			5109
29-174	239.255.29.174:8231	无效			5079
29-175	239.255.29.175:8231	无效			6418
29-176	239.255.29.176:8231	无效			5600
29-177	239.255.29.177:8231	无效			5492
29-178	239.255.29.178:8231	无效			6545
29-179	239.255.29.179:8231	无效			5422
29-180	239.255.29.180:8231	无效			5539
29-181	239.255.29.181:8231	无效			6508
29-182	239.255.29.182:8231	无效			5548
29-183	239.255.29.183:8231	无效			5433
29-184	239.255.29.184:8231	无效			6420
29-185	239.255.29.185:8231	无效			5520
29-186	239.255.29.186:8231	无效			5447
29-187	239.255.29.187:8231	无效			6366
29-188	239.255.29.188:8231	无效			5560
29-189	239.255.29.189:8231	无效			5455
29-190	239.255.29.190:8231	无效			6336
29-191	239.255.29.191:8231	无效			5545
29-192	239.255.29.192:8231	无效			5466
29-193	239.255.29.193:8231	无效			6162
29-194	239.255.29.194:8231	无效			5100
29-195	239.255.29.195:8231	无效			5090
29-196	239.255.29.196:8231	无效			6243
29-197	239.255.29.197:8231	无效			5230
29-198	239.255.29.198:8231	无效			5068
29-199	239.255.29.199:8231	无效			6371
29-200	239.255.29.200:8231	无效			5525
29-201	239.255.29.201:8231	无效			5486
29-202	239.255.29.202:8231	无效			6148
29-203	239.255.29.203:8231	无效			5116
29-204	239.255.29.204:8231	无效			5096
29-205	239.255.29.205:8231	无效			6285
29-206	239.255.29.206:8231	无效			5507
29-207	239.255.29.207:8231	无效			5087
29-208	239.255.29.208:8231	无效			6141
29-209	239.255.29.209:8231	无效			5100
29-210	239.255.29.210:8231	无效			5098
29-211	239.255.29.211:8231	无效			6353
29-212	239.255.29.212:8231	无效			5522
29-213	239.255.29.213:8231	无效			5474
29-214	239.255.29.214:8231	无效			6418
29-215	239.255.29.215:8231	无效			5553
29-216	239.255.29.216:8231	无效			5476
29-217	239.255.29.217:8231	无效			6254
29-218	239.255.29.218:8231	无效			5546
29-219	239.255.29.219:8231	无效			5172
29-220	239.255.29.220:8231	无效			6348
29-221	239.255.29.221:8231	无效			5509
29-222	239.255.29.222:8231	无效			5474
29-223	239.255.29.223:8231	无效			6293
29-224	239.255.29.224:8231	无效			5533
29-225	239.255.29.225:8231	无效			5482
29-226	239.255.29.226:8231	无效			6430
29-227	239.255.29.227:8231	无效			5546
29-228	239.255.29.228:8231	无效			5431
29-229	239.255.29.229:8231	无效			6371
29-230	239.255.29.230:8231	无效			5542
29-231	239.255.29.231:8231	无效			5456
