# 补充IP列表 - 原文件: 福建电信.txt
# 生成时间: 2026-05-28 17:16:20
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.61.2.x =====
# 已有IP: 75 个, 缺失IP: 179 个
# 规律: 多段线性
#   D∈[1,120] → 6×D+7994
#   D∈[132,132] → -0.5×D+8774.0
#   D∈[141,141] → 14×D+6860
#   D∈[145,251] → 6×D+7988

2-2,rtp://239.61.2.2:8006
2-8,rtp://239.61.2.8:8042
2-10,rtp://239.61.2.10:8054
2-12,rtp://239.61.2.12:8066
2-13,rtp://239.61.2.13:8072
2-14,rtp://239.61.2.14:8078
2-15,rtp://239.61.2.15:8084
2-16,rtp://239.61.2.16:8090
2-17,rtp://239.61.2.17:8096
2-18,rtp://239.61.2.18:8102
2-20,rtp://239.61.2.20:8114
2-22,rtp://239.61.2.22:8126
2-24,rtp://239.61.2.24:8138
2-26,rtp://239.61.2.26:8150
2-27,rtp://239.61.2.27:8156
2-35,rtp://239.61.2.35:8204
2-36,rtp://239.61.2.36:8210
2-37,rtp://239.61.2.37:8216
2-39,rtp://239.61.2.39:8228
2-40,rtp://239.61.2.40:8234
2-41,rtp://239.61.2.41:8240
2-43,rtp://239.61.2.43:8252
2-44,rtp://239.61.2.44:8258
2-45,rtp://239.61.2.45:8264
2-46,rtp://239.61.2.46:8270
2-47,rtp://239.61.2.47:8276
2-49,rtp://239.61.2.49:8288
2-50,rtp://239.61.2.50:8294
2-51,rtp://239.61.2.51:8300
2-52,rtp://239.61.2.52:8306
2-53,rtp://239.61.2.53:8312
2-54,rtp://239.61.2.54:8318
2-55,rtp://239.61.2.55:8324
2-58,rtp://239.61.2.58:8342
2-62,rtp://239.61.2.62:8366
2-63,rtp://239.61.2.63:8372
2-65,rtp://239.61.2.65:8384
2-66,rtp://239.61.2.66:8390
2-67,rtp://239.61.2.67:8396
2-68,rtp://239.61.2.68:8402
2-69,rtp://239.61.2.69:8408
2-71,rtp://239.61.2.71:8420
2-73,rtp://239.61.2.73:8432
2-74,rtp://239.61.2.74:8438
2-77,rtp://239.61.2.77:8456
2-79,rtp://239.61.2.79:8468
2-80,rtp://239.61.2.80:8474
2-81,rtp://239.61.2.81:8480
2-82,rtp://239.61.2.82:8486
2-83,rtp://239.61.2.83:8492
2-84,rtp://239.61.2.84:8498
2-85,rtp://239.61.2.85:8504
2-86,rtp://239.61.2.86:8510
2-87,rtp://239.61.2.87:8516
2-88,rtp://239.61.2.88:8522
2-89,rtp://239.61.2.89:8528
2-90,rtp://239.61.2.90:8534
2-91,rtp://239.61.2.91:8540
2-92,rtp://239.61.2.92:8546
2-93,rtp://239.61.2.93:8552
2-94,rtp://239.61.2.94:8558
2-95,rtp://239.61.2.95:8564
2-96,rtp://239.61.2.96:8570
2-97,rtp://239.61.2.97:8576
2-98,rtp://239.61.2.98:8582
2-99,rtp://239.61.2.99:8588
2-100,rtp://239.61.2.100:8594
2-101,rtp://239.61.2.101:8600
2-102,rtp://239.61.2.102:8606
2-103,rtp://239.61.2.103:8612
2-104,rtp://239.61.2.104:8618
2-105,rtp://239.61.2.105:8624
2-106,rtp://239.61.2.106:8630
2-107,rtp://239.61.2.107:8636
2-108,rtp://239.61.2.108:8642
2-109,rtp://239.61.2.109:8648
2-110,rtp://239.61.2.110:8654
2-111,rtp://239.61.2.111:8660
2-112,rtp://239.61.2.112:8666
2-113,rtp://239.61.2.113:8672
2-114,rtp://239.61.2.114:8678
2-115,rtp://239.61.2.115:8684
2-116,rtp://239.61.2.116:8690
2-117,rtp://239.61.2.117:8696
2-118,rtp://239.61.2.118:8702
2-121,rtp://239.61.2.121:8714
2-122,rtp://239.61.2.122:8720
