# 20260826_171900_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
2-2	239.61.2.2:8006	无效			7695
2-8	239.61.2.8:8042	无效			7428
2-10	239.61.2.10:8054	无效			7417
2-12	239.61.2.12:8066	无效			7153
2-13	239.61.2.13:8072	无效			7418
2-14	239.61.2.14:8078	无效			7183
2-15	239.61.2.15:8084	无效			7408
2-16	239.61.2.16:8090	无效			7166
2-17	239.61.2.17:8096	无效			7442
2-18	239.61.2.18:8102	无效			7406
2-20	239.61.2.20:8114	无效			7179
2-22	239.61.2.22:8126	无效			6908
2-24	239.61.2.24:8138	无效			8203
2-26	239.61.2.26:8150	无效			8438
2-27	239.61.2.27:8156	无效			6907
2-35	239.61.2.35:8204	无效			6915
2-36	239.61.2.36:8210	无效			7416
2-37	239.61.2.37:8216	无效			7443
2-39	239.61.2.39:8228	无效			8181
2-40	239.61.2.40:8234	无效			7941
2-41	239.61.2.41:8240	无效			6903
2-43	239.61.2.43:8252	无效			6912
2-44	239.61.2.44:8258	无效			7419
2-45	239.61.2.45:8264	无效			7178
2-46	239.61.2.46:8270	无效			7157
2-47	239.61.2.47:8276	无效			7166
2-49	239.61.2.49:8288	无效			7175
2-50	239.61.2.50:8294	无效			7161
2-51	239.61.2.51:8300	无效			7173
2-52	239.61.2.52:8306	无效			7159
2-53	239.61.2.53:8312	无效			6914
2-54	239.61.2.54:8318	无效			7166
2-55	239.61.2.55:8324	无效			7425
2-58	239.61.2.58:8342	无效			7432
2-62	239.61.2.62:8366	无效			10744
2-63	239.61.2.63:8372	无效			7423
2-65	239.61.2.65:8384	无效			3140
2-66	239.61.2.66:8390	无效			7609
2-67	239.61.2.67:8396	无效			3072
2-68	239.61.2.68:8402	无效			7419
2-69	239.61.2.69:8408	无效			7428
2-71	239.61.2.71:8420	无效			7175
2-73	239.61.2.73:8432	无效			7431
2-74	239.61.2.74:8438	无效			7404
2-77	239.61.2.77:8456	无效			7171
2-79	239.61.2.79:8468	无效			7424
2-80	239.61.2.80:8474	无效			8192
2-81	239.61.2.81:8480	无效			6908
2-82	239.61.2.82:8486	无效			7166
2-83	239.61.2.83:8492	无效			7424
2-84	239.61.2.84:8498	无效			8721
2-85	239.61.2.85:8504	无效			7407
2-86	239.61.2.86:8510	无效			4365
2-87	239.61.2.87:8516	无效			7172
2-88	239.61.2.88:8522	无效			3020
2-89	239.61.2.89:8528	无效			7473
2-90	239.61.2.90:8534	无效			7410
2-91	239.61.2.91:8540	无效			8448
2-92	239.61.2.92:8546	无效			7422
2-93	239.61.2.93:8552	无效			7169
2-94	239.61.2.94:8558	无效			7432
2-95	239.61.2.95:8564	无效			7158
2-96	239.61.2.96:8570	无效			7685
2-97	239.61.2.97:8576	无效			7170
2-98	239.61.2.98:8582	无效			8949
2-99	239.61.2.99:8588	无效			7422
2-100	239.61.2.100:8594	无效			7170
2-101	239.61.2.101:8600	无效			7164
2-102	239.61.2.102:8606	无效			3113
2-103	239.61.2.103:8612	无效			7129
2-104	239.61.2.104:8618	无效			7417
2-105	239.61.2.105:8624	无效			7423
2-106	239.61.2.106:8630	无效			7680
2-107	239.61.2.107:8636	无效			7422
2-108	239.61.2.108:8642	无效			7418
2-109	239.61.2.109:8648	无效			8198
2-110	239.61.2.110:8654	无效			7412
2-111	239.61.2.111:8660	无效			7430
2-112	239.61.2.112:8666	无效			7443
2-113	239.61.2.113:8672	无效			7150
2-114	239.61.2.114:8678	无效			7417
2-115	239.61.2.115:8684	无效			8450
2-116	239.61.2.116:8690	无效			7442
2-117	239.61.2.117:8696	无效			8436
2-118	239.61.2.118:8702	无效			7161
2-121	239.61.2.121:8714	无效			7425
2-122	239.61.2.122:8720	无效			7422
2-123	239.61.2.123:8726	无效			7426
2-124	239.61.2.124:8732	无效			7162
2-125	239.61.2.125:8738	无效			7425
2-126	239.61.2.126:8744	无效			6666
2-127	239.61.2.127:8750	无效			6901
2-128	239.61.2.128:8756	无效			7167
2-129	239.61.2.129:8762	无效			6914
2-130	239.61.2.130:8768	无效			7422
2-131	239.61.2.131:8774	无效			7173
2-133	239.61.2.133:8786	无效			9734
2-134	239.61.2.134:8792	无效			8431
2-135	239.61.2.135:8798	无效			7425
2-136	239.61.2.136:8804	无效			7688
2-137	239.61.2.137:8810	无效			7428
2-138	239.61.2.138:8816	无效			7408
2-139	239.61.2.139:8822	无效			7167
2-140	239.61.2.140:8828	无效			8459
2-142	239.61.2.142:8840	无效			7412
2-143	239.61.2.143:8846	无效			11040
2-144	239.61.2.144:8852	无效			7393
2-150	239.61.2.150:8888	无效			3158
2-152	239.61.2.152:8900	无效			7591
2-153	239.61.2.153:8906	无效			7169
2-154	239.61.2.154:8912	无效			8200
2-155	239.61.2.155:8918	无效			7433
2-156	239.61.2.156:8924	无效			7406
2-157	239.61.2.157:8930	无效			7434
2-158	239.61.2.158:8936	无效			7423
2-161	239.61.2.161:8954	无效			8439
2-162	239.61.2.162:8960	无效			7425
2-163	239.61.2.163:8966	有效	1920x1080	h264	6577
2-164	239.61.2.164:8972	有效		h264	1839
2-166	239.61.2.166:8984	无效			7427
2-168	239.61.2.168:8996	无效			3157
2-170	239.61.2.170:9008	有效		h264	4711
2-179	239.61.2.179:9062	无效			7342
2-185	239.61.2.185:9098	无效			7431
2-186	239.61.2.186:9104	无效			7412
2-187	239.61.2.187:9110	无效			4282
2-188	239.61.2.188:9116	无效			7495
2-189	239.61.2.189:9122	无效			7165
2-190	239.61.2.190:9128	无效			7166
2-191	239.61.2.191:9134	无效			9468
2-192	239.61.2.192:9140	无效			3362
2-193	239.61.2.193:9146	有效	1920x1080	h264	5936
2-194	239.61.2.194:9152	无效			7134
2-195	239.61.2.195:9158	无效			3191
2-196	239.61.2.196:9164	无效			7309
2-197	239.61.2.197:9170	无效			7166
2-198	239.61.2.198:9176	无效			7176
2-199	239.61.2.199:9182	无效			3226
2-200	239.61.2.200:9188	无效			7265
