# 20260523_114421_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
福建公共频道	239.255.40.150:8208	无效			99999
福建少儿频道	239.255.40.156:8208	有效	1920x1080	h264	2567
福建教育频道	239.255.40.106:8208	有效		h264	2105
福建文体频道	239.255.40.155:8208	无效			99999
福建新闻频道	239.255.40.151:8208	有效	1920x1080	h264	6576
福建旅游频道	239.255.40.153:8208	有效	1920x1080	h264	1913
福建电视剧频道	239.255.40.152:8208	无效			99999
福建经济频道	239.255.40.154:8208	无效			99999
福建综合频道	239.255.40.148:8208	有效			1487
福建综合频道	239.255.40.202:8208	有效	1920x1080	h264	6492
CCTV1	239.255.40.35:8208	有效	1920x1080	h264	4699
CCTV2	239.255.40.36:8208	有效		h264	2232
CCTV3	239.255.40.195:8208	有效	1920x1080	h264	2400
CCTV4	239.255.40.198:8208	有效	1920x1080	h264	2765
CCTV5	239.255.40.196:8208	有效	1920x1080	h264	2382
CCTV5+	239.255.40.34:8208	有效		h264	2103
CCTV6	239.255.40.175:8208	有效	1920x1080	h264	2112
CCTV7	239.255.40.37:8208	有效		h264	2100
CCTV8	239.255.40.197:8208	有效		h264	2237
CCTV9	239.255.40.38:8208	有效	1920x1080	h264	2938
CCTV10	239.255.40.39:8208	有效	1920x1080	h264	2391
CCTV11	239.255.40.2:8208	有效		h264	2032
CCTV12	239.255.40.40:8208	有效		h264	2119
CCTV13	239.255.40.3:8208	有效		h264	2018
CCTV14	239.255.40.41:8208	有效	1920x1080	h264	2242
CCTV15	239.255.40.4:8208	有效	1920x1080	h264	2924
CCTV16	239.255.40.194:8208	有效		h264	2381
CCTV17	239.255.40.143:8208	有效		h264	2188
CGTN	239.255.40.5:8208	有效		h264	1954
CGTN法语	239.255.40.178:8208	有效		h264	1980
CGTN俄语	239.255.40.179:8208	有效	1920x1080	h264	2199
CETV1	239.255.40.201:8208	有效	1920x1080	h264	3021
CETV2	239.255.40.30:8208	有效	720x576	h264	2315
CETV4	239.255.40.31:8208	有效		h264	2139
湖南卫视	239.255.40.43:8208	有效		h264	2002
浙江卫视	239.255.40.49:8208	有效	1920x1080	h264	2017
江苏卫视	239.255.40.42:8208	有效		h264	2204
北京卫视	239.255.40.46:8208	有效	1920x1080	h264	3014
东方卫视	239.255.40.50:8208	有效		h264	2314
安徽卫视	239.255.40.53:8208	有效	1920x1080	h264	2071
广东卫视	239.255.40.52:8208	有效	1920x1080	h264	2215
深圳卫视	239.255.40.199:8208	有效		h264	1928
辽宁卫视	239.255.40.54:8208	有效		h264	2240
山东卫视	239.255.40.51:8208	有效	1920x1080	h264	2921
天津卫视	239.255.40.48:8208	有效	1920x1080	h264	2360
重庆卫视	239.255.40.21:8208	有效		h264	2184
东南卫视	239.255.40.149:8208	有效		h264	1921
东南卫视	239.255.40.203:8208	有效			1992
河北卫视	239.255.40.20:8208	有效		h264	2303
河南卫视	239.255.40.9:8208	有效	1920x1080	h264	2864
湖北卫视	239.255.40.47:8208	有效	1920x1080	h264	2362
陕西卫视	239.255.40.10:8208	有效		h264	2234
四川卫视	239.255.40.19:8208	有效		h264	1907
海南卫视	239.255.40.23:8208	有效		h264	2187
甘肃卫视	239.255.40.16:8208	有效	1920x1080	h264	2105
广西卫视	239.255.40.22:8208	有效	1920x1080	h264	3050
贵州卫视	239.255.40.200:8208	有效		h264	2375
黑龙江卫视	239.255.40.44:8208	有效	1920x1080	h264	2208
江西卫视	239.255.40.18:8208	有效	1920x1080	h264	1940
吉林卫视	239.255.40.17:8208	有效		h264	2149
内蒙古卫视	239.255.40.14:8208	有效		h264	2240
宁夏卫视	239.255.40.8:8208	有效	1920x1080	h264	2925
山西卫视	239.255.40.13:8208	有效		h264	2367
新疆卫视	239.255.40.11:8208	有效		h264	2126
云南卫视	239.255.40.6:8208	有效		h264	1959
青海卫视	239.255.40.15:8208	有效	1920x1080	h264	2157
西藏卫视	239.255.40.12:8208	有效	1920x1080	h264	2243
兵团卫视	239.255.40.29:8208	有效	1920x1080	h264	2884
三沙卫视	239.255.40.82:8208	有效	1920x1080	h264	2386
厦门卫视	239.255.40.28:8208	有效	720x576	h264	2060
经典电影	239.255.40.70:8208	无效			99999
热播剧场	239.255.40.69:8208	无效			16359
少儿动画	239.255.40.66:8208	无效			99999
纪实科教	239.255.40.205:8208	有效	1920x1080	h264	2520
卡酷少儿	239.255.40.24:8208	有效	720x576	h264	2129
金鹰纪实	239.255.40.57:8208	有效	1920x1080	h264	3085
金鹰卡通	239.255.40.25:8208	有效	720x576	h264	2182
嘉佳卡通	239.255.40.26:8208	有效	720x576	h264	2193
中国天气	239.255.40.89:8208	有效		h264	2328
中国交通	239.255.40.211:8208	无效			99999
睛彩竞技	239.255.40.208:8208	无效			99999
睛彩篮球	239.255.40.209:8208	无效			5629
睛彩青少	239.255.40.207:8208	无效			99999
睛彩广场舞	239.255.40.210:8208	无效			99999
福州新闻	239.255.40.170:8208	有效	1920x1080	h264	2304
厦门一套	239.255.40.171:8208	有效	1920x1080	h264	2849
莆田新闻	239.255.40.140:8208	有效	1920x1080	h264	2359
三明新闻	239.255.40.167:8208	有效	1920x1080	h264	2251
泉州一套	239.255.40.172:8208	有效		h264	1939
漳州新闻	239.255.40.173:8208	有效		h264	1876
南平新闻	239.255.40.166:8208	有效	1920x1080	h264	2333
龙岩综合频道	239.255.40.160:8208	有效	1920x1080	h264	2783
宁德新闻	239.255.40.174:8208	有效	1920x1080	h264	2378
山东教育	239.255.40.32:8208	有效	720x576	h264	2065
CGTN纪录	239.255.40.183:8208	有效		h264	1935
IPTV3+	239.255.40.62:8208	无效			99999
IPTV3综艺	239.255.40.68:8208	无效			99999
IPTV体育	239.255.40.71:8208	无效			99999
IPTV法治	239.255.40.61:8208	无效			5885
IPTV相声小品	239.255.40.59:8208	无效			5636
IPTV野外	239.255.40.60:8208	无效			99999
IPTV魅力时尚	239.255.40.67:8208	无效			99999
华数影视	239.255.40.159:8208	无效			99999
华数电影	239.255.40.64:8208	无效			99999
华数电视剧	239.255.40.65:8208	无效			5881
华数谍战剧场	239.255.40.58:8208	无效			5632
平潭卫视	239.255.40.191:8208	有效		h264	1656
海峡卫视	239.255.40.157:8208	有效	1920x1080	h264	1907
