# 补充IP列表 - 原文件: 福建联通.txt
# 生成时间: 2026-05-28 17:17:03
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.255.40.x =====
# 已有IP: 108 个, 缺失IP: 146 个
# 规律: 固定端口 8208

40-1,rtp://239.255.40.1:8208
40-7,rtp://239.255.40.7:8208
40-27,rtp://239.255.40.27:8208
40-33,rtp://239.255.40.33:8208
40-45,rtp://239.255.40.45:8208
40-55,rtp://239.255.40.55:8208
40-56,rtp://239.255.40.56:8208
40-63,rtp://239.255.40.63:8208
40-72,rtp://239.255.40.72:8208
40-73,rtp://239.255.40.73:8208
40-74,rtp://239.255.40.74:8208
40-75,rtp://239.255.40.75:8208
40-76,rtp://239.255.40.76:8208
40-77,rtp://239.255.40.77:8208
40-78,rtp://239.255.40.78:8208
40-79,rtp://239.255.40.79:8208
40-80,rtp://239.255.40.80:8208
40-81,rtp://239.255.40.81:8208
40-83,rtp://239.255.40.83:8208
40-84,rtp://239.255.40.84:8208
40-85,rtp://239.255.40.85:8208
40-86,rtp://239.255.40.86:8208
40-87,rtp://239.255.40.87:8208
40-88,rtp://239.255.40.88:8208
40-90,rtp://239.255.40.90:8208
40-91,rtp://239.255.40.91:8208
40-92,rtp://239.255.40.92:8208
40-93,rtp://239.255.40.93:8208
40-94,rtp://239.255.40.94:8208
40-95,rtp://239.255.40.95:8208
40-96,rtp://239.255.40.96:8208
40-97,rtp://239.255.40.97:8208
40-98,rtp://239.255.40.98:8208
40-99,rtp://239.255.40.99:8208
40-100,rtp://239.255.40.100:8208
40-101,rtp://239.255.40.101:8208
40-102,rtp://239.255.40.102:8208
40-103,rtp://239.255.40.103:8208
40-104,rtp://239.255.40.104:8208
40-105,rtp://239.255.40.105:8208
40-107,rtp://239.255.40.107:8208
40-108,rtp://239.255.40.108:8208
40-109,rtp://239.255.40.109:8208
40-110,rtp://239.255.40.110:8208
40-111,rtp://239.255.40.111:8208
40-112,rtp://239.255.40.112:8208
40-113,rtp://239.255.40.113:8208
40-114,rtp://239.255.40.114:8208
40-115,rtp://239.255.40.115:8208
40-116,rtp://239.255.40.116:8208
40-117,rtp://239.255.40.117:8208
40-118,rtp://239.255.40.118:8208
40-119,rtp://239.255.40.119:8208
40-120,rtp://239.255.40.120:8208
40-121,rtp://239.255.40.121:8208
40-122,rtp://239.255.40.122:8208
40-123,rtp://239.255.40.123:8208
40-124,rtp://239.255.40.124:8208
40-125,rtp://239.255.40.125:8208
40-126,rtp://239.255.40.126:8208
40-127,rtp://239.255.40.127:8208
40-128,rtp://239.255.40.128:8208
40-129,rtp://239.255.40.129:8208
40-130,rtp://239.255.40.130:8208
40-131,rtp://239.255.40.131:8208
40-132,rtp://239.255.40.132:8208
40-133,rtp://239.255.40.133:8208
40-134,rtp://239.255.40.134:8208
40-135,rtp://239.255.40.135:8208
40-136,rtp://239.255.40.136:8208
40-137,rtp://239.255.40.137:8208
40-138,rtp://239.255.40.138:8208
40-139,rtp://239.255.40.139:8208
40-141,rtp://239.255.40.141:8208
40-142,rtp://239.255.40.142:8208
40-144,rtp://239.255.40.144:8208
40-145,rtp://239.255.40.145:8208
40-146,rtp://239.255.40.146:8208
40-147,rtp://239.255.40.147:8208
40-158,rtp://239.255.40.158:8208
40-161,rtp://239.255.40.161:8208
