# 20260824_161213_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
40-1	239.255.40.1:8208	无效			832
40-7	239.255.40.7:8208	无效			597
40-27	239.255.40.27:8208	无效			795
40-33	239.255.40.33:8208	无效			636
40-45	239.255.40.45:8208	无效			790
40-55	239.255.40.55:8208	无效			583
40-56	239.255.40.56:8208	无效			883
40-63	239.255.40.63:8208	无效			625
40-72	239.255.40.72:8208	无效			851
40-73	239.255.40.73:8208	无效			507
40-74	239.255.40.74:8208	无效			926
40-75	239.255.40.75:8208	无效			585
40-76	239.255.40.76:8208	无效			867
40-77	239.255.40.77:8208	无效			584
40-78	239.255.40.78:8208	无效			904
40-79	239.255.40.79:8208	无效			598
40-80	239.255.40.80:8208	无效			907
40-81	239.255.40.81:8208	无效			585
40-83	239.255.40.83:8208	无效			867
40-84	239.255.40.84:8208	无效			525
40-85	239.255.40.85:8208	无效			960
40-86	239.255.40.86:8208	无效			509
40-87	239.255.40.87:8208	无效			849
40-88	239.255.40.88:8208	无效			488
40-90	239.255.40.90:8208	无效			951
40-91	239.255.40.91:8208	无效			576
40-92	239.255.40.92:8208	无效			940
40-93	239.255.40.93:8208	无效			592
40-94	239.255.40.94:8208	无效			876
40-95	239.255.40.95:8208	无效			473
40-96	239.255.40.96:8208	无效			989
40-97	239.255.40.97:8208	无效			459
40-98	239.255.40.98:8208	有效	1920x1080	h264	6682
40-99	239.255.40.99:8208	有效		h264	1971
40-100	239.255.40.100:8208	有效		h264	2054
40-101	239.255.40.101:8208	有效	1920x1080	h264	6671
40-102	239.255.40.102:8208	有效	1920x1080	h264	2065
40-103	239.255.40.103:8208	有效	1920x1080	h264	6558
40-104	239.255.40.104:8208	有效		h264	1918
40-105	239.255.40.105:8208	无效			1035
40-107	239.255.40.107:8208	无效			499
40-108	239.255.40.108:8208	无效			1035
40-109	239.255.40.109:8208	无效			488
40-110	239.255.40.110:8208	无效			954
40-111	239.255.40.111:8208	无效			534
40-112	239.255.40.112:8208	无效			1026
40-113	239.255.40.113:8208	无效			486
40-114	239.255.40.114:8208	无效			5675
40-115	239.255.40.115:8208	无效			5069
40-116	239.255.40.116:8208	无效			5745
40-117	239.255.40.117:8208	无效			5069
40-118	239.255.40.118:8208	无效			5805
40-119	239.255.40.119:8208	无效			5284
40-120	239.255.40.120:8208	无效			5801
40-121	239.255.40.121:8208	无效			5238
40-122	239.255.40.122:8208	无效			5815
40-123	239.255.40.123:8208	无效			5322
40-124	239.255.40.124:8208	无效			5737
40-125	239.255.40.125:8208	无效			5085
40-126	239.255.40.126:8208	无效			5733
40-127	239.255.40.127:8208	无效			5086
40-128	239.255.40.128:8208	无效			5666
40-129	239.255.40.129:8208	无效			5067
40-130	239.255.40.130:8208	无效			5797
40-131	239.255.40.131:8208	无效			5328
40-132	239.255.40.132:8208	无效			5838
40-133	239.255.40.133:8208	无效			5352
40-134	239.255.40.134:8208	无效			5794
40-135	239.255.40.135:8208	无效			5373
40-136	239.255.40.136:8208	无效			5811
40-137	239.255.40.137:8208	无效			5366
40-138	239.255.40.138:8208	无效			5774
40-139	239.255.40.139:8208	无效			5385
40-141	239.255.40.141:8208	无效			5779
40-142	239.255.40.142:8208	无效			5305
40-144	239.255.40.144:8208	无效			5754
40-145	239.255.40.145:8208	无效			5348
40-146	239.255.40.146:8208	无效			5784
40-147	239.255.40.147:8208	无效			5335
40-158	239.255.40.158:8208	无效			5769
40-161	239.255.40.161:8208	无效			5368
40-162	239.255.40.162:8208	无效			5790
40-163	239.255.40.163:8208	无效			5358
40-164	239.255.40.164:8208	无效			5759
40-165	239.255.40.165:8208	无效			5310
40-168	239.255.40.168:8208	无效			5764
40-169	239.255.40.169:8208	无效			5301
40-176	239.255.40.176:8208	无效			5710
40-177	239.255.40.177:8208	无效			5320
40-180	239.255.40.180:8208	无效			5731
40-181	239.255.40.181:8208	无效			5382
40-182	239.255.40.182:8208	无效			5777
40-184	239.255.40.184:8208	无效			5343
40-185	239.255.40.185:8208	无效			5840
40-186	239.255.40.186:8208	无效			5292
40-187	239.255.40.187:8208	无效			5826
40-188	239.255.40.188:8208	有效	1920x1080	h264	6997
40-189	239.255.40.189:8208	无效			5295
40-190	239.255.40.190:8208	无效			5810
40-192	239.255.40.192:8208	有效	720x576	h264	5532
40-193	239.255.40.193:8208	有效	720x576	h264	5754
40-204	239.255.40.204:8208	有效		h264	2179
40-206	239.255.40.206:8208	有效		hevc	1955
40-212	239.255.40.212:8208	有效		hevc	2009
40-213	239.255.40.213:8208	有效		hevc	1300
40-214	239.255.40.214:8208	无效			5297
40-215	239.255.40.215:8208	无效			5796
40-216	239.255.40.216:8208	无效			5296
40-217	239.255.40.217:8208	无效			5770
40-218	239.255.40.218:8208	无效			5317
40-219	239.255.40.219:8208	有效		h264	1903
40-220	239.255.40.220:8208	有效		h264	1617
40-221	239.255.40.221:8208	有效		hevc	1869
40-222	239.255.40.222:8208	有效		hevc	2063
40-223	239.255.40.223:8208	有效		hevc	1830
40-224	239.255.40.224:8208	有效		hevc	1803
40-225	239.255.40.225:8208	有效		hevc	2149
40-226	239.255.40.226:8208	有效		hevc	1870
40-227	239.255.40.227:8208	有效		h264	1834
40-228	239.255.40.228:8208	有效		hevc	1852
40-229	239.255.40.229:8208	有效	3840x2160	hevc	7984
40-230	239.255.40.230:8208	有效	3840x2160	hevc	9817
40-231	239.255.40.231:8208	有效		hevc	2166
40-232	239.255.40.232:8208	有效	3840x2160	hevc	2015
40-233	239.255.40.233:8208	有效		hevc	2027
40-234	239.255.40.234:8208	有效		hevc	1795
40-235	239.255.40.235:8208	有效		hevc	1943
40-236	239.255.40.236:8208	有效		hevc	1850
40-237	239.255.40.237:8208	有效	3840x2160	hevc	2103
40-238	239.255.40.238:8208	有效		hevc	1805
40-239	239.255.40.239:8208	无效			5761
40-240	239.255.40.240:8208	有效		h264	1571
40-241	239.255.40.241:8208	有效		hevc	9164
40-242	239.255.40.242:8208	无效			5279
40-243	239.255.40.243:8208	无效			5689
40-244	239.255.40.244:8208	无效			5339
40-245	239.255.40.245:8208	无效			849
40-246	239.255.40.246:8208	无效			492
40-247	239.255.40.247:8208	无效			960
40-248	239.255.40.248:8208	无效			377
40-249	239.255.40.249:8208	无效			995
40-250	239.255.40.250:8208	无效			346
40-251	239.255.40.251:8208	无效			895
40-252	239.255.40.252:8208	无效			378
40-253	239.255.40.253:8208	无效			823
40-254	239.255.40.254:8208	无效			399
