# 20260528_171353_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
贵州卫视	238.255.2.1:5999	有效	1920x1080	hevc	6432
贵州卫视 HD	239.10.10.2:5599	无效			2277
贵州卫视2	238.255.2.2:5999	有效	1920x1080	hevc	5788
贵州卫视3	238.255.2.3:5999	有效	1920x1080	hevc	5986
贵州卫视4	238.255.2.4:5999	有效	1920x1080	hevc	6023
贵州卫视5	238.255.2.5:5999	有效	1920x1080	hevc	5901
贵州卫视6	238.255.2.6:5999	有效	1920x1080	hevc	5632
贵州卫视7	238.255.2.9:5999	有效	1920x1080	hevc	5792
贵州直播频道	238.255.2.206:5999	有效	1920x1080	h264	6163
贵州移动电视	238.255.2.117:5999	有效	720x576	h264	6504
CCTV1	238.255.2.91:5999	有效	1920x1080	hevc	6494
CCTV2	238.255.2.11:5999	有效	1920x1080	hevc	6271
CCTV3	238.255.2.133:5999	有效	1920x1080	hevc	5899
CCTV4	238.255.2.92:5999	有效	1920x1080	hevc	5745
CCTV4欧洲	238.255.2.213:5999	有效	1920x1080	hevc	5910
CCTV4美洲	238.255.2.214:5999	有效	1920x1080	hevc	6073
CCTV5	238.255.2.134:5999	有效	1920x1080	hevc	5956
CCTV5+	238.255.2.185:5999	有效	1920x1080	hevc	6837
CCTV6	238.255.2.135:5999	有效	1920x1080	hevc	5792
CCTV7	238.255.2.12:5999	有效	1920x1080	hevc	6054
CCTV8	238.255.2.136:5999	有效	1920x1080	hevc	5805
CCTV9	238.255.2.155:5999	有效	1920x1080	hevc	5689
CCTV10	238.255.2.13:5999	有效	1920x1080	hevc	5779
CCTV11	238.255.2.14:5999	有效	1920x1080	hevc	5755
CCTV12	238.255.2.15:5999	有效	1920x1080	hevc	6516
CCTV13	238.255.2.16:5999	有效	1920x1080	hevc	6582
CCTV14	238.255.2.17:5999	有效	1920x1080	hevc	6675
CCTV15	238.255.2.18:5999	有效	1920x1080	hevc	5791
CCTV16	238.255.2.217:5999	无效			1350
CCTV16	238.255.2.219:5999	无效			568
CCTV17	238.255.2.137:5999	有效	1920x1080	hevc	5917
风云音乐	238.255.2.24:5999	有效	1920x1080	hevc	5957
世界地理	238.255.2.26:5999	有效	1920x1080	hevc	5804
第一剧场	238.255.2.25:5999	有效	1920x1080	hevc	5797
风云剧场	238.255.2.28:5999	有效	1920x1080	hevc	5834
央视精品	238.255.2.32:5999	有效	1920x1080	hevc	5967
兵器科技	238.255.2.34:5999	有效	1920x1080	hevc	5657
风云足球	238.255.2.29:5999	有效	1920x1080	hevc	5653
怀旧剧场	238.255.2.33:5999	有效	1920x1080	hevc	6131
女性时尚	238.255.2.27:5999	有效	1920x1080	hevc	5967
央视台球	238.255.2.224:5999	有效	1920x1080	hevc	6627
CGTN	238.255.2.178:5999	有效	720x576	h264	6628
CGTN	238.255.2.207:5999	有效	1920x1080	h264	6026
CGTN西语	238.255.2.209:5999	有效	1920x1080	hevc	5799
CGTN法语	238.255.2.208:5999	有效	1920x1080	hevc	5820
CGTN阿语	238.255.2.211:5999	有效	1920x1080	hevc	5799
CGTN俄语	238.255.2.210:5999	有效	1920x1080	hevc	5797
CETV1	238.255.2.105:5999	有效	1920x1080	hevc	5748
CETV2	238.255.2.221:5999	有效	720x576	h264	5826
CETV4	238.255.2.222:5999	有效	1920x1080	hevc	5887
湖南卫视	238.255.2.93:5999	有效	1920x1080	hevc	5961
浙江卫视	238.255.2.100:5999	有效	1920x1080	hevc	5773
江苏卫视	238.255.2.104:5999	有效	1920x1080	hevc	5809
北京卫视	238.255.2.81:5999	有效	1920x1080	hevc	6247
东方卫视	238.255.2.98:5999	有效	1920x1080	hevc	5854
安徽卫视	238.255.2.101:5999	有效	1920x1080	hevc	5905
广东卫视	238.255.2.59:5999	有效	1920x1080	hevc	5770
深圳卫视	238.255.2.61:5999	有效	1920x1080	hevc	5843
辽宁卫视	238.255.2.69:5999	有效	1920x1080	hevc	5639
山东卫视	238.255.2.97:5999	有效	1920x1080	hevc	5905
天津卫视	238.255.2.99:5999	有效	1920x1080	hevc	6253
重庆卫视	238.255.2.78:5999	有效	1920x1080	hevc	6101
东南卫视	238.255.2.103:5999	有效	1920x1080	hevc	5897
河北卫视	238.255.2.77:5999	有效	1920x1080	hevc	5636
河南卫视	238.255.2.74:5999	有效	1920x1080	hevc	6680
湖北卫视	238.255.2.102:5999	有效	1920x1080	hevc	5682
陕西卫视	238.255.2.72:5999	有效	1920x1080	hevc	5827
四川卫视	238.255.2.76:5999	有效	1920x1080	hevc	5700
海南卫视	238.255.2.58:5999	有效	1920x1080	hevc	6007
甘肃卫视	238.255.2.73:5999	有效	1920x1080	hevc	5591
广西卫视	238.255.2.64:5999	有效	720x576	h264	6114
黑龙江卫视	238.255.2.96:5999	有效	1920x1080	hevc	6097
江西卫视	238.255.2.94:5999	有效	1920x1080	hevc	5814
吉林卫视	238.255.2.95:5999	有效	1920x1080	hevc	6573
内蒙古卫视	238.255.2.53:5999	有效	1920x1080	hevc	6146
宁夏卫视	238.255.2.75:5999	有效	1920x1080	hevc	5658
山西卫视	238.255.2.71:5999	有效	720x576	h264	5887
新疆卫视	238.255.2.163:5999	有效	1920x1080	h264	5917
新疆卫视	238.255.2.66:5999	有效	1920x1080	hevc	5741
云南卫视	238.255.2.63:5999	有效	1920x1080	hevc	5691
青海卫视	238.255.2.51:5999	有效	1920x1080	hevc	5768
西藏卫视	238.255.2.202:5999	有效	1920x1080	h264	6505
西藏卫视	238.255.2.65:5999	有效	1920x1080	hevc	5800
兵团卫视	238.255.2.67:5999	有效	1920x1080	hevc	6458
康巴卫视	238.255.2.140:5999	有效	720x576	h264	5890
三沙卫视	238.255.2.203:5999	有效	720x576	h264	5798
厦门卫视	238.255.2.205:5999	有效	720x576	h264	6005
延边卫视	238.255.2.204:5999	有效	720x576	h264	5942
山东教育卫视	238.255.2.79:5999	有效	1920x1080	hevc	5714
欢笑剧场SDR	238.255.2.198:5999	无效			565
欢笑剧场SDR	238.255.2.215:5999	无效			669
纪实科教	238.255.2.107:5999	有效	1920x1080	hevc	5847
卡酷少儿	238.255.2.106:5999	有效	1920x1080	h264	5708
卡酷少儿	238.255.2.80:5999	有效	1920x1080	hevc	5678
快乐垂钓	238.255.2.191:5999	无效			555
金鹰纪实	238.255.2.108:5999	无效			575
金鹰卡通	238.255.2.55:5999	有效	1920x1080	hevc	5715
天元围棋	238.255.2.7:5999	有效	1920x1080	hevc	5848
摄影频道	238.255.2.8:5999	无效			578
国学频道	238.255.2.176:5999	有效	720x576	h264	5885
法治天地	238.255.2.190:5999	无效			627
生活时尚	238.255.2.193:5999	无效			581
都市剧场	238.255.2.194:5999	无效			587
游戏风云	238.255.2.197:5999	无效			579
动漫秀场	238.255.2.196:5999	无效			683
乐游	238.255.2.188:5999	无效			571
哈哈炫动	238.255.2.56:5999	无效			557
嘉佳卡通	238.255.2.62:5999	有效	720x576	h264	6531
优漫卡通	238.255.2.57:5999	有效	720x576	h264	5890
中国交通	238.255.2.220:5999	有效	720x576	h264	5862
环球奇观	238.255.2.43:5999	有效	720x576	h264	5964
家有购物	238.255.2.10:5999	有效	1920x1080	hevc	5826
江苏财富天下	238.255.2.186:5999	无效			596
江苏靓妆频道	238.255.2.177:5999	有效	720x576	h264	6117
湖南茶叶频道	238.255.2.192:5999	无效			5604
广东大湾区卫视	238.255.2.60:5999	无效			5596
贵阳-1	238.255.2.19:5999	有效	1920x1080	hevc	6299
贵阳-2	238.255.2.20:5999	无效			5580
贵阳-3	238.255.2.22:5999	无效			5569
六盘水-1	238.255.2.115:5999	有效	1920x1080	h264	5736
六盘水-2	238.255.2.116:5999	无效			637
遵义公共频道	238.255.2.152:5999	无效			575
遵义综合频道	238.255.2.153:5999	有效	1920x1080	h264	5884
遵义都市频道	238.255.2.154:5999	无效			568
安顺公共频道	238.255.2.158:5999	无效			593
安顺新闻综合	238.255.2.157:5999	有效	1920x1080	h264	5626
毕节-1	238.255.2.131:5999	有效	1920x1080	h264	5808
毕节-2	238.255.2.132:5999	无效			5590
铜仁-1	238.255.2.31:5999	有效	1920x1080	h264	6174
铜仁-2	238.255.2.87:5999	无效			5573
黔西南公共频道	238.255.2.127:5999	无效			5565
黔西南综合频道	238.255.2.126:5999	有效	1920x1080	h264	5805
黔东南综合频道	238.255.2.179:5999	有效	1920x1080	h264	5822
黔南-1	238.255.2.150:5999	有效	1920x1080	h264	5888
黔南-2	238.255.2.151:5999	无效			5561
西藏卫视藏语	238.255.2.23:5999	有效	720x576	h264	5984
CCTV中视购物	238.255.2.44:5999	有效	720x576	h264	6418
CGTN纪录	238.255.2.212:5999	无效			5620
CGTV法语频道	238.255.2.83:5999	有效	720x576	h264	6241
CGTV纪录片	238.255.2.172:5999	有效	720x576	h264	5893
东2南	239.10.10.4:5599	无效			5589
东南	239.10.10.3:5599	无效			5561
中央新影中学生	238.255.2.181:5999	有效	720x576	h264	5855
中央新影发现之旅	238.255.2.184:5999	有效	720x576	h264	5745
中央新影老故事	238.255.2.35:5999	有效	720x576	h264	6719
农林卫视	238.255.2.120:5999	有效	720x576	h264	6093
凯里TV	238.255.2.180:5999	有效	1920x1080	h264	6241
安多卫视	238.255.2.189:5999	有效	720x576	h264	5831
思南综合频道	238.255.2.218:5999	有效	1920x1080	h264	6208
新视觉	238.255.2.195:5999	无效			5566
桐梓频道	238.255.2.162:5999	有效	720x576	h264	6280
汽摩频道	238.255.2.148:5999	有效	720x576	h264	6010
瓮安卫视	238.255.2.201:5999	无效			662
瓮安电视台	238.255.2.216:5999	有效	1920x1080	h264	5896
雷山综合频道	238.255.2.128:5999	有效	1920x1080	h264	6212
高网频道	238.255.2.223:5999	有效	1920x1080	hevc	6059
黔西-1	238.255.2.161:5999	有效	1920x1080	h264	5781
