# 20260725_163626_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
2-21	238.255.2.21:5999	无效			1144
2-30	238.255.2.30:5999	无效			538
2-36	238.255.2.36:5999	无效			407
2-37	238.255.2.37:5999	无效			1417
2-38	238.255.2.38:5999	无效			999
2-39	238.255.2.39:5999	无效			710
2-40	238.255.2.40:5999	无效			370
2-41	238.255.2.41:5999	无效			1421
2-42	238.255.2.42:5999	无效			935
2-45	238.255.2.45:5999	有效	3840x2160	hevc	7094
2-46	238.255.2.46:5999	有效		hevc	14659
2-47	238.255.2.47:5999	有效	3840x2160	hevc	7419
2-48	238.255.2.48:5999	有效	3840x2160	hevc	7280
2-49	238.255.2.49:5999	有效	1920x1080	hevc	6848
2-50	238.255.2.50:5999	有效	1920x1080	hevc	6760
2-52	238.255.2.52:5999	有效	1920x1080	hevc	6833
2-54	238.255.2.54:5999	有效	1920x1080	hevc	6800
2-68	238.255.2.68:5999	无效			774
2-70	238.255.2.70:5999	无效			399
2-82	238.255.2.82:5999	无效			352
2-84	238.255.2.84:5999	无效			1067
2-85	238.255.2.85:5999	无效			1673
2-86	238.255.2.86:5999	无效			359
2-88	238.255.2.88:5999	无效			330
2-89	238.255.2.89:5999	无效			1138
2-90	238.255.2.90:5999	无效			539
2-109	238.255.2.109:5999	有效	3840x2160	hevc	7611
2-110	238.255.2.110:5999	有效	3840x2160	hevc	7346
2-111	238.255.2.111:5999	无效			382
2-112	238.255.2.112:5999	无效			346
2-113	238.255.2.113:5999	有效	3840x2160	hevc	8114
2-114	238.255.2.114:5999	有效	3840x2160	hevc	7398
2-118	238.255.2.118:5999	有效	3840x2160	hevc	9646
2-119	238.255.2.119:5999	有效		hevc	9044
2-121	238.255.2.121:5999	有效	3840x2160	hevc	7543
2-122	238.255.2.122:5999	有效	3840x2160	hevc	7259
2-123	238.255.2.123:5999	有效	3840x2160	hevc	7896
2-124	238.255.2.124:5999	有效	3840x2160	hevc	7633
2-125	238.255.2.125:5999	有效	3840x2160	hevc	8487
2-129	238.255.2.129:5999	有效	3840x2160	hevc	13545
2-130	238.255.2.130:5999	有效	3840x2160	hevc	8064
2-138	238.255.2.138:5999	有效	3840x2160	hevc	8004
2-139	238.255.2.139:5999	有效	3840x2160	hevc	7545
2-141	238.255.2.141:5999	无效			952
2-142	238.255.2.142:5999	无效			725
2-143	238.255.2.143:5999	有效	1920x1080	hevc	6604
2-144	238.255.2.144:5999	有效	1920x1080	hevc	7122
2-145	238.255.2.145:5999	有效	3840x2160	hevc	7304
2-146	238.255.2.146:5999	有效	1920x1080	hevc	6883
2-147	238.255.2.147:5999	有效	1920x1080	hevc	6792
2-149	238.255.2.149:5999	有效	3840x2160	hevc	7426
2-156	238.255.2.156:5999	无效			423
2-159	238.255.2.159:5999	有效	480x320	h264	6423
2-160	238.255.2.160:5999	有效	3840x2160	hevc	7825
2-164	238.255.2.164:5999	无效			377
2-165	238.255.2.165:5999	无效			989
2-166	238.255.2.166:5999	无效			710
2-167	238.255.2.167:5999	无效			1425
2-168	238.255.2.168:5999	无效			340
2-169	238.255.2.169:5999	无效			1163
2-170	238.255.2.170:5999	无效			565
2-171	238.255.2.171:5999	无效			1397
2-173	238.255.2.173:5999	无效			335
2-174	238.255.2.174:5999	无效			1013
2-175	238.255.2.175:5999	无效			662
2-182	238.255.2.182:5999	无效			424
2-183	238.255.2.183:5999	有效	480x320	h264	6000
2-187	238.255.2.187:5999	有效	480x320	h264	5989
2-199	238.255.2.199:5999	无效			361
2-200	238.255.2.200:5999	有效	480x320	h264	6078
2-225	238.255.2.225:5999	无效			1117
2-226	238.255.2.226:5999	无效			1640
2-227	238.255.2.227:5999	无效			337
2-228	238.255.2.228:5999	无效			358
2-229	238.255.2.229:5999	无效			5810
2-230	238.255.2.230:5999	无效			5064
2-231	238.255.2.231:5999	无效			5075
2-232	238.255.2.232:5999	无效			5062
2-233	238.255.2.233:5999	无效			5896
2-234	238.255.2.234:5999	无效			5135
2-235	238.255.2.235:5999	无效			5138
2-236	238.255.2.236:5999	无效			5085
2-237	238.255.2.237:5999	无效			5881
2-238	238.255.2.238:5999	无效			5105
2-239	238.255.2.239:5999	无效			5083
2-240	238.255.2.240:5999	无效			5063
2-241	238.255.2.241:5999	无效			5914
2-242	238.255.2.242:5999	无效			5107
2-243	238.255.2.243:5999	无效			5119
2-244	238.255.2.244:5999	无效			5063
2-245	238.255.2.245:5999	无效			5897
2-246	238.255.2.246:5999	无效			5144
2-247	238.255.2.247:5999	无效			5150
2-248	238.255.2.248:5999	无效			5102
2-249	238.255.2.249:5999	无效			5915
2-250	238.255.2.250:5999	无效			5130
2-251	238.255.2.251:5999	无效			5129
2-252	238.255.2.252:5999	无效			5081
2-253	238.255.2.253:5999	无效			5916
2-254	238.255.2.254:5999	无效			5116
10-1	239.10.10.1:5599	无效			5146
10-5	239.10.10.5:5599	无效			5092
10-6	239.10.10.6:5599	无效			5872
10-7	239.10.10.7:5599	无效			5151
10-8	239.10.10.8:5599	无效			5152
