# 2026/05/14 20:35
辽宁卫视,rtp://239.33.5.1:22570
辽宁体育,rtp://239.33.4.237:22370
辽宁公共,rtp://239.33.4.122:21220
辽宁北方,rtp://239.33.5.202:24580
辽宁宜佳购物频道,rtp://239.33.4.239:22390
辽宁影视剧频道,rtp://239.33.4.238:22380
辽宁生活,rtp://239.33.5.201:24570
辽宁移动,rtp://239.33.4.235:22350
辽宁经济,rtp://239.33.4.121:21210
辽宁都市,rtp://239.33.4.236:22360
辽宁青少,rtp://239.33.4.233:22330
CCTV1,rtp://239.33.5.2:22580
CCTV2,rtp://239.33.5.3:22590
CCTV3,rtp://239.33.5.4:22600
CCTV4,rtp://239.33.5.40:22960
CCTV4欧洲,rtp://239.33.4.223:22230
CCTV4美洲,rtp://239.33.4.224:22240
CCTV5,rtp://239.33.5.5:22610
CCTV5+,rtp://239.33.5.6:22620
CCTV6,rtp://239.33.5.7:22630
CCTV7,rtp://239.33.5.73:23290
CCTV8,rtp://239.33.5.9:22650
CCTV9,rtp://239.33.5.10:22660
CCTV10,rtp://239.33.5.11:22670
CCTV11,rtp://239.33.4.11:20110
CCTV12,rtp://239.33.5.12:22680
CCTV13,rtp://239.33.4.13:20130
CCTV14,rtp://239.33.5.13:22690
CCTV15,rtp://239.33.4.15:20150
CCTV16,rtp://239.33.4.211:22110
CCTV16,rtp://239.33.5.102:23580
CCTV17,rtp://239.33.5.8:22640
CCTV风云音乐,rtp://239.33.4.94:20940
CCTV世界地理,rtp://239.33.4.91:20910
CCTV第一剧场,rtp://239.33.4.90:20900
CCTV风云剧场,rtp://239.33.4.92:20920
CCTV央视精品,rtp://239.33.4.95:20950
CCTV兵器科技,rtp://239.33.4.125:21250
CCTV风云足球,rtp://239.33.4.89:20890
CCTV高网频道,rtp://239.33.5.88:23440
CCTV怀旧剧场,rtp://239.33.4.93:20930
CCTV女性时尚,rtp://239.33.4.97:20970
CCTV央视台球,rtp://239.33.4.126:21260
CGTN,rtp://239.33.5.43:22990
CGTN西语,rtp://239.33.4.225:22250
CGTN法语,rtp://239.33.4.226:22260
CGTN阿语,rtp://239.33.4.227:22270
CGTN俄语,rtp://239.33.4.228:22280
中国教育1,rtp://239.33.5.45:23010
中国教育4,rtp://239.33.4.220:22200
湖南卫视,rtp://239.33.5.15:22710
浙江卫视,rtp://239.33.5.51:23070
江苏卫视,rtp://239.33.5.52:23080
北京卫视,rtp://239.33.5.21:22770
东方卫视,rtp://239.33.5.24:22800
安徽卫视,rtp://239.33.5.16:22720
广东卫视,rtp://239.33.5.19:22750
深圳卫视,rtp://239.33.5.20:22760
山东卫视,rtp://239.33.5.18:22740
天津卫视,rtp://239.33.5.22:22780
重庆卫视,rtp://239.33.5.41:22970
东南卫视,rtp://239.33.5.55:23110
河北卫视,rtp://239.33.4.217:22170
河南卫视,rtp://239.33.4.218:22180
湖北卫视,rtp://239.33.5.17:22730
陕西卫视,rtp://239.33.4.59:20590
四川卫视,rtp://239.33.5.42:22980
海南卫视,rtp://239.33.5.74:23300
甘肃卫视,rtp://239.33.4.64:20640
广西卫视,rtp://239.33.4.215:22150
贵州卫视,rtp://239.33.5.71:23270
黑龙江卫视,rtp://239.33.5.14:22700
江西卫视,rtp://239.33.4.216:22160
吉林卫视,rtp://239.33.5.72:23280
内蒙古卫视,rtp://239.33.4.60:20600
宁夏卫视,rtp://239.33.4.61:20610
山西卫视,rtp://239.33.4.46:20460
新疆卫视,rtp://239.33.4.63:20630
云南卫视,rtp://239.33.4.219:22190
青海卫视,rtp://239.33.4.62:20620
西藏卫视,rtp://239.33.4.65:20650
兵团卫视,rtp://239.33.4.68:20680
厦门卫视,rtp://239.33.4.56:20560
延边卫视,rtp://239.33.5.80:23360
山东教育卫视,rtp://239.33.5.79:23350
家庭影院,rtp://239.33.4.210:22100
北京纪实科教,rtp://239.33.5.25:22810
快乐垂钓,rtp://239.33.5.69:23250
茶频道,rtp://239.33.5.70:23260
金鹰纪实,rtp://239.33.5.26:22820
金鹰卡通,rtp://239.33.4.234:22340
梨园频道,rtp://239.33.4.212:22120
武术世界,rtp://239.33.4.213:22130
文物宝库,rtp://239.33.4.214:22140
书画频道,rtp://239.33.5.94:23500
国学频道,rtp://239.33.5.98:23540
法治天地,rtp://239.33.5.89:23450
生活时尚,rtp://239.33.5.91:23470
游戏风云,rtp://239.33.5.92:23480
动漫秀场,rtp://239.33.5.93:23490
乐游,rtp://239.33.5.96:23520
欢笑剧场,rtp://239.33.5.97:23530
金色学堂,rtp://239.33.5.90:23460
北京kaku少儿,rtp://239.33.4.240:22400
沈阳新闻,rtp://239.33.4.123:21230
西藏卫视（藏语）,rtp://239.33.5.78:23340
CCTV-4K超高清,rtp://239.33.4.252:22520
CCTV中视购物频道,rtp://239.33.4.231:22310
CGTN纪录,rtp://239.33.5.44:23000
city都市剧场,rtp://239.33.5.95:23510
中华特产频道,rtp://239.33.4.145:21450
优漫卡通频道,rtp://239.33.4.72:20720
优购物频道,rtp://239.33.4.242:22420
先锋乒羽频道,rtp://239.33.4.208:22080
农林卫视,rtp://239.33.4.69:20690
动作电影,rtp://239.33.4.207:22070
嘉佳卡通频道,rtp://239.33.4.73:20730
央广购物频道,rtp://239.33.4.130:21300
安多藏语综合频道,rtp://239.33.5.76:23320
家庭理财,rtp://239.33.4.24:20240
家有购物频道,rtp://239.33.4.120:21200
康巴藏语综合频道,rtp://239.33.5.77:23330
影迷电影,rtp://239.33.4.209:22090
新动漫,rtp://239.33.4.34:20340
炫动卡通频道,rtp://239.33.4.71:20710
电视指南频道,rtp://239.33.4.88:20880
百姓健康频道,rtp://239.33.4.230:22300
老故事频道,rtp://239.33.5.99:23550
聚鲨环球精选频道,rtp://239.33.4.232:22320
证券服务频道,rtp://239.33.4.222:22220
