# 20260607_180714_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
辽宁卫视	239.33.5.1:22570	无效			602
辽宁体育	239.33.4.237:22370	无效			554
辽宁公共	239.33.4.122:21220	无效			536
辽宁北方	239.33.5.202:24580	无效			589
辽宁宜佳购物频道	239.33.4.239:22390	无效			391
辽宁影视剧频道	239.33.4.238:22380	无效			700
辽宁生活	239.33.5.201:24570	无效			602
辽宁移动	239.33.4.235:22350	无效			465
辽宁经济	239.33.4.121:21210	无效			528
辽宁都市	239.33.4.236:22360	无效			558
辽宁青少	239.33.4.233:22330	无效			627
CCTV1	239.33.5.2:22580	无效			536
CCTV2	239.33.5.3:22590	无效			582
CCTV3	239.33.5.4:22600	无效			504
CCTV4	239.33.5.40:22960	无效			578
CCTV4欧洲	239.33.4.223:22230	无效			506
CCTV4美洲	239.33.4.224:22240	无效			507
CCTV5	239.33.5.5:22610	无效			599
CCTV5+	239.33.5.6:22620	无效			680
CCTV6	239.33.5.7:22630	无效			485
CCTV7	239.33.5.73:23290	无效			879
CCTV8	239.33.5.9:22650	无效			485
CCTV9	239.33.5.10:22660	无效			991
CCTV10	239.33.5.11:22670	无效			527
CCTV11	239.33.4.11:20110	无效			905
CCTV12	239.33.5.12:22680	无效			539
CCTV13	239.33.4.13:20130	无效			829
CCTV14	239.33.5.13:22690	无效			588
CCTV15	239.33.4.15:20150	无效			928
CCTV16	239.33.4.211:22110	无效			599
CCTV16	239.33.5.102:23580	无效			933
CCTV17	239.33.5.8:22640	无效			553
CCTV风云音乐	239.33.4.94:20940	无效			929
CCTV世界地理	239.33.4.91:20910	无效			593
CCTV第一剧场	239.33.4.90:20900	无效			996
CCTV风云剧场	239.33.4.92:20920	无效			433
CCTV央视精品	239.33.4.95:20950	无效			879
CCTV兵器科技	239.33.4.125:21250	无效			534
CCTV风云足球	239.33.4.89:20890	无效			1000
CCTV高网频道	239.33.5.88:23440	无效			494
CCTV怀旧剧场	239.33.4.93:20930	无效			5630
CCTV女性时尚	239.33.4.97:20970	无效			5055
CCTV央视台球	239.33.4.126:21260	无效			5733
CGTN	239.33.5.43:22990	无效			5057
CGTN西语	239.33.4.225:22250	无效			5715
CGTN法语	239.33.4.226:22260	无效			5049
CGTN阿语	239.33.4.227:22270	无效			5681
CGTN俄语	239.33.4.228:22280	无效			5052
中国教育1	239.33.5.45:23010	无效			5768
中国教育4	239.33.4.220:22200	无效			5132
湖南卫视	239.33.5.15:22710	无效			5739
浙江卫视	239.33.5.51:23070	无效			5068
江苏卫视	239.33.5.52:23080	无效			5757
北京卫视	239.33.5.21:22770	无效			5064
东方卫视	239.33.5.24:22800	无效			5820
安徽卫视	239.33.5.16:22720	无效			5155
广东卫视	239.33.5.19:22750	无效			5765
深圳卫视	239.33.5.20:22760	无效			5127
山东卫视	239.33.5.18:22740	无效			5815
天津卫视	239.33.5.22:22780	无效			5114
重庆卫视	239.33.5.41:22970	无效			5702
东南卫视	239.33.5.55:23110	无效			5066
河北卫视	239.33.4.217:22170	无效			5746
河南卫视	239.33.4.218:22180	无效			5129
湖北卫视	239.33.5.17:22730	无效			5764
陕西卫视	239.33.4.59:20590	无效			5235
