# 补充IP列表 - 原文件: 辽宁电信.txt
# 生成时间: 2026-05-28 17:16:21
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.33.4.x =====
# 已有IP: 70 个, 缺失IP: 184 个
# 规律: port = 10 × D + 20000

4-1,rtp://239.33.4.1:20010
4-2,rtp://239.33.4.2:20020
4-3,rtp://239.33.4.3:20030
4-4,rtp://239.33.4.4:20040
4-5,rtp://239.33.4.5:20050
4-6,rtp://239.33.4.6:20060
4-7,rtp://239.33.4.7:20070
4-8,rtp://239.33.4.8:20080
4-9,rtp://239.33.4.9:20090
4-10,rtp://239.33.4.10:20100
4-12,rtp://239.33.4.12:20120
4-14,rtp://239.33.4.14:20140
4-16,rtp://239.33.4.16:20160
4-17,rtp://239.33.4.17:20170
4-18,rtp://239.33.4.18:20180
4-19,rtp://239.33.4.19:20190
4-20,rtp://239.33.4.20:20200
4-21,rtp://239.33.4.21:20210
4-22,rtp://239.33.4.22:20220
4-23,rtp://239.33.4.23:20230
4-25,rtp://239.33.4.25:20250
4-26,rtp://239.33.4.26:20260
4-27,rtp://239.33.4.27:20270
4-28,rtp://239.33.4.28:20280
4-29,rtp://239.33.4.29:20290
4-30,rtp://239.33.4.30:20300
4-31,rtp://239.33.4.31:20310
4-32,rtp://239.33.4.32:20320
4-33,rtp://239.33.4.33:20330
4-35,rtp://239.33.4.35:20350
4-36,rtp://239.33.4.36:20360
4-37,rtp://239.33.4.37:20370
4-38,rtp://239.33.4.38:20380
4-39,rtp://239.33.4.39:20390
4-40,rtp://239.33.4.40:20400
4-41,rtp://239.33.4.41:20410
4-42,rtp://239.33.4.42:20420
4-43,rtp://239.33.4.43:20430
4-44,rtp://239.33.4.44:20440
4-45,rtp://239.33.4.45:20450
4-47,rtp://239.33.4.47:20470
4-48,rtp://239.33.4.48:20480
4-49,rtp://239.33.4.49:20490
4-50,rtp://239.33.4.50:20500
4-51,rtp://239.33.4.51:20510
4-52,rtp://239.33.4.52:20520
4-53,rtp://239.33.4.53:20530
4-54,rtp://239.33.4.54:20540
4-55,rtp://239.33.4.55:20550
4-57,rtp://239.33.4.57:20570
4-58,rtp://239.33.4.58:20580
4-66,rtp://239.33.4.66:20660
4-67,rtp://239.33.4.67:20670
4-70,rtp://239.33.4.70:20700
4-74,rtp://239.33.4.74:20740
4-75,rtp://239.33.4.75:20750
4-76,rtp://239.33.4.76:20760
4-77,rtp://239.33.4.77:20770
4-78,rtp://239.33.4.78:20780
4-79,rtp://239.33.4.79:20790
4-80,rtp://239.33.4.80:20800
4-81,rtp://239.33.4.81:20810
4-82,rtp://239.33.4.82:20820
4-83,rtp://239.33.4.83:20830
4-84,rtp://239.33.4.84:20840
4-85,rtp://239.33.4.85:20850
4-86,rtp://239.33.4.86:20860
4-87,rtp://239.33.4.87:20870
4-96,rtp://239.33.4.96:20960
4-98,rtp://239.33.4.98:20980
4-99,rtp://239.33.4.99:20990
4-100,rtp://239.33.4.100:21000
4-101,rtp://239.33.4.101:21010
4-102,rtp://239.33.4.102:21020
4-103,rtp://239.33.4.103:21030
4-104,rtp://239.33.4.104:21040
4-105,rtp://239.33.4.105:21050
4-106,rtp://239.33.4.106:21060
4-107,rtp://239.33.4.107:21070
4-108,rtp://239.33.4.108:21080
4-109,rtp://239.33.4.109:21090
4-110,rtp://239.33.4.110:21100
4-111,rtp://239.33.4.111:21110
4-112,rtp://239.33.4.112:21120
4-113,rtp://239.33.4.113:21130
4-114,rtp://239.33.4.114:21140
4-115,rtp://239.33.4.115:21150
4-116,rtp://239.33.4.116:21160
4-117,rtp://239.33.4.117:21170
4-118,rtp://239.33.4.118:21180
4-119,rtp://239.33.4.119:21190
4-124,rtp://239.33.4.124:21240
4-127,rtp://239.33.4.127:21270
4-128,rtp://239.33.4.128:21280
4-129,rtp://239.33.4.129:21290
4-131,rtp://239.33.4.131:21310
4-132,rtp://239.33.4.132:21320
4-133,rtp://239.33.4.133:21330
4-134,rtp://239.33.4.134:21340
4-135,rtp://239.33.4.135:21350
4-136,rtp://239.33.4.136:21360
4-137,rtp://239.33.4.137:21370
4-138,rtp://239.33.4.138:21380
4-139,rtp://239.33.4.139:21390
4-140,rtp://239.33.4.140:21400
4-141,rtp://239.33.4.141:21410
4-142,rtp://239.33.4.142:21420
4-143,rtp://239.33.4.143:21430
4-144,rtp://239.33.4.144:21440
4-146,rtp://239.33.4.146:21460
4-147,rtp://239.33.4.147:21470
4-148,rtp://239.33.4.148:21480
4-149,rtp://239.33.4.149:21490
4-150,rtp://239.33.4.150:21500
4-151,rtp://239.33.4.151:21510
4-152,rtp://239.33.4.152:21520
4-153,rtp://239.33.4.153:21530
4-154,rtp://239.33.4.154:21540
4-155,rtp://239.33.4.155:21550
4-156,rtp://239.33.4.156:21560
