# 20260831_211347_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
4-1	239.33.4.1:20010	无效			663
4-2	239.33.4.2:20020	无效			733
4-3	239.33.4.3:20030	无效			555
4-4	239.33.4.4:20040	无效			427
4-5	239.33.4.5:20050	无效			624
4-6	239.33.4.6:20060	无效			741
4-7	239.33.4.7:20070	无效			478
4-8	239.33.4.8:20080	无效			466
4-9	239.33.4.9:20090	无效			424
4-10	239.33.4.10:20100	无效			897
4-12	239.33.4.12:20120	无效			526
4-14	239.33.4.14:20140	无效			459
4-16	239.33.4.16:20160	无效			679
4-17	239.33.4.17:20170	无效			688
4-18	239.33.4.18:20180	无效			486
4-19	239.33.4.19:20190	无效			498
4-20	239.33.4.20:20200	无效			624
4-21	239.33.4.21:20210	无效			767
4-22	239.33.4.22:20220	无效			488
4-23	239.33.4.23:20230	无效			503
4-25	239.33.4.25:20250	无效			680
4-26	239.33.4.26:20260	无效			750
4-27	239.33.4.27:20270	无效			501
4-28	239.33.4.28:20280	无效			484
4-29	239.33.4.29:20290	无效			649
4-30	239.33.4.30:20300	无效			709
4-31	239.33.4.31:20310	无效			537
4-32	239.33.4.32:20320	无效			427
4-33	239.33.4.33:20330	无效			841
4-35	239.33.4.35:20350	无效			619
4-36	239.33.4.36:20360	无效			518
4-37	239.33.4.37:20370	无效			446
4-38	239.33.4.38:20380	无效			562
4-39	239.33.4.39:20390	无效			801
4-40	239.33.4.40:20400	无效			491
4-41	239.33.4.41:20410	无效			458
4-42	239.33.4.42:20420	无效			778
4-43	239.33.4.43:20430	无效			671
4-44	239.33.4.44:20440	无效			491
4-45	239.33.4.45:20450	无效			437
4-47	239.33.4.47:20470	无效			771
4-48	239.33.4.48:20480	无效			941
4-49	239.33.4.49:20490	无效			706
4-50	239.33.4.50:20500	无效			552
4-51	239.33.4.51:20510	无效			769
4-52	239.33.4.52:20520	无效			889
4-53	239.33.4.53:20530	无效			735
4-54	239.33.4.54:20540	无效			505
4-55	239.33.4.55:20550	无效			750
4-57	239.33.4.57:20570	无效			861
4-58	239.33.4.58:20580	无效			660
4-66	239.33.4.66:20660	无效			578
4-67	239.33.4.67:20670	无效			1311
4-70	239.33.4.70:20700	无效			730
4-74	239.33.4.74:20740	无效			757
4-75	239.33.4.75:20750	无效			432
4-76	239.33.4.76:20760	无效			1046
4-77	239.33.4.77:20770	无效			751
4-78	239.33.4.78:20780	无效			630
4-79	239.33.4.79:20790	无效			513
4-80	239.33.4.80:20800	无效			879
4-81	239.33.4.81:20810	无效			896
4-82	239.33.4.82:20820	无效			764
4-83	239.33.4.83:20830	无效			466
4-84	239.33.4.84:20840	无效			1086
4-85	239.33.4.85:20850	无效			807
4-86	239.33.4.86:20860	无效			705
4-87	239.33.4.87:20870	无效			530
4-96	239.33.4.96:20960	无效			1074
4-98	239.33.4.98:20980	无效			769
4-99	239.33.4.99:20990	无效			619
4-100	239.33.4.100:21000	无效			555
4-101	239.33.4.101:21010	无效			1044
4-102	239.33.4.102:21020	无效			789
4-103	239.33.4.103:21030	无效			611
4-104	239.33.4.104:21040	无效			372
4-105	239.33.4.105:21050	无效			1143
4-106	239.33.4.106:21060	无效			718
4-107	239.33.4.107:21070	无效			620
4-108	239.33.4.108:21080	无效			503
4-109	239.33.4.109:21090	无效			5685
4-110	239.33.4.110:21100	无效			5053
4-111	239.33.4.111:21110	无效			5054
4-112	239.33.4.112:21120	无效			5048
4-113	239.33.4.113:21130	无效			5828
4-114	239.33.4.114:21140	无效			5058
4-115	239.33.4.115:21150	无效			5061
4-116	239.33.4.116:21160	无效			5060
4-117	239.33.4.117:21170	无效			5829
4-118	239.33.4.118:21180	无效			5058
4-119	239.33.4.119:21190	无效			5060
4-124	239.33.4.124:21240	无效			5055
4-127	239.33.4.127:21270	无效			5713
4-128	239.33.4.128:21280	无效			5049
4-129	239.33.4.129:21290	无效			5049
4-131	239.33.4.131:21310	无效			5048
4-132	239.33.4.132:21320	无效			5809
4-133	239.33.4.133:21330	无效			5057
4-134	239.33.4.134:21340	无效			5053
4-135	239.33.4.135:21350	无效			5051
4-136	239.33.4.136:21360	无效			5768
4-137	239.33.4.137:21370	无效			5054
4-138	239.33.4.138:21380	无效			5053
4-139	239.33.4.139:21390	无效			5046
4-140	239.33.4.140:21400	无效			5735
4-141	239.33.4.141:21410	无效			5047
4-142	239.33.4.142:21420	无效			5046
4-143	239.33.4.143:21430	无效			5046
4-144	239.33.4.144:21440	无效			5941
4-146	239.33.4.146:21460	无效			5081
4-147	239.33.4.147:21470	无效			5059
4-148	239.33.4.148:21480	无效			5050
4-149	239.33.4.149:21490	无效			5954
4-150	239.33.4.150:21500	无效			5088
4-151	239.33.4.151:21510	无效			5058
4-152	239.33.4.152:21520	无效			5051
4-153	239.33.4.153:21530	无效			5807
4-154	239.33.4.154:21540	无效			5063
4-155	239.33.4.155:21550	无效			5053
4-156	239.33.4.156:21560	无效			5056
4-157	239.33.4.157:21570	无效			5911
4-158	239.33.4.158:21580	无效			5112
4-159	239.33.4.159:21590	无效			5076
4-160	239.33.4.160:21600	无效			5051
4-161	239.33.4.161:21610	无效			5826
4-162	239.33.4.162:21620	无效			5059
4-163	239.33.4.163:21630	无效			5054
4-164	239.33.4.164:21640	无效			5051
4-165	239.33.4.165:21650	无效			5878
4-166	239.33.4.166:21660	无效			5056
4-167	239.33.4.167:21670	无效			5047
4-168	239.33.4.168:21680	无效			5045
4-169	239.33.4.169:21690	无效			5950
4-170	239.33.4.170:21700	无效			5101
4-171	239.33.4.171:21710	无效			5079
4-172	239.33.4.172:21720	无效			5057
4-173	239.33.4.173:21730	无效			5941
4-174	239.33.4.174:21740	无效			5071
4-175	239.33.4.175:21750	无效			5059
4-176	239.33.4.176:21760	无效			5062
4-177	239.33.4.177:21770	无效			5887
4-178	239.33.4.178:21780	无效			5071
4-179	239.33.4.179:21790	无效			5055
4-180	239.33.4.180:21800	无效			5050
4-181	239.33.4.181:21810	无效			6013
4-182	239.33.4.182:21820	无效			5102
4-183	239.33.4.183:21830	无效			5074
4-184	239.33.4.184:21840	无效			5061
4-185	239.33.4.185:21850	无效			5837
4-186	239.33.4.186:21860	无效			5058
4-187	239.33.4.187:21870	无效			5050
4-188	239.33.4.188:21880	无效			5053
4-189	239.33.4.189:21890	无效			5877
4-190	239.33.4.190:21900	无效			5060
4-191	239.33.4.191:21910	无效			5053
4-192	239.33.4.192:21920	无效			5049
4-193	239.33.4.193:21930	无效			5915
4-194	239.33.4.194:21940	无效			5078
4-195	239.33.4.195:21950	无效			5068
4-196	239.33.4.196:21960	无效			5054
4-197	239.33.4.197:21970	无效			1177
4-198	239.33.4.198:21980	无效			726
4-199	239.33.4.199:21990	无效			597
4-200	239.33.4.200:22000	无效			505
4-201	239.33.4.201:22010	无效			1193
4-202	239.33.4.202:22020	无效			685
4-203	239.33.4.203:22030	无效			652
