# 补充IP列表 - 原文件: 辽宁联通.txt
# 生成时间: 2026-05-28 17:17:03
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 232.0.0.x =====
# 已有IP: 132 个, 缺失IP: 122 个
# 规律: 固定端口 1234

0-1,rtp://232.0.0.1:1234
0-2,rtp://232.0.0.2:1234
0-3,rtp://232.0.0.3:1234
0-4,rtp://232.0.0.4:1234
0-5,rtp://232.0.0.5:1234
0-7,rtp://232.0.0.7:1234
0-9,rtp://232.0.0.9:1234
0-10,rtp://232.0.0.10:1234
0-11,rtp://232.0.0.11:1234
0-12,rtp://232.0.0.12:1234
0-13,rtp://232.0.0.13:1234
0-14,rtp://232.0.0.14:1234
0-16,rtp://232.0.0.16:1234
0-17,rtp://232.0.0.17:1234
0-20,rtp://232.0.0.20:1234
0-21,rtp://232.0.0.21:1234
0-22,rtp://232.0.0.22:1234
0-23,rtp://232.0.0.23:1234
0-31,rtp://232.0.0.31:1234
0-32,rtp://232.0.0.32:1234
0-33,rtp://232.0.0.33:1234
0-36,rtp://232.0.0.36:1234
0-37,rtp://232.0.0.37:1234
0-39,rtp://232.0.0.39:1234
0-41,rtp://232.0.0.41:1234
0-42,rtp://232.0.0.42:1234
0-44,rtp://232.0.0.44:1234
0-46,rtp://232.0.0.46:1234
0-54,rtp://232.0.0.54:1234
0-55,rtp://232.0.0.55:1234
0-61,rtp://232.0.0.61:1234
0-62,rtp://232.0.0.62:1234
0-66,rtp://232.0.0.66:1234
0-68,rtp://232.0.0.68:1234
0-69,rtp://232.0.0.69:1234
0-70,rtp://232.0.0.70:1234
0-71,rtp://232.0.0.71:1234
0-72,rtp://232.0.0.72:1234
0-73,rtp://232.0.0.73:1234
0-75,rtp://232.0.0.75:1234
0-77,rtp://232.0.0.77:1234
0-78,rtp://232.0.0.78:1234
0-79,rtp://232.0.0.79:1234
0-81,rtp://232.0.0.81:1234
0-83,rtp://232.0.0.83:1234
0-84,rtp://232.0.0.84:1234
0-85,rtp://232.0.0.85:1234
0-87,rtp://232.0.0.87:1234
0-88,rtp://232.0.0.88:1234
0-89,rtp://232.0.0.89:1234
0-92,rtp://232.0.0.92:1234
0-94,rtp://232.0.0.94:1234
0-96,rtp://232.0.0.96:1234
0-97,rtp://232.0.0.97:1234
0-99,rtp://232.0.0.99:1234
0-100,rtp://232.0.0.100:1234
0-106,rtp://232.0.0.106:1234
0-113,rtp://232.0.0.113:1234
0-120,rtp://232.0.0.120:1234
0-121,rtp://232.0.0.121:1234
0-142,rtp://232.0.0.142:1234
0-144,rtp://232.0.0.144:1234
0-147,rtp://232.0.0.147:1234
0-153,rtp://232.0.0.153:1234
0-158,rtp://232.0.0.158:1234
0-166,rtp://232.0.0.166:1234
0-167,rtp://232.0.0.167:1234
0-174,rtp://232.0.0.174:1234
0-175,rtp://232.0.0.175:1234
0-176,rtp://232.0.0.176:1234
0-177,rtp://232.0.0.177:1234
0-183,rtp://232.0.0.183:1234
0-184,rtp://232.0.0.184:1234
0-189,rtp://232.0.0.189:1234
0-190,rtp://232.0.0.190:1234
0-191,rtp://232.0.0.191:1234
0-192,rtp://232.0.0.192:1234
0-193,rtp://232.0.0.193:1234
0-194,rtp://232.0.0.194:1234
0-195,rtp://232.0.0.195:1234
0-196,rtp://232.0.0.196:1234
0-199,rtp://232.0.0.199:1234
0-200,rtp://232.0.0.200:1234
0-204,rtp://232.0.0.204:1234
0-205,rtp://232.0.0.205:1234
0-208,rtp://232.0.0.208:1234
0-209,rtp://232.0.0.209:1234
0-210,rtp://232.0.0.210:1234
0-211,rtp://232.0.0.211:1234
0-216,rtp://232.0.0.216:1234
0-217,rtp://232.0.0.217:1234
0-218,rtp://232.0.0.218:1234
0-219,rtp://232.0.0.219:1234
0-220,rtp://232.0.0.220:1234
0-221,rtp://232.0.0.221:1234
0-222,rtp://232.0.0.222:1234
0-223,rtp://232.0.0.223:1234
0-224,rtp://232.0.0.224:1234
0-226,rtp://232.0.0.226:1234
0-227,rtp://232.0.0.227:1234
0-228,rtp://232.0.0.228:1234
0-229,rtp://232.0.0.229:1234
0-231,rtp://232.0.0.231:1234
0-232,rtp://232.0.0.232:1234
0-233,rtp://232.0.0.233:1234
0-234,rtp://232.0.0.234:1234
0-235,rtp://232.0.0.235:1234
0-236,rtp://232.0.0.236:1234
0-237,rtp://232.0.0.237:1234
0-242,rtp://232.0.0.242:1234
0-243,rtp://232.0.0.243:1234
0-244,rtp://232.0.0.244:1234
0-245,rtp://232.0.0.245:1234
0-246,rtp://232.0.0.246:1234
0-247,rtp://232.0.0.247:1234
0-248,rtp://232.0.0.248:1234
0-249,rtp://232.0.0.249:1234
0-250,rtp://232.0.0.250:1234
0-251,rtp://232.0.0.251:1234
0-252,rtp://232.0.0.252:1234
0-253,rtp://232.0.0.253:1234
0-254,rtp://232.0.0.254:1234

# ===== 总计补充: 122 个IP =====
