# 20260523_114630_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
重庆卫视	235.254.196.249:1268	有效		h264	4315
重庆卫视	235.254.197.237:7980	有效		h264	1969
重庆卫视	235.254.198.34:1412	有效	720x576	h264	2921
重庆少儿频道	235.254.196.214:1128	有效	480x576	h264	2300
重庆影视剧频道	235.254.198.180:7980	有效		h264	5207
重庆文体娱乐	235.254.198.187:7980	有效		h264	1926
重庆新农村	235.254.198.186:7980	有效		h264	2213
重庆新闻	235.254.196.208:1104	有效	720x576	h264	2995
重庆新闻频道	235.254.196.199:7980	无效			3707
重庆汽摩频道	235.254.196.221:1156	有效	528x576	h264	2495
重庆社会与法	235.254.198.181:7980	有效	1920x1080	h264	2352
重庆移动频道	235.254.196.217:1140	有效	720x576	h264	4103
重庆红叶频道	235.254.196.215:1132	有效		h264	2213
重庆红岩文化	235.254.198.182:7980	有效	1920x1080	h264	2311
CCTV-1综合	235.254.198.51:1480	有效	1920x1080	h264	2795
CCTV-1综合	235.254.199.147:7980	无效			99999
CCTV-1综合	235.254.199.51:7980	有效	1920x1080	h264	12190
CCTV1	235.254.198.1:1280	无效			5483
CCTV-2财经	235.254.198.52:1484	有效		h264	3568
CCTV-2财经	235.254.199.52:7980	有效	1920x1080	h264	4379
CCTV2	235.254.198.2:1284	有效		h264	1422
CCTV-3综艺	235.254.198.53:1488	有效		h264	2934
CCTV-3综艺	235.254.199.53:7980	无效			4016
CCTV3	235.254.198.141:1842	无效			6146
CCTV-4中文国际	235.254.198.183:7980	无效			15605
CCTV-4中文国际	235.254.199.183:7980	无效			5886
CCTV4	235.254.198.3:1288	无效			4133
CCTV-5体育	235.254.198.54:1492	无效			99999
CCTV-5体育	235.254.199.146:7980	有效		h264	2953
CCTV-5体育	235.254.199.54:7980	无效			10672
CCTV5	235.254.198.142:1846	无效			2043
CCTV-5+体育赛事	235.254.198.122:1764	有效		h264	2609
CCTV-5+体育赛事	235.254.199.121:7980	有效		h264	2782
CCTV-6电影	235.254.198.55:1496	无效			7639
CCTV-6电影	235.254.199.55:7980	无效			5899
CCTV6	235.254.198.143:1852	有效	720x576	h264	4465
CCTV-7国防军事	235.254.198.56:1500	无效			5313
CCTV-7国防军事	235.254.199.56:7980	无效			18933
CCTV7	235.254.198.4:1292	无效			5877
CCTV-8电视剧	235.254.198.57:1504	有效		h264	1991
CCTV-8电视剧	235.254.199.57:7980	有效	1920x1080	h264	1881
CCTV-8电视剧	235.254.199.92:7980	有效	1920x1080	h264	2445
CCTV8	235.254.198.144:1856	无效			99999
CCTV-9纪录	235.254.198.58:1508	无效			2592
CCTV-9纪录	235.254.199.58:7980	有效		h264	1946
CCTV9	235.254.198.5:1296	有效	720x576	h264	5821
CCTV-10科教	235.254.198.59:1512	无效			5639
CCTV-10科教	235.254.199.59:7980	无效			8567
CCTV10	235.254.198.6:1300	有效	720x576	h264	2657
CCTV-11戏曲	235.254.197.161:7980	无效			99999
CCTV-11戏曲	235.254.198.7:1304	无效			8686
CCTV-12社会与法	235.254.198.60:1516	有效	1920x1080	h264	7497
CCTV-12社会与法	235.254.199.60:7980	有效	1920x1080	h264	5672
CCTV12	235.254.198.8:1308	无效			9988
CCTV-13新闻	235.254.197.162:7980	有效	1920x1080	h264	2363
CCTV-13新闻	235.254.198.9:1312	有效	720x576	h264	1910
CCTV-14少儿	235.254.198.61:1520	无效			4905
CCTV-14少儿	235.254.199.61:7980	无效			2032
CCTV14	235.254.198.10:1316	无效			99999
CCTV-15音乐	235.254.197.163:7980	无效			5833
CCTV-15音乐	235.254.198.11:1320	无效			99999
CCTV-17农业农村	235.254.198.130:7980	有效	1920x1080	h264	2137
CCTV-17农业农村	235.254.199.130:7980	有效	1920x1080	h264	2143
CHC动作电影	235.254.198.247:7980	无效			3856
CHC动作电影	235.254.199.247:7980	无效			7492
CHC家庭影院	235.254.198.246:7980	有效		h264	6903
CHC家庭影院	235.254.199.246:7980	有效		h264	1929
风云音乐	235.254.199.208:7980	无效			8503
世界地理	235.254.199.194:7980	无效			5901
第一剧场	235.254.199.211:7980	无效			99999
风云剧场	235.254.199.207:7980	无效			99999
兵器科技	235.254.199.202:7980	无效			3035
