# 20260727_185950_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
196-1	235.254.196.1:1	无效			99999
196-2	235.254.196.2:1	无效			99999
196-3	235.254.196.3:1	无效			99999
196-4	235.254.196.4:1	无效			8556
196-5	235.254.196.5:1	无效			99999
196-6	235.254.196.6:1	无效			99999
196-7	235.254.196.7:1	无效			99999
196-8	235.254.196.8:1	无效			7972
196-9	235.254.196.9:1	无效			99999
196-10	235.254.196.10:1	无效			99999
196-11	235.254.196.11:1	无效			99999
196-12	235.254.196.12:1	无效			7262
196-13	235.254.196.13:1	无效			99999
196-14	235.254.196.14:1	无效			99999
196-15	235.254.196.15:1	无效			99999
196-16	235.254.196.16:1	无效			7793
196-17	235.254.196.17:1	无效			99999
196-18	235.254.196.18:1	无效			99999
196-19	235.254.196.19:1	无效			99999
196-20	235.254.196.20:1	无效			7760
196-21	235.254.196.21:1	无效			5875
196-22	235.254.196.22:1	无效			5885
196-23	235.254.196.23:1	无效			5889
196-24	235.254.196.24:1	无效			5913
196-25	235.254.196.25:1	无效			5858
196-26	235.254.196.26:1	无效			5892
196-27	235.254.196.27:1	无效			5902
196-28	235.254.196.28:1	无效			99999
196-29	235.254.196.29:1	无效			99999
196-30	235.254.196.30:1	无效			99999
196-31	235.254.196.31:1	无效			8526
196-32	235.254.196.32:1	无效			99999
196-33	235.254.196.33:1	无效			99999
196-34	235.254.196.34:1	无效			99999
196-35	235.254.196.35:1	无效			8069
196-36	235.254.196.36:1	无效			99999
196-37	235.254.196.37:1	无效			99999
196-38	235.254.196.38:1	无效			99999
196-39	235.254.196.39:1	无效			7210
196-40	235.254.196.40:1	无效			99999
196-41	235.254.196.41:1	无效			99999
196-42	235.254.196.42:1	无效			99999
196-43	235.254.196.43:1	无效			7804
196-44	235.254.196.44:1	无效			99999
196-45	235.254.196.45:1	无效			99999
196-46	235.254.196.46:1	无效			99999
196-47	235.254.196.47:1	无效			7735
196-48	235.254.196.48:1	无效			5891
196-49	235.254.196.49:1	无效			5892
196-50	235.254.196.50:1	无效			5907
196-51	235.254.196.51:1	无效			5864
196-52	235.254.196.52:1	无效			5885
196-53	235.254.196.53:1	无效			5885
196-54	235.254.196.54:1	无效			5893
196-55	235.254.196.55:1	无效			99999
196-56	235.254.196.56:1	无效			99999
196-57	235.254.196.57:1	无效			99999
196-58	235.254.196.58:1	无效			8515
196-59	235.254.196.59:1	无效			99999
196-60	235.254.196.60:1	无效			99999
196-61	235.254.196.61:1	无效			99999
196-62	235.254.196.62:1	无效			7994
196-63	235.254.196.63:1	无效			99999
196-64	235.254.196.64:1	无效			99999
196-65	235.254.196.65:1	无效			99999
196-66	235.254.196.66:1	无效			7316
196-67	235.254.196.67:1	无效			99999
196-68	235.254.196.68:1	无效			99999
196-69	235.254.196.69:1	无效			99999
196-70	235.254.196.70:1	无效			7735
196-71	235.254.196.71:1	无效			99999
196-72	235.254.196.72:1	无效			99999
196-73	235.254.196.73:1	无效			99999
196-74	235.254.196.74:1	无效			7745
196-75	235.254.196.75:1	无效			5880
196-76	235.254.196.76:1	无效			5892
196-77	235.254.196.77:1	无效			5867
196-78	235.254.196.78:1	无效			5886
196-79	235.254.196.79:1	无效			5903
196-80	235.254.196.80:1	无效			5890
196-81	235.254.196.81:1	无效			5870
196-82	235.254.196.82:1	无效			99999
196-83	235.254.196.83:1	无效			99999
196-84	235.254.196.84:1	无效			99999
196-85	235.254.196.85:48	无效			8507
196-86	235.254.196.86:118	无效			99999
196-87	235.254.196.87:188	无效			99999
196-88	235.254.196.88:257	无效			99999
196-89	235.254.196.89:327	无效			8063
196-90	235.254.196.90:396	无效			99999
196-91	235.254.196.91:466	无效			99999
196-92	235.254.196.92:535	无效			99999
196-93	235.254.196.93:605	无效			7237
196-94	235.254.196.94:675	无效			99999
196-95	235.254.196.95:744	无效			99999
196-96	235.254.196.96:814	无效			99999
196-97	235.254.196.97:883	无效			7786
196-98	235.254.196.98:953	无效			99999
196-99	235.254.196.99:1022	无效			99999
196-100	235.254.196.100:1092	无效			99999
196-102	235.254.196.102:1231	无效			7741
196-103	235.254.196.103:1301	无效			5915
196-104	235.254.196.104:1370	无效			5880
196-105	235.254.196.105:1440	无效			5900
196-106	235.254.196.106:1509	无效			5858
196-107	235.254.196.107:1579	无效			5633
196-108	235.254.196.108:1649	无效			5633
196-109	235.254.196.109:1718	无效			5900
196-110	235.254.196.110:1788	无效			99999
196-111	235.254.196.111:1857	无效			99999
196-112	235.254.196.112:1927	无效			99999
196-113	235.254.196.113:1996	无效			8488
196-114	235.254.196.114:2066	无效			99999
196-115	235.254.196.115:2136	无效			99999
196-116	235.254.196.116:2205	无效			99999
196-117	235.254.196.117:2275	无效			8008
196-118	235.254.196.118:2344	无效			99999
196-119	235.254.196.119:2414	无效			99999
196-120	235.254.196.120:2483	无效			99999
196-121	235.254.196.121:2553	无效			7276
196-122	235.254.196.122:2623	无效			99999
196-123	235.254.196.123:2692	无效			99999
196-124	235.254.196.124:2762	无效			99999
196-125	235.254.196.125:2831	无效			7714
196-126	235.254.196.126:2901	无效			99999
196-127	235.254.196.127:2970	无效			99999
196-128	235.254.196.128:3040	无效			99999
196-129	235.254.196.129:3110	无效			7791
196-130	235.254.196.130:3179	无效			5899
196-131	235.254.196.131:3249	无效			5874
196-132	235.254.196.132:3318	无效			5887
196-133	235.254.196.133:3388	无效			5873
196-134	235.254.196.134:3457	无效			5884
196-135	235.254.196.135:3527	无效			5635
196-136	235.254.196.136:3597	无效			5884
196-137	235.254.196.137:3666	无效			99999
196-138	235.254.196.138:3736	无效			99999
196-139	235.254.196.139:3805	无效			99999
196-140	235.254.196.140:3875	无效			8531
196-141	235.254.196.141:3944	无效			99999
196-142	235.254.196.142:4014	无效			99999
196-143	235.254.196.143:4084	无效			99999
196-144	235.254.196.144:4153	无效			8029
196-145	235.254.196.145:4223	无效			99999
196-146	235.254.196.146:4292	无效			99999
196-147	235.254.196.147:4362	无效			99999
196-148	235.254.196.148:4431	无效			7237
196-149	235.254.196.149:4501	无效			99999
196-150	235.254.196.150:4571	无效			99999
196-151	235.254.196.151:4640	无效			99999
196-152	235.254.196.152:4710	无效			7714
196-153	235.254.196.153:4779	无效			99999
196-154	235.254.196.154:4849	无效			99999
196-155	235.254.196.155:4918	无效			99999
196-156	235.254.196.156:4988	无效			7774
196-157	235.254.196.157:5058	无效			5868
196-158	235.254.196.158:5127	无效			5887
196-159	235.254.196.159:5197	无效			5894
196-160	235.254.196.160:5266	无效			5900
196-161	235.254.196.161:5336	无效			5885
196-162	235.254.196.162:5405	无效			5884
196-163	235.254.196.163:5475	无效			5872
196-164	235.254.196.164:5545	无效			99999
196-165	235.254.196.165:5614	无效			99999
196-166	235.254.196.166:5684	无效			99999
196-167	235.254.196.167:5753	无效			8488
196-168	235.254.196.168:5823	无效			99999
196-169	235.254.196.169:5892	无效			99999
196-170	235.254.196.170:5962	无效			99999
196-171	235.254.196.171:6032	无效			8030
196-172	235.254.196.172:6101	无效			99999
196-173	235.254.196.173:6171	无效			99999
196-174	235.254.196.174:6240	无效			99999
196-175	235.254.196.175:6310	无效			7289
196-176	235.254.196.176:6379	无效			99999
196-177	235.254.196.177:6449	无效			99999
196-178	235.254.196.178:6519	无效			99999
196-179	235.254.196.179:6588	无效			7730
196-180	235.254.196.180:6658	无效			99999
196-181	235.254.196.181:6727	无效			99999
196-182	235.254.196.182:6797	无效			99999
196-183	235.254.196.183:6866	无效			7825
196-184	235.254.196.184:6936	无效			5870
196-185	235.254.196.185:7006	无效			5902
196-186	235.254.196.186:7075	无效			5876
196-187	235.254.196.187:7145	无效			5880
196-188	235.254.196.188:7214	无效			5889
196-189	235.254.196.189:7284	无效			5883
196-190	235.254.196.190:7353	无效			5629
196-191	235.254.196.191:7423	无效			99999
196-192	235.254.196.192:7493	无效			99999
196-193	235.254.196.193:7562	无效			99999
196-194	235.254.196.194:7632	无效			8509
196-195	235.254.196.195:7701	无效			99999
196-196	235.254.196.196:7771	无效			99999
196-197	235.254.196.197:7840	无效			99999
196-198	235.254.196.198:7910	无效			7983
196-200	235.254.196.200:55210	无效			99999
196-201	235.254.196.201:54109	无效			99999
196-202	235.254.196.202:53008	无效			99999
196-203	235.254.196.203:51907	无效			7206
196-205	235.254.196.205:49705	无效			99999
196-206	235.254.196.206:48604	无效			99999
196-207	235.254.196.207:47504	无效			99999
196-209	235.254.196.209:1108	有效	480x576	h264	5792
196-210	235.254.196.210:1112	有效	480x576	h264	5719
196-211	235.254.196.211:1116	有效	528x576	h264	1496
196-212	235.254.196.212:1120	有效	528x576	h264	6513
196-213	235.254.196.213:1124	有效	528x576	h264	5665
196-216	235.254.196.216:1136	无效			7765
196-219	235.254.196.219:34293	无效			99999
196-220	235.254.196.220:33192	无效			99999
196-222	235.254.196.222:30991	无效			99999
196-223	235.254.196.223:29890	无效			7762
196-224	235.254.196.224:28789	无效			5875
196-225	235.254.196.225:27688	无效			5897
196-226	235.254.196.226:26587	无效			5875
196-227	235.254.196.227:25486	无效			5890
196-228	235.254.196.228:24386	无效			5880
196-229	235.254.196.229:23285	无效			5633
196-230	235.254.196.230:22184	无效			5902
196-238	235.254.196.238:13377	无效			99999
196-243	235.254.196.243:7873	无效			99999
196-244	235.254.196.244:6772	无效			99999
196-245	235.254.196.245:5671	无效			8490
196-246	235.254.196.246:4570	无效			99999
196-247	235.254.196.247:3469	无效			99999
196-248	235.254.196.248:2368	无效			99999
196-250	235.254.196.250:167	无效			8010
196-251	235.254.196.251:1	无效			99999
