# 20260622_203356_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
重庆卫视	225.0.4.187:7980	有效			0
重庆少儿频道	225.0.4.191:7980	有效			0
重庆影视剧频道	225.0.4.192:7980	有效			0
重庆文体娱乐	225.0.4.194:7980	有效	1920x1080	h264	4313
重庆新农村频道	225.0.4.189:7980	有效			0
重庆新闻频道	225.0.4.188:7980	有效	1920x1080	h264	6117
重庆时红岩文化	225.0.4.196:7980	有效	1920x1080	h264	11608
重庆汽摩频道	225.0.4.195:7980	有效	1920x1080	h264	6492
重庆社会与法	225.0.4.190:7980	有效			0
重庆移动HD	225.0.4.215:7980	无效			5131
重庆移动频道	225.0.4.68:7980	无效			5084
重庆红叶频道	225.0.4.193:7980	有效	1920x1080	h264	6293
CCTV1	225.0.4.74:7980	有效			0
CCTV2	225.0.4.132:7980	有效	1920x1080	h264	6817
CCTV3	225.0.4.142:7980	有效			0
CCTV4	225.0.4.176:7980	有效			0
CCTV5	225.0.4.143:7980	有效			0
CCTV5+	225.0.4.73:7980	有效			0
CCTV6	225.0.4.144:7980	有效			0
CCTV7	225.0.4.127:7980	有效			0
CCTV8	225.0.4.137:7980	有效			0
CCTV9	225.0.4.131:7980	有效			0
CCTV10	225.0.4.130:7980	有效			0
CCTV11	225.0.4.218:7980	有效			0
CCTV12	225.0.4.129:7980	有效	1920x1080	h264	6776
CCTV13	225.0.4.219:7980	有效			0
CCTV14	225.0.4.128:7980	有效			0
CCTV15	225.0.4.220:7980	有效			0
CCTV17	225.0.4.179:7980	有效			0
CGTN	225.0.4.12:7980	有效			0
湖南卫视	225.0.4.75:7980	有效		h264	1794
浙江卫视	225.0.4.81:7980	有效	1920x1080	h264	8229
江苏卫视	225.0.4.79:7980	有效	1920x1080	h264	6930
北京卫视	225.0.4.78:7980	有效	1920x1080	h264	9088
东方卫视	225.0.4.80:7980	有效	1920x1080	h264	6281
安徽卫视	225.0.4.133:7980	有效			0
广东卫视	225.0.4.84:7980	有效			0
深圳卫视	225.0.4.202:7980	有效	1920x1080	h264	6929
辽宁卫视	225.0.4.98:7980	有效			0
山东卫视	225.0.4.199:7980	有效			0
天津卫视	225.0.4.82:7980	有效			0
东南卫视	225.0.4.200:7980	有效			0
河北卫视	225.0.4.174:7980	有效			0
四川卫视	225.0.4.204:7980	有效			0
贵州卫视	225.0.4.175:7980	有效			0
黑龙江卫视	225.0.4.201:7980	有效			0
江西卫视	225.0.4.203:7980	有效	1920x1080	h264	6319
北京卫视4K	225.0.4.122:7980	有效			0
北京卫视4K	225.0.4.123:7980	有效			0
江苏卫视4K	225.0.4.104:7980	有效	3840x2160	hevc	9451
浙江卫视4K	225.0.4.105:7980	有效	3840x2160	hevc	6116
山东卫视4K	225.0.4.106:7980	有效		hevc	1794
湖南卫视4K	225.0.4.107:7980	有效	3840x2160	hevc	5721
广东卫视4K	225.0.4.102:7980	有效	3840x2160	hevc	5924
四川卫视4K	225.0.4.108:7980	有效		hevc	6064
深圳卫视4K	225.0.4.101:7980	有效	3840x2160	hevc	6393
东方卫视4K	225.0.4.103:7980	有效	3840x2160	hevc	5499
经典电影	225.0.4.48:7980	有效	1920x1080	h264	5763
动作影院	225.0.4.170:7980	有效	1920x1080	h264	5659
喜剧影院	225.0.4.169:7980	有效	1920x1080	h264	2043
家庭影院	225.0.4.171:7980	有效	1920x1080	h264	5573
星影	225.0.4.172:7980	有效	1920x1080	h264	9476
古装剧场	225.0.4.147:7980	有效	1920x1080	h264	5665
军旅剧场	225.0.4.146:7980	有效			0
山西卫视SD	225.0.4.37:7980	有效			0
内蒙古卫视SD	225.0.4.38:7980	有效			0
吉林卫视SD	225.0.4.35:7980	有效			0
山东教育卫视HD	225.0.4.183:7980	有效			0
河南卫视SD	225.0.4.124:7980	有效			0
湖北卫视HD	225.0.4.217:7980	有效			0
广西卫视SD	225.0.4.34:7980	有效			0
云南卫视SD	225.0.4.21:7980	有效	720x576	h264	5481
西藏卫视HD	225.0.4.67:7980	有效			0
陕西卫视SD	225.0.4.36:7980	有效	720x576	h264	5634
甘肃卫视HD	225.0.4.181:7980	有效	1920x1080	h264	10244
青海卫视SD	225.0.4.39:7980	有效			0
宁夏卫视SD	225.0.4.41:7980	有效	720x576	h264	1799
新疆卫视HD	225.0.4.60:7980	有效	1920x1080	h264	1767
CETV1HD	225.0.4.186:7980	有效	1920x1080	h264	5642
CETV4HD	225.0.4.182:7980	有效			0
CHC动作电影HD	225.0.4.229:7980	有效	1920x1080	h264	10314
CHC家庭影院HD	225.0.4.228:7980	有效			0
CHC影迷电影HD	225.0.4.230:7980	有效	1920x1080	h264	6104
CQTV娱乐	225.0.4.65:7980	有效	528x576	h264	5751
CQTV少儿	225.0.4.71:7980	有效	480x576	h264	5858
CQTV影视	225.0.4.62:7980	有效			0
CQTV新农村	225.0.4.70:7980	有效			0
CQTV新闻	225.0.4.59:7980	有效			0
CQTV时尚生活	225.0.4.69:7980	有效			0
CQTV汽摩	225.0.4.61:7980	有效	528x576	h264	5628
CQTV社会与法	225.0.4.64:7980	有效	480x576	h264	5644
CQTV科教	225.0.4.63:7980	有效	528x576	h264	5319
IPTV3综艺	225.0.4.51:7980	有效	1920x1080	h264	5767
IPTV5体育	225.0.4.53:7980	有效			0
IPTV地理	225.0.4.149:7980	有效			0
IPTV爱生活	225.0.4.164:7980	无效			5107
IPTV相声小品	225.0.4.56:7980	有效	1920x1080	h264	7984
IPTV解密	225.0.4.153:7980	有效	1920x1080	h264	5528
IPTV野外	225.0.4.57:7980	有效			0
中国交通HD	225.0.4.125:7980	无效			5104
中学生HD	225.0.4.184:7980	有效			0
优优宝贝HD	225.0.4.126:7980	有效			0
光影(轮播频道)HD	225.0.4.162:7980	有效			0
全纪实	225.0.4.113:7980	无效			5120
兵团卫视HD	225.0.4.72:7980	有效	1920x1080	h264	6884
军事(轮播频道)HD	225.0.4.154:7980	有效	1920x1080	h264	3123
动漫秀场HD	225.0.4.236:7980	有效			0
动画(轮播频道)HD	225.0.4.158:7980	有效	1920x1080	h264	10447
华数武侠剧场	225.0.4.168:7980	有效	1920x1080	h264	9345
华数电影	225.0.4.50:7980	有效			0
华数电影4K	225.0.4.226:7980	有效	3840x2160	hevc	10173
华数电视剧	225.0.4.54:7980	有效	1920x1080	h264	5637
卡酷少儿SD	225.0.4.45:7980	有效			0
台球(轮播频道)HD	225.0.4.163:7980	有效	1920x1080	h264	9763
嘉佳卡通SD	225.0.4.221:7980	有效	720x576	h264	5634
城市剧场(轮播频道)HD	225.0.4.145:7980	有效	1920x1080	h264	5599
好学生(轮播频道)HD	225.0.4.159:7980	有效	1920x1080	h264	5972
快乐垂钓HD	225.0.4.213:7980	有效	1920x1080	h264	6004
旅游卫视SD	225.0.4.40:7980	有效	720x576	h264	5668
欢笑剧场HD	225.0.4.234:7980	有效	1920x1080	h264	8332
武术(轮播频道)HD	225.0.4.165:7980	有效			0
求索记录HD	225.0.4.232:7980	有效	1920x1080	h264	6362
法治天地HD	225.0.4.240:7980	有效	1920x1080	h264	6854
游戏风云HD	225.0.4.237:7980	有效	1920x1080	h264	6277
热播剧场(轮播频道)HD	225.0.4.47:7980	有效			0
生活时尚HD	225.0.4.241:7980	有效	1920x1080	h264	10140
精彩影视HD	225.0.4.231:7980	有效	1920x1080	h264	6394
精选(轮播频道)HD	225.0.4.152:7980	有效	1920x1080	h264	5560
纪实	225.0.4.99:7980	无效			5118
美人(轮播频道)HD	225.0.4.151:7980	有效			0
美妆(轮播频道)HD	225.0.4.150:7980	有效	1920x1080	h264	5707
茶频道HD	225.0.4.233:7980	无效			5115
财富天下SD	225.0.4.112:7980	无效			5123
足球(轮播频道)HD	225.0.4.167:7980	有效	1920x1080	h264	5680
都市剧场HD	225.0.4.235:7980	有效	1920x1080	h264	6698
金色频道HD	225.0.4.239:7980	有效	1920x1080	h264	10242
金鹰卡通SD	225.0.4.46:7980	有效			0
音乐现场(轮播频道)HD	225.0.4.148:7980	有效	1920x1080	h264	5754
高网(轮播频道)HD	225.0.4.166:7980	有效	1920x1080	h264	5709
魅力时尚(轮播频道)HD	225.0.4.49:7980	有效			0
