# 补充IP列表 - 原文件: 重庆联通.txt
# 生成时间: 2026-05-28 17:17:03
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 225.0.4.x =====
# 已有IP: 140 个, 缺失IP: 114 个
# 规律: 固定端口 7980

4-1,rtp://225.0.4.1:7980
4-2,rtp://225.0.4.2:7980
4-3,rtp://225.0.4.3:7980
4-4,rtp://225.0.4.4:7980
4-5,rtp://225.0.4.5:7980
4-6,rtp://225.0.4.6:7980
4-7,rtp://225.0.4.7:7980
4-8,rtp://225.0.4.8:7980
4-9,rtp://225.0.4.9:7980
4-10,rtp://225.0.4.10:7980
4-11,rtp://225.0.4.11:7980
4-13,rtp://225.0.4.13:7980
4-14,rtp://225.0.4.14:7980
4-15,rtp://225.0.4.15:7980
4-16,rtp://225.0.4.16:7980
4-17,rtp://225.0.4.17:7980
4-18,rtp://225.0.4.18:7980
4-19,rtp://225.0.4.19:7980
4-20,rtp://225.0.4.20:7980
4-22,rtp://225.0.4.22:7980
4-23,rtp://225.0.4.23:7980
4-24,rtp://225.0.4.24:7980
4-25,rtp://225.0.4.25:7980
4-26,rtp://225.0.4.26:7980
4-27,rtp://225.0.4.27:7980
4-28,rtp://225.0.4.28:7980
4-29,rtp://225.0.4.29:7980
4-30,rtp://225.0.4.30:7980
4-31,rtp://225.0.4.31:7980
4-32,rtp://225.0.4.32:7980
4-33,rtp://225.0.4.33:7980
4-42,rtp://225.0.4.42:7980
4-43,rtp://225.0.4.43:7980
4-44,rtp://225.0.4.44:7980
4-52,rtp://225.0.4.52:7980
4-55,rtp://225.0.4.55:7980
4-58,rtp://225.0.4.58:7980
4-66,rtp://225.0.4.66:7980
4-76,rtp://225.0.4.76:7980
4-77,rtp://225.0.4.77:7980
4-83,rtp://225.0.4.83:7980
4-85,rtp://225.0.4.85:7980
4-86,rtp://225.0.4.86:7980
4-87,rtp://225.0.4.87:7980
4-88,rtp://225.0.4.88:7980
4-89,rtp://225.0.4.89:7980
4-90,rtp://225.0.4.90:7980
4-91,rtp://225.0.4.91:7980
4-92,rtp://225.0.4.92:7980
4-93,rtp://225.0.4.93:7980
4-94,rtp://225.0.4.94:7980
4-95,rtp://225.0.4.95:7980
4-96,rtp://225.0.4.96:7980
4-97,rtp://225.0.4.97:7980
4-100,rtp://225.0.4.100:7980
4-109,rtp://225.0.4.109:7980
4-110,rtp://225.0.4.110:7980
4-111,rtp://225.0.4.111:7980
4-114,rtp://225.0.4.114:7980
4-115,rtp://225.0.4.115:7980
4-116,rtp://225.0.4.116:7980
4-117,rtp://225.0.4.117:7980
4-118,rtp://225.0.4.118:7980
4-119,rtp://225.0.4.119:7980
4-120,rtp://225.0.4.120:7980
4-121,rtp://225.0.4.121:7980
4-134,rtp://225.0.4.134:7980
4-135,rtp://225.0.4.135:7980
4-136,rtp://225.0.4.136:7980
4-138,rtp://225.0.4.138:7980
4-139,rtp://225.0.4.139:7980
4-140,rtp://225.0.4.140:7980
4-141,rtp://225.0.4.141:7980
4-155,rtp://225.0.4.155:7980
4-156,rtp://225.0.4.156:7980
4-157,rtp://225.0.4.157:7980
4-160,rtp://225.0.4.160:7980
4-161,rtp://225.0.4.161:7980
4-173,rtp://225.0.4.173:7980
4-177,rtp://225.0.4.177:7980
4-178,rtp://225.0.4.178:7980
4-180,rtp://225.0.4.180:7980
4-185,rtp://225.0.4.185:7980
4-197,rtp://225.0.4.197:7980
4-198,rtp://225.0.4.198:7980
4-205,rtp://225.0.4.205:7980
4-206,rtp://225.0.4.206:7980
4-207,rtp://225.0.4.207:7980
4-208,rtp://225.0.4.208:7980
4-209,rtp://225.0.4.209:7980
4-210,rtp://225.0.4.210:7980
4-211,rtp://225.0.4.211:7980
4-212,rtp://225.0.4.212:7980
4-214,rtp://225.0.4.214:7980
4-216,rtp://225.0.4.216:7980
4-222,rtp://225.0.4.222:7980
4-223,rtp://225.0.4.223:7980
4-224,rtp://225.0.4.224:7980
4-225,rtp://225.0.4.225:7980
4-227,rtp://225.0.4.227:7980
4-238,rtp://225.0.4.238:7980
4-242,rtp://225.0.4.242:7980
4-243,rtp://225.0.4.243:7980
4-244,rtp://225.0.4.244:7980
4-245,rtp://225.0.4.245:7980
4-246,rtp://225.0.4.246:7980
4-247,rtp://225.0.4.247:7980
4-248,rtp://225.0.4.248:7980
4-249,rtp://225.0.4.249:7980
4-250,rtp://225.0.4.250:7980
4-251,rtp://225.0.4.251:7980
4-252,rtp://225.0.4.252:7980
4-253,rtp://225.0.4.253:7980
4-254,rtp://225.0.4.254:7980

# ===== 总计补充: 114 个IP =====
