# 20260704_163431_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
陕西农林卫视	239.112.205.26:5140	有效			0
陕西卫视	239.109.205.107:8792	有效			0
陕西卫视	239.109.205.66:8464	有效			0
陕西卫视	239.111.205.35:5140	有效			0
陕西卫视	239.112.205.17:5140	有效			0
陕西1套	239.109.205.2:9120	有效			0
陕西1套	239.110.205.83:7944	有效			0
陕西1套	239.112.205.18:5140	有效			0
陕西2套	239.109.205.3:9128	有效			0
陕西2套	239.110.205.84:7940	有效			0
陕西2套	239.112.205.19:5140	有效	720x576	h264	6528
陕西3套	239.109.205.4:9136	有效	720x576	h264	6452
陕西4套	239.109.205.5:9144	有效	3840x2160	hevc	9171
陕西5套	239.109.205.6:9152	有效	720x576	h264	7937
陕西6套	239.109.205.7:9160	有效			0
陕西6套	239.112.205.23:5140	有效			0
陕西7套	239.109.205.8:9168	有效	720x576	h264	7937
陕西7套	239.110.205.85:7936	有效			0
陕西7套	239.112.205.24:5140	有效	720x576	h264	5414
陕西8套	239.109.205.217:9706	有效			0
陕西乐家购物	239.111.205.101:5140	无效			6018
陕西体育休闲	239.111.205.36:5140	有效			0
陕西公共	239.111.205.100:5140	有效			0
陕西影视	239.111.205.99:5140	无效			5613
陕西影视	239.112.205.21:5140	有效			0
陕西新闻资讯	239.111.205.28:5140	有效			0
陕西生活	239.111.205.98:5140	有效	1920x1080	h264	7983
陕西秦腔频道	239.112.205.22:5140	有效	720x576	h264	5885
陕西西部电影	239.111.205.41:5140	有效			0
陕西都市青春	239.111.205.42:5140	有效			0
陕西银铃频道	239.112.205.20:5140	有效			0
CCTV1	239.109.205.118:8880	有效			0
CCTV1	239.109.205.9:8000	有效			0
CCTV1	239.111.205.9:5140	有效			0
CCTV1	239.112.205.231:5140	有效			0
CCTV2	239.109.205.106:8784	有效			0
CCTV2	239.109.205.10:8008	有效			0
CCTV2	239.112.205.2:5140	有效			0
CCTV2	239.112.205.78:5140	有效			0
CCTV3	239.109.205.73:8520	有效			0
CCTV3	239.109.205.79:8568	有效	1920x1080	h264	6020
CCTV3	239.112.205.225:5140	有效			0
CCTV4	239.109.205.11:8016	有效			0
CCTV4	239.109.205.159:9108	有效			0
CCTV4	239.112.205.202:5140	有效	1920x1080	h264	5995
CCTV4	239.112.205.4:5140	有效			0
CCTV5	239.109.205.214:9208	有效		h264	7935
CCTV5	239.109.205.80:8576	有效		h264	2177
CCTV5	239.112.205.222:5140	有效			0
CCTV5	239.112.205.226:5140	有效			0
CCTV5+	239.111.205.13:5140	有效			0
CCTV6	239.109.205.83:8600	有效	720x576	h264	6281
CCTV6	239.109.205.84:8608	有效			0
CCTV6	239.112.205.223:5140	有效			0
CCTV6	239.112.205.227:5140	有效			0
CCTV7	239.109.205.12:8024	有效	720x576	h264	6457
CCTV7	239.110.205.7:9774	有效			0
CCTV7	239.112.205.7:5140	有效			0
CCTV7	239.112.205.83:5140	有效			0
