# 补充IP列表 - 原文件: 陕西电信.txt
# 生成时间: 2026-05-28 17:16:21
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.109.205.x =====
# 已有IP: 151 个, 缺失IP: 103 个
# 规律: 多段线性
#   D∈[2,8] → 8×D+9104
#   D∈[9,9] → -1168×D+18512
#   D∈[10,41] → 8×D+7928
#   D∈[42,42] → 16×D+7600
#   D∈[43,118] → 8×D+7936
#   D∈[119,119] → -512×D+69296
#   D∈[120,120] → 528×D+-54464
#   D∈[121,131] → 8×D+7936
#   D∈[139,139] → 5×D+8329
#   D∈[140,141] → 2×D+8746
#   D∈[150,150] → 5.555555555555555×D+8244.666666666666
#   D∈[158,158] → 3.5×D+8553.0
#   D∈[159,159] → 2×D+8790
#   D∈[162,162] → -70×D+20238
#   D∈[163,163] → 104×D+-7950
#   D∈[165,165] → 2×D+8676
#   D∈[170,170] → 121.2×D+-10992.0
#   D∈[171,177] → 2×D+9272
#   D∈[188,188] → -1.4545454545454546×D+9883.454545454546
#   D∈[189,189] → -8×D+11114
#   D∈[190,192] → 2×D+9224
#   D∈[194,194] → 15×D+6728
#   D∈[195,199] → 4×D+8862
#   D∈[211,211] → -39.5×D+17518.5
#   D∈[212,215] → 8×D+7496
#   D∈[216,216] → 486×D+-95274
#   D∈[217,226] → 4×D+8838

205-1,rtp://239.109.205.1:9112
205-54,rtp://239.109.205.54:8368
205-58,rtp://239.109.205.58:8400
205-60,rtp://239.109.205.60:8416
205-61,rtp://239.109.205.61:8424
205-68,rtp://239.109.205.68:8480
205-82,rtp://239.109.205.82:8592
205-85,rtp://239.109.205.85:8616
205-89,rtp://239.109.205.89:8648
205-95,rtp://239.109.205.95:8696
205-98,rtp://239.109.205.98:8720
205-99,rtp://239.109.205.99:8728
205-100,rtp://239.109.205.100:8736
205-105,rtp://239.109.205.105:8776
205-116,rtp://239.109.205.116:8864
205-117,rtp://239.109.205.117:8872
205-122,rtp://239.109.205.122:8912
205-123,rtp://239.109.205.123:8920
205-127,rtp://239.109.205.127:8952
205-128,rtp://239.109.205.128:8960
205-129,rtp://239.109.205.129:8968
205-132,rtp://239.109.205.132:9366
205-133,rtp://239.109.205.133:9370
205-134,rtp://239.109.205.134:9374
205-135,rtp://239.109.205.135:9378
205-136,rtp://239.109.205.136:9382
205-137,rtp://239.109.205.137:9386
205-138,rtp://239.109.205.138:9390
205-142,rtp://239.109.205.142:9406
205-143,rtp://239.109.205.143:9410
205-144,rtp://239.109.205.144:9414
205-145,rtp://239.109.205.145:9418
205-146,rtp://239.109.205.146:9422
205-147,rtp://239.109.205.147:9426
205-148,rtp://239.109.205.148:9430
