# 20260603_204355_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
205-1	239.109.205.1:9112	无效			99999
205-54	239.109.205.54:8368	无效			9393
205-58	239.109.205.58:8400	无效			99999
205-60	239.109.205.60:8416	无效			99999
205-61	239.109.205.61:8424	无效			99999
205-68	239.109.205.68:8480	无效			9013
205-82	239.109.205.82:8592	无效			99999
205-85	239.109.205.85:8616	无效			99999
205-89	239.109.205.89:8648	无效			99999
205-95	239.109.205.95:8696	无效			9044
205-98	239.109.205.98:8720	无效			99999
205-99	239.109.205.99:8728	无效			99999
205-100	239.109.205.100:8736	无效			9394
205-105	239.109.205.105:8776	无效			99999
205-116	239.109.205.116:8864	无效			99999
205-117	239.109.205.117:8872	无效			99999
205-122	239.109.205.122:8912	无效			9060
205-123	239.109.205.123:8920	无效			99999
205-127	239.109.205.127:8952	无效			99999
205-128	239.109.205.128:8960	无效			99999
205-129	239.109.205.129:8968	无效			9048
205-132	239.109.205.132:9366	无效			99999
205-133	239.109.205.133:9370	无效			99999
205-134	239.109.205.134:9374	无效			9425
205-135	239.109.205.135:9378	无效			99999
205-136	239.109.205.136:9382	无效			99999
205-137	239.109.205.137:9386	无效			99999
205-138	239.109.205.138:9390	无效			8990
205-142	239.109.205.142:9406	无效			99999
205-143	239.109.205.143:9410	无效			99999
205-144	239.109.205.144:9414	无效			99999
205-145	239.109.205.145:9418	无效			9045
205-146	239.109.205.146:9422	无效			99999
205-147	239.109.205.147:9426	无效			99999
205-148	239.109.205.148:9430	无效			9404
205-149	239.109.205.149:9434	无效			99999
205-151	239.109.205.151:9442	无效			99999
205-152	239.109.205.152:9446	无效			99999
205-153	239.109.205.153:9450	无效			9017
205-154	239.109.205.154:9454	无效			99999
205-155	239.109.205.155:9458	无效			99999
205-156	239.109.205.156:9462	无效			99999
205-157	239.109.205.157:9466	无效			9053
205-160	239.109.205.160:9478	无效			99999
205-161	239.109.205.161:9482	无效			99999
205-164	239.109.205.164:9494	无效			9395
205-166	239.109.205.166:9502	无效			99999
205-167	239.109.205.167:9506	无效			99999
205-168	239.109.205.168:9510	无效			99999
205-169	239.109.205.169:9514	无效			9061
205-178	239.109.205.178:9550	无效			99999
205-179	239.109.205.179:9554	无效			99999
205-180	239.109.205.180:9558	无效			99999
205-181	239.109.205.181:9562	无效			9045
205-182	239.109.205.182:9566	无效			99999
205-183	239.109.205.183:9570	无效			99999
205-184	239.109.205.184:9574	无效			9393
205-185	239.109.205.185:9578	无效			99999
205-186	239.109.205.186:9582	无效			99999
205-187	239.109.205.187:9586	无效			99999
205-193	239.109.205.193:9610	无效			9021
205-196	239.109.205.196:9646	无效			99999
205-200	239.109.205.200:9638	无效			99999
