# 20260523_115016_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
青海卫视	239.120.1.113:8346	有效	1920x1080	h264	7904
青海卫视	239.120.1.64:8332	无效			6055
青海卫视HD	239.120.2.154:5141	无效			5885
青海卫视HD	239.120.2.188:5141	无效			5634
青海卫视HD	239.120.2.7:5141	无效			5900
青海油田	239.120.1.144:8416	无效			5622
青海经视	239.120.1.42:8226	无效			5633
青海经视HD	239.120.2.127:5141	无效			6653
青海经视HD	239.120.2.161:5141	无效			5882
青海都市	239.120.1.41:8220	有效	1920x1080	h264	9128
青海都市HD	239.120.2.128:5141	无效			7006
青海都市HD	239.120.2.156:5141	无效			6649
CCTV-1综合	239.120.1.119:8260	无效			5630
CCTV-1综合	239.120.1.120:8778	有效	1920x1080	h264	6439
CCTV1	239.120.1.52:8350	无效			6022
CCTV-2财经	239.120.1.223:9484	无效			6162
CCTV-3综艺	239.120.1.88:9420	无效			7150
CCTV-4中文国际	239.120.1.159:9012	有效	1920x1080	h264	6507
CCTV-5体育	239.120.1.46:8248	无效			5783
CCTV-5+体育赛事	239.120.1.245:9428	无效			6648
CCTV-6电影	239.120.1.49:8252	无效			5645
CCTV-7国防军事	239.120.1.224:9490	无效			5631
CCTV-8电视剧	239.120.1.50:8308	无效			5632
CCTV-9纪录	239.120.1.227:9496	无效			6132
CCTV-10科教	239.120.1.250:9448	无效			5638
CCTV-11戏曲	239.120.1.163:9036	有效	1920x1080	h264	7078
CCTV-12社会与法	239.120.1.230:9502	有效	1920x1080	h264	6633
CCTV-13新闻	239.120.1.165:9048	有效	1920x1080	h264	6670
CCTV-14少儿	239.120.1.193:8284	无效			6021
CCTV-15音乐	239.120.1.167:9060	无效			6159
CCTV-16奥林匹克	239.120.1.252:9554	无效			6132
CCTV-17农业农村	239.120.1.68:8370	有效	1920x1080	h264	6741
CGTN	239.120.2.126:5141	无效			6580
CGTN英语	239.120.1.161:9024	无效			5877
CETV1	239.120.1.133:8856	有效	1920x1080	h264	6863
CETV2	239.120.1.44:8238	无效			6710
CETV2	239.120.2.55:5141	无效			7668
CETV2	239.120.2.68:5141	无效			5649
CETV4	239.120.1.45:8244	有效	720x576	mpeg2video	6618
CETV4	239.120.2.69:5141	无效			5656
CETV4	239.120.2.71:5141	无效			7648
湖南卫视	239.120.1.127:8820	有效	1920x1080	h264	7112
浙江卫视	239.120.1.128:8826	无效			8067
江苏卫视	239.120.1.125:8808	无效			5892
北京卫视	239.120.1.122:8790	无效			6650
东方卫视	239.120.1.121:8784	无效			5633
安徽卫视	239.120.1.226:9348	无效			5650
广东卫视	239.120.1.126:8814	无效			5874
深圳卫视	239.120.1.137:8880	无效			5637
辽宁卫视	239.120.1.229:9360	无效			5625
山东卫视	239.120.1.211:9294	无效			6651
天津卫视	239.120.1.233:9514	无效			5643
重庆卫视	239.120.1.146:8934	无效			5620
东南卫视	239.120.1.232:9372	有效	1920x1080	h264	6941
河北卫视	239.120.1.212:9300	有效	1920x1080	h264	7048
河南卫视	239.120.1.148:8946	有效	1920x1080	h264	8240
湖北卫视	239.120.1.129:8832	无效			6028
陕西卫视	239.120.1.117:8694	有效	1920x1080	h264	6972
陕西卫视	239.120.2.20:5141	无效			5821
四川卫视	239.120.1.147:8940	无效			5629
海南卫视	239.120.1.141:8904	有效	1920x1080	h264	6643
海南卫视	239.120.1.247:9436	无效			5642
海南卫视	239.120.2.31:5141	无效			5633
甘肃卫视	239.120.1.118:8700	无效			7678
广西卫视	239.120.1.155:8988	无效			5892
贵州卫视	239.120.1.142:8910	无效			5628
黑龙江卫视	239.120.1.124:8802	无效			5634
江西卫视	239.120.1.228:9356	无效			5636
吉林卫视	239.120.1.151:8964	无效			5621
内蒙古卫视	239.120.1.135:8868	无效			5635
内蒙古卫视	239.120.2.44:5141	无效			6039
宁夏卫视	239.120.1.130:8838	有效	1920x1080	h264	7644
宁夏卫视	239.120.2.25:5141	无效			5665
山西卫视	239.120.1.143:8916	无效			5868
山西卫视	239.120.2.22:5141	无效			5892
新疆卫视	239.120.1.134:8862	无效			5627
新疆卫视	239.120.2.29:5141	无效			5633
云南卫视	239.120.1.156:8994	有效	720x576	h264	5898
云南卫视	239.120.2.28:5141	无效			6130
西藏卫视	239.120.1.136:8874	无效			5634
西藏卫视	239.120.2.24:5141	无效			5632
兵团卫视	239.120.1.240:9404	有效	1920x1080	h264	6792
兵团卫视	239.120.2.35:5141	无效			5748
三沙卫视	239.120.2.222:5141	无效			5631
延边卫视	239.120.1.132:8354	无效			6029
山东教育卫视	239.120.1.177:8272	有效	720x576	h264	5978
欢笑剧场4K	239.120.2.233:5141	无效			6050
欢笑剧场4K	239.120.2.58:5141	无效			6905
卡酷少儿	239.120.1.138:8886	无效			5633
卡酷少儿	239.120.2.51:5141	无效			5646
卡酷少儿	239.120.2.62:5141	无效			5615
快乐垂钓	239.120.1.225:9346	无效			5633
金鹰纪实	239.120.1.73:8412	有效	1920x1080	h264	7646
金鹰卡通	239.120.1.139:8892	无效			5660
金鹰卡通	239.120.2.53:5141	无效			5648
金鹰卡通	239.120.2.60:5141	无效			5875
天元围棋	239.120.1.59:8320	无效			5627
天元围棋	239.120.2.227:5141	无效			6658
天元围棋	239.120.2.57:5141	无效			6290
财富天下	239.120.1.57:8316	无效			5873
财富天下	239.120.2.75:5141	无效			6926
财富天下	239.120.2.79:5141	无效			5628
上海东方财经	239.120.1.55:8304	无效			5885
上海法治天地	239.120.1.54:8298	无效			5623
法治天地	239.120.2.74:5141	无效			5636
法治天地	239.120.2.76:5141	无效			6650
上海生活时尚	239.120.1.220:9332	无效			5887
上海都市剧场	239.120.1.221:9336	无效			5637
上海游戏风云	239.120.1.215:9312	无效			5878
上海动漫秀场	239.120.1.219:9328	无效			5632
上海欢笑剧场	239.120.1.186:8378	无效			5638
上海欢笑剧场	239.120.1.216:9316	无效			5900
上海金色学堂	239.120.1.69:8374	无效			6024
金色学堂	239.120.2.70:5141	无效			6133
金色学堂	239.120.2.84:5141	无效			5891
哈哈炫动	239.120.1.140:8898	无效			5883
哈哈炫动	239.120.2.134:5141	无效			5898
哈哈炫动	239.120.2.50:5141	无效			5886
嘉佳卡通	239.120.1.108:8640	有效	720x576	h264	5800
嘉佳卡通	239.120.2.30:5141	无效			5708
嘉佳卡通	239.120.2.45:5141	无效			5905
中国天气	239.120.1.241:9408	无效			6638
中国天气	239.120.2.162:5141	无效			5644
中国天气	239.120.2.226:5141	无效			5619
北京卫视4K超高清	239.120.1.110:8250	有效	720x576	h264	5585
北京卫视4K超高清	239.120.1.111:8254	有效	1920x1080	h264	6870
北京卫视HD	239.120.2.186:5141	无效			6019
天津卫视HD	239.120.2.196:5141	无效			6159
河北卫视HD	239.120.2.12:5141	无效			5873
辽宁卫视HD	239.120.2.189:5141	无效			5889
吉林卫视HD	239.120.2.26:5141	无效			5898
黑龙江卫视HD	239.120.2.183:5141	无效			5878
上海乐游频道	239.120.1.217:9320	无效			5622
江苏卫视HD	239.120.2.221:5141	无效			5632
浙江卫视HD	239.120.2.199:5141	无效			5630
安徽卫视HD	239.120.2.187:5141	无效			5639
江西卫视HD	239.120.2.194:5141	无效			5633
山东卫视HD	239.120.2.219:5141	无效			5879
河南卫视HD	239.120.2.180:5141	无效			5631
湖北卫视HD	239.120.2.15:5141	无效			5635
湖北卫视HD	239.120.2.182:5141	无效			6288
湖南卫视HD	239.120.2.173:5141	无效			5869
广东卫视HD	239.120.2.181:5141	无效			5889
深圳卫视HD	239.120.2.197:5141	无效			5891
广西卫视HD	239.120.2.5:5141	无效			5891
东方卫视HD	239.120.2.184:5141	无效			5892
东方财经HD	239.120.2.73:5141	无效			5617
东方财经HD	239.120.2.77:5141	无效			5632
重庆卫视HD	239.120.2.185:5141	无效			6654
四川卫视HD	239.120.2.2:5141	无效			5887
贵州卫视HD	239.120.2.18:5141	无效			5632
甘肃卫视HD	239.120.2.16:5141	无效			5631
西宁新闻综合	239.120.1.249:9444	有效	1920x1080	h264	6646
西宁新闻综合HD	239.120.2.172:5141	无效			5652
西宁生活服务	239.120.1.248:9440	无效			6264
