# 补充IP列表 - 原文件: 青海电信.txt
# 生成时间: 2026-05-28 17:16:21
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.120.1.x =====
# 已有IP: 119 个, 缺失IP: 135 个
# 规律: 多段线性
#   D∈[34,40] → -220×D+17014
#   D∈[41,45] → 6×D+7974
#   D∈[46,46] → 4×D+8064
#   D∈[49,49] → 1.3333333333333333×D+8186.666666666667
#   D∈[50,50] → 56×D+5508
#   D∈[52,52] → 21×D+7258
#   D∈[54,54] → -26×D+9702
#   D∈[55,57] → 6×D+7974
#   D∈[59,59] → 2×D+8202
#   D∈[64,64] → 2.4×D+8178.4
#   D∈[68,68] → 9.5×D+7724.0
#   D∈[69,69] → 4×D+8098
#   D∈[73,73] → 9.5×D+7718.5
#   D∈[88,88] → 67.2×D+3506.3999999999996
#   D∈[91,91] → -340.6666666666667×D+39398.66666666667
#   D∈[92,92] → -180×D+24778
#   D∈[93,93] → 80×D+858
#   D∈[95,95] → 65×D+2253
#   D∈[96,96] → 8×D+7668
#   D∈[97,97] → 16×D+6900
#   D∈[98,99] → 4×D+8064
#   D∈[100,100] → 668×D+-57672
#   D∈[102,102] → -400×D+49128
#   D∈[108,108] → 52×D+3024
#   D∈[110,110] → -195×D+29700
#   D∈[111,111] → 4×D+7810
#   D∈[112,112] → 210×D+-15056
#   D∈[113,113] → -118×D+21680
#   D∈[114,114] → 130×D+-6344
#   D∈[116,116] → 2×D+8248
#   D∈[117,117] → 214×D+-16344
#   D∈[118,118] → 6×D+7992
#   D∈[119,119] → -440×D+60620
#   D∈[120,120] → 518×D+-53382
#   D∈[121,122] → 6×D+8058
#   D∈[123,123] → -524×D+72718
#   D∈[124,124] → 536×D+-57662
#   D∈[125,130] → 6×D+8058
#   D∈[131,131] → -570×D+82938
#   D∈[132,132] → 86×D+-2998
#   D∈[133,133] → 502×D+-57910
#   D∈[134,143] → 6×D+8058
#   D∈[144,144] → -500×D+80416
#   D∈[145,145] → 4×D+7840
#   D∈[146,146] → 514×D+-66110
#   D∈[147,176] → 6×D+8058
#   D∈[177,177] → -842×D+157306
#   D∈[184,184] → 126.85714285714286×D+-14181.714285714286
#   D∈[186,186] → -391×D+81104
#   D∈[193,193] → -13.428571428571429×D+10875.714285714286
#   D∈[196,196] → -2.6666666666666665×D+8798.666666666666
#   D∈[200,200] → 32×D+2004
#   D∈[202,202] → 418×D+-75196
#   D∈[203,212] → 6×D+8028
#   D∈[215,222] → 4×D+8452
#   D∈[223,223] → 144×D+-22628
#   D∈[224,224] → 6×D+8146
#   D∈[225,225] → -144×D+41746
#   D∈[226,226] → 2×D+8896
#   D∈[227,227] → 148×D+-24100
#   D∈[228,228] → -140×D+41276
#   D∈[229,229] → 4×D+8444
#   D∈[230,230] → 142×D+-23158
#   D∈[232,232] → -65×D+24452
#   D∈[233,233] → 142×D+-23572
#   D∈[240,240] → -15.714285714285714×D+13175.42857142857
#   D∈[241,241] → 4×D+8444
#   D∈[245,245] → 5×D+8203
#   D∈[247,250] → 4×D+8448
#   D∈[252,252] → 53×D+-3802

1-1,rtp://239.120.1.1:16794
1-2,rtp://239.120.1.2:16574
1-3,rtp://239.120.1.3:16354
1-4,rtp://239.120.1.4:16134
1-5,rtp://239.120.1.5:15914
1-6,rtp://239.120.1.6:15694
1-7,rtp://239.120.1.7:15474
1-8,rtp://239.120.1.8:15254
1-9,rtp://239.120.1.9:15034
1-10,rtp://239.120.1.10:14814
1-11,rtp://239.120.1.11:14594
1-12,rtp://239.120.1.12:14374
1-13,rtp://239.120.1.13:14154
1-14,rtp://239.120.1.14:13934
1-15,rtp://239.120.1.15:13714
1-16,rtp://239.120.1.16:13494
1-17,rtp://239.120.1.17:13274
1-18,rtp://239.120.1.18:13054
1-19,rtp://239.120.1.19:12834
1-20,rtp://239.120.1.20:12614
1-21,rtp://239.120.1.21:12394
1-22,rtp://239.120.1.22:12174
1-23,rtp://239.120.1.23:11954
1-24,rtp://239.120.1.24:11734
1-25,rtp://239.120.1.25:11514
1-26,rtp://239.120.1.26:11294
1-27,rtp://239.120.1.27:11074
1-28,rtp://239.120.1.28:10854
1-29,rtp://239.120.1.29:10634
1-30,rtp://239.120.1.30:10414
1-31,rtp://239.120.1.31:10194
1-32,rtp://239.120.1.32:9974
1-33,rtp://239.120.1.33:9754
1-35,rtp://239.120.1.35:9314
1-36,rtp://239.120.1.36:9094
1-37,rtp://239.120.1.37:8874
1-38,rtp://239.120.1.38:8654
1-39,rtp://239.120.1.39:8434
1-43,rtp://239.120.1.43:8232
1-47,rtp://239.120.1.47:1
1-48,rtp://239.120.1.48:1
1-51,rtp://239.120.1.51:1
1-53,rtp://239.120.1.53:1
1-56,rtp://239.120.1.56:8310
1-58,rtp://239.120.1.58:1
1-60,rtp://239.120.1.60:1
1-61,rtp://239.120.1.61:1
1-62,rtp://239.120.1.62:1
1-63,rtp://239.120.1.63:1
1-65,rtp://239.120.1.65:1
1-66,rtp://239.120.1.66:1
1-67,rtp://239.120.1.67:1
1-70,rtp://239.120.1.70:1
1-71,rtp://239.120.1.71:1
1-72,rtp://239.120.1.72:14
1-74,rtp://239.120.1.74:120
1-75,rtp://239.120.1.75:173
1-76,rtp://239.120.1.76:226
1-77,rtp://239.120.1.77:279
1-78,rtp://239.120.1.78:332
1-79,rtp://239.120.1.79:385
1-80,rtp://239.120.1.80:438
1-81,rtp://239.120.1.81:491
1-82,rtp://239.120.1.82:544
1-83,rtp://239.120.1.83:597
1-84,rtp://239.120.1.84:650
1-85,rtp://239.120.1.85:703
1-86,rtp://239.120.1.86:756
1-87,rtp://239.120.1.87:809
1-89,rtp://239.120.1.89:915
1-90,rtp://239.120.1.90:968
1-94,rtp://239.120.1.94:1180
1-101,rtp://239.120.1.101:1551
1-103,rtp://239.120.1.103:1657
1-104,rtp://239.120.1.104:1710
1-105,rtp://239.120.1.105:1763
1-106,rtp://239.120.1.106:1816
1-107,rtp://239.120.1.107:1869
1-109,rtp://239.120.1.109:1975
1-115,rtp://239.120.1.115:2293
1-149,rtp://239.120.1.149:8952
1-150,rtp://239.120.1.150:8958
1-152,rtp://239.120.1.152:8970
1-153,rtp://239.120.1.153:8976
1-154,rtp://239.120.1.154:8982
