# 20260712_175953_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
1-1	239.120.1.1:16794	无效			5668
1-2	239.120.1.2:16574	无效			5095
1-3	239.120.1.3:16354	无效			5091
1-4	239.120.1.4:16134	无效			5670
1-5	239.120.1.5:15914	无效			5096
1-6	239.120.1.6:15694	无效			5087
1-7	239.120.1.7:15474	无效			5571
1-8	239.120.1.8:15254	无效			5077
1-9	239.120.1.9:15034	无效			5068
1-10	239.120.1.10:14814	无效			5765
1-11	239.120.1.11:14594	无效			5084
1-12	239.120.1.12:14374	无效			5088
1-13	239.120.1.13:14154	无效			5644
1-14	239.120.1.14:13934	无效			5098
1-15	239.120.1.15:13714	无效			5083
1-16	239.120.1.16:13494	无效			5643
1-17	239.120.1.17:13274	无效			5098
1-18	239.120.1.18:13054	无效			5088
1-19	239.120.1.19:12834	无效			5882
1-20	239.120.1.20:12614	无效			5075
1-21	239.120.1.21:12394	无效			5077
1-22	239.120.1.22:12174	无效			5729
1-23	239.120.1.23:11954	无效			5092
1-24	239.120.1.24:11734	无效			5088
1-25	239.120.1.25:11514	无效			5752
1-26	239.120.1.26:11294	无效			5073
1-27	239.120.1.27:11074	无效			5077
1-28	239.120.1.28:10854	无效			5919
1-29	239.120.1.29:10634	无效			5102
1-30	239.120.1.30:10414	无效			5077
1-31	239.120.1.31:10194	无效			5981
1-32	239.120.1.32:9974	无效			5112
1-33	239.120.1.33:9754	无效			5093
1-35	239.120.1.35:9314	无效			5893
1-36	239.120.1.36:9094	无效			5093
1-37	239.120.1.37:8874	无效			5079
1-38	239.120.1.38:8654	无效			5970
1-39	239.120.1.39:8434	无效			5101
1-43	239.120.1.43:8232	无效			5093
1-47	239.120.1.47:1	无效			5827
1-48	239.120.1.48:1	无效			5080
1-51	239.120.1.51:1	无效			5074
1-53	239.120.1.53:1	无效			5956
1-56	239.120.1.56:8310	无效			5086
1-58	239.120.1.58:1	无效			5082
1-60	239.120.1.60:1	无效			6014
1-61	239.120.1.61:1	无效			5206
1-62	239.120.1.62:1	无效			5079
1-63	239.120.1.63:1	无效			6031
1-65	239.120.1.65:1	无效			5420
1-66	239.120.1.66:1	无效			5084
1-67	239.120.1.67:1	无效			6127
1-70	239.120.1.70:1	无效			5915
1-71	239.120.1.71:1	无效			5182
1-72	239.120.1.72:14	无效			5983
1-74	239.120.1.74:120	无效			5096
1-75	239.120.1.75:173	无效			5071
1-76	239.120.1.76:226	无效			6130
1-77	239.120.1.77:279	无效			5802
1-78	239.120.1.78:332	无效			5114
1-79	239.120.1.79:385	无效			6004
