# 补充IP列表 - 原文件: 青海联通.txt
# 生成时间: 2026-05-28 17:17:03
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.120.1.x =====
# 已有IP: 47 个, 缺失IP: 207 个
# 规律: 多段线性
#   D∈[34,40] → -220×D+17014
#   D∈[41,57] → 6×D+7974
#   D∈[69,69] → 4.833333333333333×D+8040.5
#   D∈[73,73] → 9.5×D+7718.5
#   D∈[92,92] → -10.210526315789474×D+9157.368421052632
#   D∈[100,100] → 113.75×D+-2247.0
#   D∈[113,113] → -60.15384615384615×D+15143.384615384615
#   D∈[118,118] → 70.8×D+345.60000000000036
#   D∈[119,119] → -440×D+60620
#   D∈[126,126] → 79.14285714285714×D+-1158.0
#   D∈[128,129] → 6×D+8058
#   D∈[131,131] → -282×D+45210
#   D∈[133,133] → 294×D+-30246
#   D∈[137,142] → 6×D+8058
#   D∈[144,144] → -247×D+43984
#   D∈[145,145] → 4×D+7840
#   D∈[146,146] → 514×D+-66110
#   D∈[147,167] → 6×D+8058
#   D∈[212,212] → 5.333333333333333×D+8169.333333333333
#   D∈[215,221] → 4×D+8452
#   D∈[225,225] → 2.5×D+8783.5
#   D∈[226,226] → 2×D+8896
#   D∈[232,232] → 4×D+8444
#   D∈[233,233] → 142×D+-23572
#   D∈[247,247] → -5.571428571428571×D+10812.142857142857
#   D∈[248,249] → 4×D+8448

1-1,rtp://239.120.1.1:16794
1-2,rtp://239.120.1.2:16574
1-3,rtp://239.120.1.3:16354
1-4,rtp://239.120.1.4:16134
1-5,rtp://239.120.1.5:15914
1-6,rtp://239.120.1.6:15694
1-7,rtp://239.120.1.7:15474
1-8,rtp://239.120.1.8:15254
1-9,rtp://239.120.1.9:15034
1-10,rtp://239.120.1.10:14814
1-11,rtp://239.120.1.11:14594
1-12,rtp://239.120.1.12:14374
1-13,rtp://239.120.1.13:14154
1-14,rtp://239.120.1.14:13934
1-15,rtp://239.120.1.15:13714
1-16,rtp://239.120.1.16:13494
1-17,rtp://239.120.1.17:13274
1-18,rtp://239.120.1.18:13054
1-19,rtp://239.120.1.19:12834
1-20,rtp://239.120.1.20:12614
1-21,rtp://239.120.1.21:12394
1-22,rtp://239.120.1.22:12174
1-23,rtp://239.120.1.23:11954
1-24,rtp://239.120.1.24:11734
1-25,rtp://239.120.1.25:11514
1-26,rtp://239.120.1.26:11294
1-27,rtp://239.120.1.27:11074
1-28,rtp://239.120.1.28:10854
1-29,rtp://239.120.1.29:10634
1-30,rtp://239.120.1.30:10414
1-31,rtp://239.120.1.31:10194
1-32,rtp://239.120.1.32:9974
1-33,rtp://239.120.1.33:9754
1-35,rtp://239.120.1.35:9314
1-36,rtp://239.120.1.36:9094
1-37,rtp://239.120.1.37:8874
1-38,rtp://239.120.1.38:8654
1-39,rtp://239.120.1.39:8434
1-43,rtp://239.120.1.43:8232
1-44,rtp://239.120.1.44:8238
1-45,rtp://239.120.1.45:8244
1-46,rtp://239.120.1.46:8250
1-47,rtp://239.120.1.47:8256
1-48,rtp://239.120.1.48:8262
1-49,rtp://239.120.1.49:8268
1-50,rtp://239.120.1.50:8274
1-51,rtp://239.120.1.51:8280
1-52,rtp://239.120.1.52:8286
1-53,rtp://239.120.1.53:8292
1-54,rtp://239.120.1.54:8298
1-56,rtp://239.120.1.56:8310
1-58,rtp://239.120.1.58:8680
1-59,rtp://239.120.1.59:8684
1-60,rtp://239.120.1.60:8688
1-61,rtp://239.120.1.61:8692
1-62,rtp://239.120.1.62:8696
1-63,rtp://239.120.1.63:8700
1-64,rtp://239.120.1.64:8704
1-65,rtp://239.120.1.65:8708
1-66,rtp://239.120.1.66:8712
1-67,rtp://239.120.1.67:8716
1-68,rtp://239.120.1.68:8720
1-70,rtp://239.120.1.70:8728
1-71,rtp://239.120.1.71:8732
1-72,rtp://239.120.1.72:8736
1-74,rtp://239.120.1.74:8744
1-75,rtp://239.120.1.75:8748
1-76,rtp://239.120.1.76:8752
1-77,rtp://239.120.1.77:8756
1-78,rtp://239.120.1.78:8760
1-79,rtp://239.120.1.79:8764
1-80,rtp://239.120.1.80:8768
1-81,rtp://239.120.1.81:8772
1-82,rtp://239.120.1.82:8776
1-83,rtp://239.120.1.83:8780
1-84,rtp://239.120.1.84:8784
1-85,rtp://239.120.1.85:8788
1-86,rtp://239.120.1.86:8792
1-87,rtp://239.120.1.87:8796
1-88,rtp://239.120.1.88:8800
1-89,rtp://239.120.1.89:8804
1-90,rtp://239.120.1.90:8808
1-91,rtp://239.120.1.91:8812
1-93,rtp://239.120.1.93:8820
1-94,rtp://239.120.1.94:8824
1-95,rtp://239.120.1.95:8828
1-96,rtp://239.120.1.96:8832
1-97,rtp://239.120.1.97:8836
