# 补充IP列表 - 原文件: 黑龙江联通.txt
# 生成时间: 2026-05-28 17:17:03
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 229.58.190.x =====
# 已有IP: 137 个, 缺失IP: 117 个
# 规律: 固定端口 5000

190-2,rtp://229.58.190.2:5000
190-3,rtp://229.58.190.3:5000
190-7,rtp://229.58.190.7:5000
190-9,rtp://229.58.190.9:5000
190-10,rtp://229.58.190.10:5000
190-12,rtp://229.58.190.12:5000
190-15,rtp://229.58.190.15:5000
190-17,rtp://229.58.190.17:5000
190-18,rtp://229.58.190.18:5000
190-19,rtp://229.58.190.19:5000
190-25,rtp://229.58.190.25:5000
190-30,rtp://229.58.190.30:5000
190-32,rtp://229.58.190.32:5000
190-33,rtp://229.58.190.33:5000
190-34,rtp://229.58.190.34:5000
190-35,rtp://229.58.190.35:5000
190-36,rtp://229.58.190.36:5000
190-40,rtp://229.58.190.40:5000
190-41,rtp://229.58.190.41:5000
190-42,rtp://229.58.190.42:5000
190-43,rtp://229.58.190.43:5000
190-44,rtp://229.58.190.44:5000
190-46,rtp://229.58.190.46:5000
190-47,rtp://229.58.190.47:5000
190-48,rtp://229.58.190.48:5000
190-49,rtp://229.58.190.49:5000
190-50,rtp://229.58.190.50:5000
190-51,rtp://229.58.190.51:5000
190-55,rtp://229.58.190.55:5000
190-56,rtp://229.58.190.56:5000
190-58,rtp://229.58.190.58:5000
190-62,rtp://229.58.190.62:5000
190-65,rtp://229.58.190.65:5000
190-67,rtp://229.58.190.67:5000
190-68,rtp://229.58.190.68:5000
190-69,rtp://229.58.190.69:5000
190-71,rtp://229.58.190.71:5000
190-73,rtp://229.58.190.73:5000
190-74,rtp://229.58.190.74:5000
190-79,rtp://229.58.190.79:5000
190-81,rtp://229.58.190.81:5000
190-82,rtp://229.58.190.82:5000
190-87,rtp://229.58.190.87:5000
190-90,rtp://229.58.190.90:5000
190-91,rtp://229.58.190.91:5000
190-92,rtp://229.58.190.92:5000
190-104,rtp://229.58.190.104:5000
190-117,rtp://229.58.190.117:5000
190-118,rtp://229.58.190.118:5000
190-120,rtp://229.58.190.120:5000
190-129,rtp://229.58.190.129:5000
190-130,rtp://229.58.190.130:5000
190-133,rtp://229.58.190.133:5000
190-135,rtp://229.58.190.135:5000
190-137,rtp://229.58.190.137:5000
190-139,rtp://229.58.190.139:5000
190-140,rtp://229.58.190.140:5000
190-142,rtp://229.58.190.142:5000
190-143,rtp://229.58.190.143:5000
190-147,rtp://229.58.190.147:5000
190-148,rtp://229.58.190.148:5000
190-155,rtp://229.58.190.155:5000
190-166,rtp://229.58.190.166:5000
190-169,rtp://229.58.190.169:5000
190-173,rtp://229.58.190.173:5000
190-196,rtp://229.58.190.196:5000
190-199,rtp://229.58.190.199:5000
190-200,rtp://229.58.190.200:5000
190-201,rtp://229.58.190.201:5000
190-202,rtp://229.58.190.202:5000
190-203,rtp://229.58.190.203:5000
190-204,rtp://229.58.190.204:5000
190-205,rtp://229.58.190.205:5000
190-206,rtp://229.58.190.206:5000
190-207,rtp://229.58.190.207:5000
190-210,rtp://229.58.190.210:5000
190-212,rtp://229.58.190.212:5000
190-215,rtp://229.58.190.215:5000
190-216,rtp://229.58.190.216:5000
190-217,rtp://229.58.190.217:5000
190-218,rtp://229.58.190.218:5000
190-219,rtp://229.58.190.219:5000
190-220,rtp://229.58.190.220:5000
190-221,rtp://229.58.190.221:5000
190-222,rtp://229.58.190.222:5000
190-223,rtp://229.58.190.223:5000
190-224,rtp://229.58.190.224:5000
190-225,rtp://229.58.190.225:5000
190-226,rtp://229.58.190.226:5000
190-227,rtp://229.58.190.227:5000
190-228,rtp://229.58.190.228:5000
190-229,rtp://229.58.190.229:5000
190-230,rtp://229.58.190.230:5000
190-231,rtp://229.58.190.231:5000
190-232,rtp://229.58.190.232:5000
190-233,rtp://229.58.190.233:5000
190-234,rtp://229.58.190.234:5000
190-235,rtp://229.58.190.235:5000
190-236,rtp://229.58.190.236:5000
190-237,rtp://229.58.190.237:5000
190-238,rtp://229.58.190.238:5000
190-239,rtp://229.58.190.239:5000
190-240,rtp://229.58.190.240:5000
190-241,rtp://229.58.190.241:5000
190-242,rtp://229.58.190.242:5000
190-243,rtp://229.58.190.243:5000
190-244,rtp://229.58.190.244:5000
190-245,rtp://229.58.190.245:5000
190-246,rtp://229.58.190.246:5000
190-247,rtp://229.58.190.247:5000
190-248,rtp://229.58.190.248:5000
190-249,rtp://229.58.190.249:5000
190-250,rtp://229.58.190.250:5000
190-251,rtp://229.58.190.251:5000
190-252,rtp://229.58.190.252:5000
190-253,rtp://229.58.190.253:5000
190-254,rtp://229.58.190.254:5000

# ===== 总计补充: 117 个IP =====
