# 20260725_165850_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
190-2	229.58.190.2:5000	有效	1920x1080	h264	7200
190-3	229.58.190.3:5000	无效			5327
190-7	229.58.190.7:5000	有效	1920x1080	h264	6979
190-9	229.58.190.9:5000	有效	1920x1080	h264	6780
190-10	229.58.190.10:5000	有效	720x576	h264	5743
190-12	229.58.190.12:5000	有效	720x576	h264	6589
190-15	229.58.190.15:5000	无效			1719
190-17	229.58.190.17:5000	无效			5462
190-18	229.58.190.18:5000	有效	720x576	h264	5670
190-19	229.58.190.19:5000	有效	720x576	h264	5679
190-25	229.58.190.25:5000	有效	1920x1080	h264	7311
190-30	229.58.190.30:5000	有效	1920x1080	h264	7068
190-32	229.58.190.32:5000	有效	720x576	h264	8652
190-33	229.58.190.33:5000	有效	720x576	h264	6621
190-34	229.58.190.34:5000	有效	1920x1080	h264	6742
190-35	229.58.190.35:5000	有效	1920x1080	h264	7084
190-36	229.58.190.36:5000	有效	1920x1080	h264	6723
190-40	229.58.190.40:5000	无效			5484
190-41	229.58.190.41:5000	无效			5475
190-42	229.58.190.42:5000	有效	720x576	h264	5800
190-43	229.58.190.43:5000	无效			1519
190-44	229.58.190.44:5000	有效	1920x1080	h264	6794
190-46	229.58.190.46:5000	无效			2734
190-47	229.58.190.47:5000	无效			5409
190-48	229.58.190.48:5000	有效	720x576	h264	5734
190-49	229.58.190.49:5000	无效			5470
190-50	229.58.190.50:5000	有效	720x576	h264	5892
190-51	229.58.190.51:5000	有效	1920x1080	h264	12231
190-55	229.58.190.55:5000	有效	720x576	h264	5601
190-56	229.58.190.56:5000	无效			1701
190-58	229.58.190.58:5000	有效	720x576	h264	5640
190-62	229.58.190.62:5000	有效	720x576	h264	9926
190-65	229.58.190.65:5000	有效	720x576	h264	6847
190-67	229.58.190.67:5000	有效	1920x1080	h264	9070
190-68	229.58.190.68:5000	有效	720x576	h264	5656
190-69	229.58.190.69:5000	无效			5435
190-71	229.58.190.71:5000	有效	720x576	h264	5839
190-73	229.58.190.73:5000	有效	720x576	h264	9319
190-74	229.58.190.74:5000	有效	720x576	h264	5531
190-79	229.58.190.79:5000	有效	720x576	h264	6043
190-81	229.58.190.81:5000	无效			5467
190-82	229.58.190.82:5000	有效	720x576	h264	5658
190-87	229.58.190.87:5000	有效	1920x1080	h264	7922
190-90	229.58.190.90:5000	有效	1920x1080	h264	9102
190-91	229.58.190.91:5000	有效	720x576	h264	5715
190-92	229.58.190.92:5000	有效	720x576	h264	5723
190-104	229.58.190.104:5000	有效	720x576	h264	6324
190-117	229.58.190.117:5000	有效	720x576	h264	5741
190-118	229.58.190.118:5000	有效	720x576	h264	5808
190-120	229.58.190.120:5000	有效	720x576	h264	5716
190-129	229.58.190.129:5000	有效	720x576	h264	8484
190-130	229.58.190.130:5000	有效	720x576	h264	5950
190-133	229.58.190.133:5000	有效	720x576	h264	5713
190-135	229.58.190.135:5000	有效	720x576	h264	5249
190-137	229.58.190.137:5000	有效	720x576	h264	5547
190-139	229.58.190.139:5000	有效	720x576	h264	6088
190-140	229.58.190.140:5000	有效	720x576	h264	5957
190-142	229.58.190.142:5000	有效	720x576	h264	5714
190-143	229.58.190.143:5000	有效	720x576	h264	6014
